【标题】
马谡拒谏失街亭 武侯弹琴退仲达

【详细事件列表】
1. 司马懿与张郃商议兵法，认定诸葛亮必出军斜谷取郿城
2. 司马懿分析街亭乃汉中咽喉，断其要路可使蜀兵饿死
3. 孔明得知司马懿出关，担心街亭失守断咽喉之路
4. 参军马谡请往守街亭，立军令状若有差失乞斩全家
5. 孔明令王平相助，再拨高翔一万兵屯柳城，魏延屯街亭之后
6. 赵云、邓芝引兵出箕谷作疑兵，姜维作先锋出斜谷
7. 马谡、王平到街亭，马谡笑言山僻之处魏兵不敢来
8. 王平建议当道下寨筑城垣，马谡不从要在山上屯军
9. 王平再三劝阻，马谡大怒不听，王平引兵离山十里下寨
10. 司马昭探得蜀兵屯于山上，司马懿大喜曰可破矣
11. 司马懿令张郃当住王平来路，申耽、申仪断汲水道路
12. 魏兵围山四面，蜀兵不敢下山，马谡杀二将仍无效
13. 魏兵围至半夜，山上无水军不得食，蜀兵大乱降魏
14. 马谡杀下山西逃奔，司马懿放条大路让过
15. 张郃引兵追来，魏延杀出救了马谡，复夺街亭
16. 司马懿、司马昭抄魏延背后，张郃复来三路合围
17. 王平救出魏延，三人奔列柳城投高翔
18. 高翔与魏延商议夜劫魏寨，三路兵到被围垓心
19. 王平救出二人奔列柳城，遇郭淮引兵杀到
20. 郭淮与司马懿会合，懿留申耽、申仪守列柳城

【简要事件列表】
1. 司马懿分析军事地形
2. 马谡请守街亭立军令状
3. 王平劝谏马谡不从
4. 马谡山上扎寨被围
5. 街亭失守蜀兵大乱
6. 魏延王平奋力救应
7. 列柳城亦被攻破
8. 孔明安排退军之策

【极简事件列表】
1. 马谡失街亭
2. 王平劝谏不从
3. 蜀军大败而归
