【标题】
汉兵劫寨破曹真 武侯斗阵辱仲达

【详细事件列表】
1. 众将问孔明为何不追魏兵，孔明说司马懿善用兵必有埋伏
2. 孔明分兵两路取箕谷和斜谷，会于祁山
3. 曹真、司马懿分兵屯于祁山东西两谷口
4. 司马懿更换衣装遍观各营，斩杀怨言副将
5. 陈式不听邓芝劝阻，引兵出箕谷被魏兵围困
6. 魏延救出陈式，五千兵只剩四五百带伤人马
7. 邓芝报孔明，孔明说魏延素有反相但怜其勇而用之
8. 孔明令马岱等四人分兵夜行昼伏，径出祁山左右举火为号
9. 关兴、廖化等引兵三面攻曹真营寨
10. 秦良引兵哨探被吴班等四将杀出围困，被廖化斩杀
11. 关兴等四将扮作魏兵杀入曹真寨中，魏军措手不及
12. 司马懿引兵接应曹真，曹真羞惭成病卧床不起
13. 孔明斩陈式以正军法，不杀魏延欲留后用
14. 孔明写书信教降兵带回给曹真，曹真看毕气死军中
15. 魏主下诏催司马懿出战，懿提大军与孔明交锋
16. 司马懿出马挑战，孔明端坐四轮车手摇羽扇
17. 司马懿与孔明约定斗阵法，孔明布混元一气阵
18. 戴陵、张虎、乐綝三人从生门打入阵中，被困不能出
19. 三人乱撞被蜀兵缚送到中军帐下
20. 孔明释放三将，司马懿大怒指挥三军奋死掠阵

【简要事件列表】
1. 陈式违令被围大败
2. 孔明巧设多重埋伏
3. 关兴等劫寨成功
4. 曹真被气死军中
5. 司马懿与孔明斗阵
6. 魏军三将被困阵中
7. 孔明增灶退兵计
8. 司马懿不敢追击

【极简事件列表】
1. 汉兵劫寨大胜
2. 曹真气死军中
3. 孔明斗阵辱敌
4. 增灶退兵巧计
