【标题】
张翼德怒鞭督邮　何国舅谋诛宦竖

【详细事件列表】
1. 董卓怠慢刘备，张飞要杀他，被关羽刘备劝住
2. 三人连夜投奔朱儁，合兵讨伐张宝
3. 张宝用妖法打败刘备，朱儁设计用猪羊狗血破法
4. 关羽张飞伏兵击破张宝妖法，张宝中箭逃入阳城
5. 朱儁围攻阳城，得知皇甫嵩大捷，张角张梁已死
6. 张宝部下严政杀张宝投降，朱儁平定数郡
7. 黄巾余党赵弘韩忠孙仲作乱，朱儁奉诏讨伐
8. 刘备献计撤围诱敌，韩忠中计被杀
9. 孙坚前来助战，率先登城斩杀赵弘
10. 刘备射死孙仲，朱儁大获全胜
11. 朱儁班师封官，刘备只等安喜县尉职位
12. 刘备到任后与民秋毫无犯，关张侍立终日不倦
13. 朝廷要沙汰有军功的长吏，刘备担心被裁
14. 督邮来到县里，态度傲慢，向刘备索要贿赂
15. 督邮逼县吏诬陷刘备害民，不许刘备求见
16. 张飞见老人哭诉，大怒闯入驿馆抓住督邮
17. 张飞用柳条鞭打督邮，要打死这个害民贼
18. 刘备劝住张飞，关羽建议弃官另谋出路
19. 刘备挂印离职，三人投奔代州刘恢
20. 十常侍专权害民，刘陶陈耽进谏被杀

【简要事件列表】
1. 刘备投朱儁平黄巾，张宝用妖法被破
2. 朱儁平定黄巾余党，刘备只当县尉
3. 督邮索贿不成，诬陷刘备害民
4. 张飞怒鞭督邮，为民除害
5. 刘备挂印弃官，兄弟三人另投他处
6. 十常侍专权，朝政败坏

【极简事件列表】
1. 平黄巾有功只当县尉
2. 张飞怒鞭贪官督邮
3. 弃官投奔刘恢
4. 十常侍专权害民
