【标题】
追汉军王双受诛 袭陈仓武侯取胜

【详细事件列表】
1. 司马懿奏言孔明必出陈仓，建议坚守不战
2. 曹真得司马懿告戒，坚守不出等待蜀兵自退
3. 孙礼献计用茅草车装干柴引火之物诱蜀兵劫粮
4. 王双引兵在小路上巡哨，防蜀兵运粮
5. 孔明算定魏军粮草计谋，将计就计
6. 马岱引兵到山西放火，孙礼中计来救
7. 马忠、张嶷内外夹攻，孙礼大败而走
8. 张虎、乐綝中计出寨，被关兴、张苞袭营
9. 吴班、吴懿截断归路，魏兵大败投曹真寨
10. 孔明授计魏延斩王双，自引兵退去
11. 王双追赶魏延，被延斩于马下
12. 曹真闻王双被斩，忧成疾病
13. 孙权设朝议伐魏，张昭奏请即皇帝位
14. 孙权筑坛即皇帝位，改元黄龙元年
15. 张昭建议修文偃武，遣使入川与蜀同盟
16. 后主遣陈震入吴作贺，约共伐魏
17. 陆逊受命训练人马，虚作起兵之势应蜀
18. 细作报郝昭病重，孔明令魏延、姜维取陈仓
19. 郝昭病死，蜀兵一拥入城
20. 孔明取了陈仓，令兵袭取散关

【简要事件列表】
1. 司马懿献计坚守不战
2. 孙礼用计诱蜀兵劫粮
3. 孔明将计就计破敌
4. 魏延斩王双立功
5. 孙权称帝建吴
6. 蜀吴同盟共伐魏
7. 郝昭病死失陈仓
8. 孔明取散关得胜

【极简事件列表】
1. 孔明巧计破魏军
2. 魏延斩王双
3. 孙权称帝
4. 蜀取陈仓散关
