《三国演义》第六十一回"赵云截江夺阿斗　孙权遗书退老瞒"事件列表

【详细事件列表】
1. 庞统献计：庞统、法正劝刘备在席间杀刘璋，西川唾手可得
2. 刘备拒绝：刘备以初入蜀中恩信未立为由，决不行此不义之事
3. 魏延舞剑：庞统教魏延登堂舞剑，乘势杀刘璋，众武士列于堂下
4. 张任对舞：刘璋从事张任见机掣剑与魏延对舞，保护刘璋
5. 群剑乱舞：刘封、刘璝、泠苞、邓贤各掣剑出，形成群舞之势
6. 刘备制止：刘备大惊，掣剑立于席上，喝令不弃剑者立斩
7. 刘璋解围：刘璋叱令侍卫尽去佩剑，化解危机
8. 兄弟情深：刘璋执刘备之手而泣，誓不忘恩，二人欢饮至晚
9. 刘备责统：刘备归寨责备庞统欲陷己于不义，今后断勿为此
10. 张鲁犯关：忽报张鲁整顿兵马将犯葭萌关，刘璋请刘备往拒之
11. 刘备赴关：刘备慨然领诺，引本部兵往葭萌关，严禁军士广施恩惠
12. 杨高守关：众将劝刘璋令大将紧守关隘，刘璋令杨怀、高沛守涪水关
13. 东吴议计：细作报入东吴，顾雍建议截川口断归路，一鼓而下荆襄
14. 国太阻计：吴国太怒斥进计者，言女儿性命如何，孙权喏喏连声
15. 张昭献计：张昭建议差心腹将带五百军潜入荆州，假说国太病危骗孙夫人回吴
16. 周善领命：孙权派周善扮商人带五百人，分五船暗藏兵器赴荆州
17. 孙夫人中计：周善呈密书说国太病危，孙夫人洒泪动问，决定带阿斗回吴
18. 赵云追赶：赵云巡哨方回，吃了一惊，只带四五骑旋风般沿江赶来
19. 周善开船：周善手执长戈，叱令军士一齐开船，风顺水急船随流而去
20. 赵云跳船：赵云弃马执枪跳上渔船，拨开箭雨，涌身一跳登上大船
21. 夺回阿斗：赵云入舱见夫人抱阿斗，以理力争，从怀中夺了阿斗抱出船头
22. 张飞救援：张飞巡哨得知消息，急来油江夹口截住吴船
23. 周善被杀：张飞提剑跳上吴船，手起一剑砍倒周善，提头掷于孙夫人前
24. 夫人投江威胁：孙夫人言若不放回去，情愿投江而死
25. 张飞放行：张飞与赵云商议，若逼死夫人非为臣下之道，放孙夫人五只船去
26. 孔明接应：孔明引大队船只接来，见阿斗已夺回大喜，三人并马而归
27. 曹操兴兵：孙权大怒欲报周善之仇，忽报曹操起军四十万来报赤壁之仇
28. 张纮遗书：张纮病故，遗书劝孙权迁居秣陵，言有帝王之气
29. 迁都建业：孙权览书大哭，命迁治建业，筑石头城
30. 筑濡须坞：吕蒙建议于濡须水口筑坞以拒曹操，孙权从之
31. 董昭劝进：董昭进言曹操功盖周公吕望，合受魏公之位加九锡
32. 九锡详解：详细说明九锡内容：车马、衣服、乐悬、朱户、纳陛、虎贲、鈇钺、弓矢、秬鬯圭瓒
33. 荀彧反对：荀彧言曹操当秉忠贞之志守谦退之节，不宜如此
34. 操恨荀彧：曹操勃然变色，深恨荀彧不助己
35. 荀彧之死：曹操使人送空盒，荀彧会意服毒而亡，年五十岁
36. 濡须之战：曹操大军至濡须，与孙权展开激战
37. 操赞孙权：曹操以鞭指孙权叹曰"生子当如孙仲谋！若刘景升儿子，豚犬耳！"
38. 孙权反击：孙权自引马军击曹操，韩当、周泰直冲曹操，许褚敌住救主
39. 夜劫曹营：吴兵夜劫曹营，杀至天明，曹兵退五十余里
40. 操梦三阳：曹操伏几而卧，梦见江心红日飞起坠于寨前山中
41. 梦中见权：曹操奔至落日山边，正见孙权勒马以鞭相问
42. 山后伏兵：孙权一声鼓响，山后韩当、周泰、陈武、潘璋四将带三千弓弩手乱射
43. 许褚救主：许褚引虎卫军敌住四将，救回曹操
44. 操生退意：曹操思孙权非等闲人物，红日之应久后必为帝王，心生退兵之意
45. 春雨困兵：春雨连绵水港皆满，军士多在泥水中困苦异常
46. 孙权遗书：孙权遣使赍书，言丞相当速去，否则复有赤壁之祸
47. 书后批语：书后批"足下不死，孤不得安"两行
48. 操笑退兵：曹操看毕大笑曰"孙仲谋不欺我也"，重赏来使下令班师
49. 朱光守皖：命庐江太守朱光镇守皖城，自引大军回许昌
50. 张昭新计：张昭献计使刘备不能再还荆州

【简要事件列表】
1. 舞剑风波：庞统劝刘备杀刘璋，魏延舞剑被张任对舞化解
2. 截江夺斗：周善骗孙夫人带阿斗回吴，赵云张飞截江夺回阿斗
3. 曹操进爵：董昭劝曹操受魏公加九锡，荀彧反对被逼死
4. 濡须之战：曹操攻濡须，与孙权激战，互有胜负
5. 三阳之梦：曹操梦见三阳开泰，预见孙权久后必为帝王
6. 孙权退兵：孙权遗书威慑，曹操大笑退兵

【极简事件列表】
1. 舞剑不成：庞统劝杀刘璋未成，刘备赴葭萌关拒张鲁
2. 截江夺斗：赵云张飞截江夺回阿斗，孙夫人归吴
3. 荀彧之死：曹操欲受九锡，荀彧反对被逼死
4. 濡须退兵：曹操攻濡须不胜，孙权遗书退兵

【关键人物】
- 庞统：凤雏，劝刘备杀刘璋未成
- 法正：张松心腹，与庞统共谋取川
- 刘备：仁义之主，拒绝杀刘璋，赴葭萌关
- 刘璋：益州牧，暗弱无能，不听忠臣劝谏
- 魏延：刘备大将，奉命舞剑杀刘璋
- 张任：刘璋从事，识破舞剑之计，与魏延对舞
- 赵云：常胜将军，截江夺阿斗
- 张飞：猛将军，协助赵云截江夺斗
- 孙夫人：刘备之妻，中计带阿斗回吴
- 周善：孙权心腹，执行骗孙夫人回吴之计
- 孙权：东吴之主，用计骗妹回吴，与曹操激战
- 曹操：魏王，欲受九锡，攻濡须不胜退兵
- 荀彧：曹操谋士，反对曹操受九锡被逼死
- 董昭：曹操长史，劝曹操受魏公加九锡
- 张纮：东吴长史，临终劝孙权迁都秣陵

【关键地点】
- 葭萌关：刘备拒张鲁之处
- 涪水关：杨怀、高沛守关处
- 荆州：刘备根据地，阿斗被夺回处
- 江边：赵云截江夺阿斗处
- 油江夹口：张飞截住吴船处
- 濡须：曹操孙权激战处
- 秣陵：孙权迁都之处
- 皖城：朱光镇守处
- 许昌：曹操都城

【关键物品】
- 阿斗：刘备之子，被赵云张飞夺回
- 密书：周善骗孙夫人的假信
- 青釭剑：赵云兵器，截江夺斗时使用
- 九锡：曹操欲受的特殊礼遇
- 空盒：曹操送荀彧的逼死之物
- 孙权遗书：威慑曹操退兵的信件

【典故成语】
- 鸿门宴：魏延舞剑被比作鸿门宴
- 截江夺斗：赵云张飞英勇救主
- 生子当如孙仲谋：曹操对孙权的赞叹
- 足下不死，孤不得安：孙权威慑曹操之语
- 三阳开泰：曹操梦见三日之兆
- 红日之应：预示孙权久后必为帝王

【精彩对白】
1. 刘备："吾初入蜀中，恩信未立，此事决不可行。"
2. 刘备："不弃剑者立斩！"
3. 刘璋："吾兄之恩，誓不敢忘！"
4. 赵云："若不留下小主人，纵然万死，亦不敢放夫人去。"
5. 孙夫人："若你不放我回去，我情愿投江而死！"
6. 张飞："嫂嫂不以俺哥哥为重，私自归家，这便无礼！"
7. 曹操："生子当如孙仲谋！若刘景升儿子，豚犬耳！"
8. 孙权："丞相坐镇中原，富贵已极，何故贪心不足，又来侵我江南？"
9. 曹操："孙仲谋不欺我也。"
10. 孙权遗书："足下不死，孤不得安。"

【战役特点】
- 舞剑之计：庞统用鸿门宴之计欲杀刘璋
- 截江夺斗：赵云张飞英勇救主，显示忠义
- 濡须之战：水陆并战，互有胜负
- 夜劫曹营：吴兵夜袭，显示战术灵活
- 三阳之梦：预示孙权帝王之相
- 遗书退兵：孙权用智谋退敌

【战略意义】
- 刘备拒绝杀刘璋，显示仁义品格
- 赵云张飞救阿斗，巩固刘备继承权
- 曹操欲受九锡，暴露篡汉野心
- 荀彧之死，标志曹操集团内部分裂
- 孙权迁都秣陵，为建都建业奠定基础
- 濡须之战显示东吴水军优势
- 张昭新计将影响刘备取川大计
