《三国演义》第七十九回"兄逼弟曹植赋诗　侄陷叔刘封伏法"事件列表

【详细事件列表】（20条）

1. 曹彰提兵入邺城问玺绶，贾逵以"家有长子，国有储君"折服之
2. 曹彰与曹丕相抱大哭，将本部军马尽交与曹丕，回鄢陵自守
3. 曹丕改建安二十五年为延康元年，封赏文武百官，谥曹操为武王
4. 曹丕故意在陵屋粉壁上画关羽水淹七军擒于禁之事羞辱于禁
5. 于禁见画像羞愤成病，不久而死，有诗叹其不忠
6. 曹植、曹熊不来奔丧，曹丕遣使问罪，曹熊惧罪自缢
7. 曹植与丁仪、丁廙酣饮悖慢，使者被乱棒打出
8. 许褚领虎卫军擒曹植等，丁仪、丁廙被诛杀
9. 卞氏为曹植求情，曹丕假意应允
10. 华歆献计以七步诗试曹植之才，不能则杀，能则贬
11. 曹植七步成诗，以两牛相斗为题不犯相关字样
12. 曹植应声作兄弟诗"煮豆燃豆萁"，曹丕潸然泪下
13. 曹丕贬曹植为安乡侯，卞氏责备曹丕逼弟太甚
14. 刘备欲先伐吴报关羽仇，次讨中原，廖化请诛刘封、孟达
15. 诸葛亮建议缓图，升刘封守绵竹，分调开去
16. 彭羕与孟达通谋，劝马超结连孟达反叛，马超告发
17. 彭羕下狱被赐死，孟达惊慌投魏
18. 孟达上表投魏，曹丕加官进爵令守襄阳、樊城
19. 刘封奉命擒孟达，被夏侯尚、徐晃夹击大败
20. 申耽、申仪降魏，刘封败回成都被斩，刘备后悔

【简要事件列表】（6条）

1. 曹丕继位，曹彰交兵，曹植曹熊不来奔丧遭问罪
2. 曹熊自缢，曹植被擒，丁仪兄弟被杀
3. 七步诗试才，曹植应声成诗免死被贬
4. 刘备欲报仇，诸葛亮设计分调刘封
5. 彭羕谋反被诛，孟达投魏
6. 刘封擒孟达反败，申氏降魏，刘封被斩

【极简事件列表】（4条）

1. 曹丕逼弟，七步诗试才贬曹植
2. 彭羕谋反被诛，孟达投魏
3. 刘封奉命擒孟达反败
4. 申氏降魏，刘封被斩

【关键人物】

* 曹丕：继魏王，逼弟试才，威逼汉帝
* 曹植：才高七步，被贬安乡侯
* 曹彰：交兵归顺，回守鄢陵
* 曹熊：惧罪自缢，追赠萧怀王
* 于禁：羞愤而死，画壁辱之
* 丁仪、丁廙：曹植党羽，被诛杀
* 卞氏：为子求情，责备曹丕
* 刘备：欲报仇，斩刘封后后悔
* 诸葛亮：献策分调，设计除害
* 刘封：不救关羽，拒降被斩
* 孟达：投魏反蜀，夹击刘封
* 彭羕：谋反被告，狱中赐死
* 马超：告发谋反，忠心蜀汉
* 申耽、申仪：兄弟降魏，夹击刘封
* 华歆：献计试才，助曹逼弟
* 许褚：虎卫将军，擒拿曹植
* 贾逵：谏议大夫，折服曹彰

【关键地点】

* 邺郡：魏王都城，曹丕继位处
* 鄢陵：曹彰回守之地
* 临淄：曹植封地，被擒之处
* 高陵：曹操葬地，于禁羞死处
* 成都：蜀汉都城，刘备决策处
* 绵竹：刘封调守之地
* 上庸：孟达原守之地
* 房陵：申仪守地，降魏处
* 襄阳：孟达投魏后守地
* 樊城：与襄阳并守要地
* 沛国谯县：曹丕南巡故里
* 石邑县：凤凰来仪处
* 临淄城：麒麟出现处

【关键物品】

* 玺绶：王位象征，曹彰所问
* 水墨画：两牛相斗，七步诗题目
* 陵屋粉壁：画关羽擒于禁羞辱之
* 孟达降表：文辞华丽，投魏凭据
* 招降书信：孟达招刘封，被扯碎斩使
* 虎卫军：三千精锐，擒拿曹植
* 瑞徵：凤凰、麒麟、黄龙，魏代汉之兆

【典故成语】

* 七步成诗：曹植才华横溢的典故
* 煮豆燃萁：兄弟相残的比喻
* 同根相煎：兄弟逼迫的写照
* 出口成章：文思敏捷的赞美
* 家有长子，国有储君：继承秩序的表述
* 二虎相并：诸葛亮除害之计
* 凤凰来仪：祥瑞之兆
* 麒麟出现：太平象征
* 黄龙现：帝王之兆

【精彩对白】

1. 贾逵："家有长子，国有储君。先王玺绶，非君侯之所宜问也。"
2. 曹植七步诗："两肉齐道行，头上带凹骨。相遇块山下，郯起相搪突。二敌不俱刚，一肉卧土窟。非是力不如，盛气不泄毕。"
3. 曹植应声诗："煮豆燃豆萁，豆在釜中泣，本是同根生，相煎何太急！"
4. 卞氏："兄何逼弟之甚耶？"
5. 曹丕："国法不可废耳。"
6. 刘封："此贼误吾叔侄之义，又间吾父子之亲，使吾为不忠不孝之人也！"
7. 彭羕："老革荒悖，吾必有以报之！"
8. 刘备："辱子有何面目复来见吾！"
9. 刘封："叔父之难，非儿不救，因孟达谏阻故耳。"
10. 刘备："汝须食人食、穿人衣，非土木偶人！安可听谗贼所阻！"

【情节特点】

1. **兄弟相残**：曹丕逼弟试才，七步诗显兄弟情仇
2. **才子命运**：曹植才华横溢却遭贬谪，文人悲剧
3. **政治残酷**：曹丕继位即清除异己，手段狠辣
4. **忠奸分明**：马超忠心告发，彭羕谋反被诛
5. **叛降反复**：孟达投魏反蜀，申氏兄弟降魏
6. **后悔莫及**：刘备斩刘封后后悔，体现情感复杂
7. **瑞徵预示**：凤凰麒麟黄龙出现，预示魏代汉
8. **文采飞扬**：曹植诗文才华，七步成章传千古

【战略意义】

1. **魏国巩固**：曹丕清除内部威胁，巩固统治地位
2. **蜀汉内乱**：彭羕谋反，孟达叛降，内部不稳
3. **人才流失**：曹植等人才被贬，魏国文脉受损
4. **吴魏关系**：孙权称臣，魏国地位提升
5. **汉室衰微**：献帝孤立，禅让在即
6. **荆州影响**：关羽之仇未报，刘备复仇心切
7. **上庸失守**：申氏降魏，蜀汉失去战略要地
8. **代汉准备**：瑞徵出现，为曹丕称帝造势
