《三国演义》第六十回"张永年反难杨修　庞士元议取西蜀"事件列表

【详细事件列表】
1. 张松献计：张松建议刘璋备礼赴许都说曹操取汉中，以解张鲁之危
2. 张松暗藏地图：张松暗画西川地理图本藏之，带从人数骑赴许都
3. 诸葛亮打探：孔明得知张松赴许都，便使人入许都打探消息
4. 曹操傲慢：曹操自破马超回，傲睨得志，每日饮宴，张松候三日方得通名
5. 左右索贿：曹操左右近侍先要贿赂，才引入张松见曹操
6. 曹操责问：曹操问刘璋为何连年不进贡，张松以路途艰难、贼寇窃发为由
7. 张松反驳：张松直言南有孙权、北有张鲁、西有刘备，皆带甲十余万，岂得太平
8. 曹操拂袖：曹操见张松人物猥琐、言语冲撞，拂袖转入后堂
9. 杨修出言：杨修大喝"汝川中不会谄佞，吾中原岂有谄佞者乎？"
10. 杨修张松辩论：杨修邀张松书院分宾主而坐，两人展开激烈辩论
11. 张松夸蜀：张松盛赞蜀中风土人物，文有相如、武有伏波、医有仲景、卜有君平
12. 张松反讥：张松讥讽杨修世代簪缨却作相府门吏，曹操文不明孔孟、武不达孙吴
13. 杨修示书：杨修取《孟德新书》示张松，称是曹操仿孙子十三篇而作
14. 张松背诵：张松观书一遍即能背诵，称此书乃战国无名氏所作，蜀中小儿皆能熟记
15. 曹操烧书：曹操听杨修汇报，怀疑古人与己暗合，令扯碎其书烧之
16. 西教场阅兵：曹操于西教场点虎卫雄兵五万，欲显军容之盛
17. 张松揭短：张松列举曹操濮阳攻吕布、宛城战张绣、赤壁遇周郎、华容逢关羽、割须弃袍等败绩
18. 曹操大怒：曹操大怒欲斩张松，经杨修、荀彧劝说，令乱棒打出
19. 张松改投：张松怏怏空回，思被蜀中人笑，决定径投荆州刘备
20. 赵云迎接：赵云奉刘备之命，于郢州界口迎接张松，敬进酒食
21. 关羽相迎：关羽洒扫驿庭以待张松歇宿，与赵云同入馆舍讲礼叙坐
22. 刘备亲迎：刘备引诸葛亮、庞统亲自出城迎接张松，早先下马等候
23. 三日款待：刘备一连留张松饮宴三日，并不提起川中之事
24. 长亭送别：刘备于十里长亭设宴送行，举酒潸然泪下
25. 张松献图：张松被刘备仁义感动，于袖中取出西川地理图本献上
26. 张松说降：张松劝刘备取西川为基，然后北图汉中，收取中原，并愿为内应
27. 刘备推辞：刘备以刘璋同宗为由，不忍相图，推辞取川之议
28. 张松力劝：张松力劝刘备大丈夫当努力建功立业，今若不取，为他人所取悔之晚矣
29. 松荐法孟：张松推荐心腹契友法正、孟达必能相助
30. 松回益州：张松回益州先见法正，备说曹操轻贤傲士，已将益州许刘备
31. 三人密谋：法正、孟达、张松三人密谋献益州，抚掌大笑
32. 张松荐使：张松见刘璋，推荐法正、孟达为使往荆州结好刘备
33. 黄权阻谏：黄权力谏不可召刘备，言刘备柔能克刚、英雄莫敌，召来西川休矣
34. 王累苦谏：王累顿首苦谏，言张鲁犯界乃癣疥之疾，刘备入川乃心腹大患
35. 刘璋不从：刘璋不从黄权、王累之谏，命法正便行
36. 法正赴荆：法正离益州径取荆州，呈上刘璋书信
37. 玄德看信：刘备拆看刘璋书信，书中请求兴师剿灭张鲁，永为唇齿
38. 法正说降：法正密劝刘备取益州，言益州天府之国，非治乱之主不可居
39. 刘备犹豫：刘备以不忍失信义于天下为由犹豫不决
40. 庞统进言：庞统以兼弱攻昧、逆取顺守乃汤武之道，力劝刘备从权变
41. 刘备决意：刘备被庞统金石之言打动，遂请孔明同议起兵西行
42. 分兵守荆：孔明总守荆州，关公拒襄阳，张飞巡江，赵云屯江陵
43. 起兵西行：刘备令黄忠为前部，魏延为后军，自与刘封、关平在中军，庞统为军师
44. 廖化来降：临行时廖化引一军来降，刘备教廖化辅佐云长拒曹操
45. 五万大军：刘备起马步兵五万，庞统为军师，起程西行取西川

【简要事件列表】
1. 张松使魏：张松奉刘璋之命赴许都说曹操取汉中
2. 反难杨修：张松与杨修辩论，背诵《孟德新书》，曹操烧书
3. 曹操慢贤：曹操傲慢轻贤，张松被乱棒打出
4. 改投刘备：张松改投刘备，被赵云、关羽、刘备隆重接待
5. 献图取川：张松献西川地理图，劝刘备取川，愿为内应
6. 刘璋中计：刘璋不听黄权、王累苦谏，遣法正请刘备入川

【极简事件列表】
1. 张松使魏：张松赴许都说曹操，被曹操慢待
2. 反难杨修：张松辩才无碍，背诵曹操新书
3. 改投刘备：张松改投刘备，献西川地图
4. 取川决策：刘备决意取西川，庞统随军西行

【关键人物】
- 张松：益州别驾，貌丑才高，献西川地图给刘备
- 杨修：曹操主簿，博学能言，与张松辩论
- 曹操：傲慢轻贤，因张松揭短而怒
- 刘备：仁义宽厚，隆重接待张松
- 诸葛亮：伏龙，总守荆州
- 庞统：凤雏，随刘备西行取川
- 法正：张松心腹，为使请刘备入川
- 孟达：法正同乡，与法正共谋献川
- 黄权：刘璋主簿，力谏不可召刘备
- 王累：刘璋从事，苦谏刘备入川之害

【关键地点】
- 许都：曹操都城，张松被慢待处
- 荆州：刘备根据地，张松改投之处
- 益州：刘璋管辖之地，张松故乡
- 西教场：曹操阅兵处
- 郢州界口：赵云迎接张松处
- 馆驿：张松歇宿处，关羽洒扫相迎

【关键物品】
- 西川地理图本：张松暗藏并献给刘备的重要地图
- 《孟德新书》：曹操所著兵书，被张松背诵后烧毁
- 刘璋书信：请刘备入川拒张鲁的正式文书
- 酒食：赵云敬献张松的款待之物
- 马步兵五万：刘备西行取川的军队规模

【典故成语】
- 反难杨修：张松反驳杨修，显示辩才
- 过目不忘：张松看一遍《孟德新书》即能背诵
- 舌辩之士：形容能言善辩的人
- 柔能克刚：黄权形容刘备的特质
- 心腹大患：王累称刘备入川的危害
- 兼弱攻昧：庞统劝刘备取川的理由
- 逆取顺守：庞统阐述的政治策略

【精彩对白】
1. 张松："南有孙权，北有张鲁，西有刘备，至少者亦带甲十余万，岂得为太平耶？"
2. 张松："吾川中无诌佞之人也。"
3. 杨修："汝川中不会谄佞，吾中原岂有谄佞者乎？"
4. 张松："此书吾蜀中三尺小童，亦能暗诵，何为'新书'？"
5. 曹操："竖儒怎敢揭吾短处！"
6. 张松："昔日濮阳攻吕布之时，宛城战张绣之日；赤壁遇周郎，华容逢关羽；割须弃袍于潼关，夺船避箭于渭水：此皆无敌于天下也！"
7. 黄权："张鲁犯界，乃癣疥之疾；刘备入川，乃心腹之大患。"
8. 庞统："兼弱攻昧、逆取顺守，汤、武之道也。"
9. 庞统："主公之言，虽合天理，奈离乱之时，用兵争强，固非一道；若拘执常理，寸步不可行矣。"
10. 刘备："金石之言，当铭肺腑。"

【情节特点】
- 张松貌丑才高，辩才无碍
- 曹操傲慢轻贤，失去取川良机
- 刘备仁义待人，赢得张松归心
- 黄权、王累苦谏，显示刘璋昏弱
- 庞统雄才大略，力劝刘备取川
- 西川地图献出，为取川奠定基础

【战略意义】
- 刘备获得西川详细地理情报
- 张松、法正、孟达成为内应
- 为刘备取西川、建立蜀汉奠定基础
- 显示曹操傲慢失策，刘备仁义得人
- 刘璋昏弱无能，不听忠臣劝谏
- 开启刘备集团扩张的新阶段
