【标题】
讨魏国武侯再上表 破曹兵姜维诈献书

【详细事件列表】
1. 曹休被陆逊大破于石亭，疽发背而死
2. 司马懿引兵还，担心诸葛亮乘虚取长安
3. 赵云病重而死，孔明跌足而哭，后主追赠大将军
4. 东吴遣使致书请兵伐魏，言大破曹休之事
5. 后主欲起兵伐魏，诸臣多言未可轻动
6. 杨仪赍孔明《后出师表》至，后主览表甚喜
7. 孔明起三十万精兵，令魏延为前部先锋
8. 司马懿奏知魏主，曹真保王双为先锋
9. 蜀兵哨至陈仓，见郝昭守把甚严
10. 靳祥请往说郝昭来降，被昭拒绝
11. 孔明大怒，令军士造云梯攻城
12. 郝昭令军士用火箭射云梯，蜀兵多被烧死
13. 孔明又用冲车攻城，被郝昭用石凿眼飞打
14. 孔明令军士掘地道，郝昭又掘重壕横截
15. 东边救兵到，王双为魏先锋大将
16. 谢雄、龚起先后被王双斩杀
17. 张嶷与王双交战，被流星锤打伤
18. 姜维献计袭祁山，可捉曹真
19. 曹真得姜维密书，大喜欲依计而行
20. 费耀引兵接应姜维，中计大败身死

【简要事件列表】
1. 赵云病逝，孔明痛失臂膀
2. 孔明再上《后出师表》出师
3. 郝昭坚守陈仓城
4. 王双斩将立功
5. 姜维诈降献书
6. 费耀中计身死
7. 孔明计赚曹真

【极简事件列表】
1. 赵云去世
2. 诸葛亮二次北伐
3. 陈仓攻防战
4. 姜维诈降成功
