【标题】
曹髦驱车死南阙 姜维弃粮胜魏兵

【详细事件列表】
1. 姜维传令退兵，廖化、张翼劝谏未可动，维遂令各军依法而退，命廖化、张翼断后
2. 邓艾引兵追赶见蜀兵旗帜整齐人马徐徐而退，叹曰姜维深得武侯之法，勒军回祁山寨
3. 姜维至成都入见后主问召回之故，后主曰朕为卿在边庭久不还师恐劳军士故诏卿回朝
4. 姜维奏曰此必中邓艾反间之计，后主良久乃曰卿且回汉中俟魏国有变再伐之可也
5. 党均回到祁山寨中报知此事，邓艾与司马望曰君臣不和必有内变，令党均入洛阳报知司马昭
6. 司马昭问贾充吾今伐蜀如何，充曰未可伐也，天子方疑主公若一旦轻出内难必作
7. 司马昭带剑上殿，群臣皆奏大将军功德巍巍合为晋公加九锡，髦低头不答
8. 魏主曹髦出内令护卫焦伯聚集殿中宿卫苍头官僮三百余人鼓噪而出，仗剑升辇叱左右径出南阙
9. 贾充引数千铁甲禁兵呐喊杀来，成济一戟刺中前胸撞出辇来再一戟刃从背上透出死于辇傍
10. 焦伯挺枪来迎被成济刺死，王经大骂贾充曰逆贼安敢弑君耶，充叱左右缚定报知司马昭
11. 司马孚入内见髦尸首枕其股而哭曰弑陛下者臣之罪也，遂将髦尸用棺椁盛贮停于偏殿之西
12. 司马昭召群臣会议，陈泰不至，乃披麻带孝而入哭拜于灵前，昭问何法处之
13. 陈泰曰独斩贾充少可以谢天下耳，昭沉吟良久又问再思其次，泰曰惟有进于此者不知其次
14. 司马昭令剐成济灭其三族，王经全家皆押赴东市含笑受刑，司马孚请以王礼葬曹髦
15. 司马昭立常道乡公曹璜为帝改元景元元年，封昭为相国晋公赐钱十万绢万匹
16. 姜维闻司马昭弑了曹髦立了曹奂喜曰吾今日伐魏又有名矣，遂发书入吴令起兵问罪
17. 姜维奏准后主起兵十五万车乘数千辆，令廖化、张翼为先锋分三路杀奔祁山而来
18. 邓艾聚诸将计议，参军王瓘献计不可明言现写在此谨呈将军台览，艾拨五千兵与瓘
19. 王瓘引本部兵五千来降，姜维大喜令其运粮赴祁山，瓘引三千兵去了
20. 夏侯霸提醒维王瓘之言有诈，维笑曰我已知王瓘之诈故分其兵势将计就计而行

【简要事件列表】
1. 姜维因诏回朝，曹髦起兵讨司马昭被贾充指使成济杀死
2. 陈泰要求斩贾充谢天下，司马昭灭成济三族，王经全家受刑
3. 司马昭立曹奂为帝，自封相国晋公
4. 姜维再次伐魏，识破王瓘诈降之计
5. 姜维将计就计大败邓艾，王瓘投黑龙江而死

【极简事件列表】
1. 曹髦被贾充指使成济杀死
2. 姜维识破王瓘诈降大败邓艾
3. 王瓘兵败投江而死
