【标题】
诏班师后主信谗 托屯田姜维避祸

【详细事件列表】
1. 蜀汉景耀五年冬十月，姜维差人连夜修栈道整顿军粮兵器，上表奏后主请出师伐魏
2. 谯周夜观天文见西蜀分野将星暗而不明，苦谏后主降诏止之，后主犹豫未决
3. 姜维问廖化当先取何处，化曰连年征伐军民不宁兼魏有邓艾足智多谋，维怒曰当先取洮阳
4. 姜维留廖化守汉中自同诸将提兵三十万径取洮阳，早有川口人报入祁山寨中
5. 邓艾与司马望商议曰姜维实出洮阳，料吾只守祁山不守洮阳，故径取洮阳屯粮积草结连羌人
6. 邓艾筹画令司马望引一军伏于洮阳偃旗息鼓大开四门，自引一军伏侯河必获大胜
7. 夏侯霸为前部引兵径取洮阳，望见城上无旌旗四门大开，疑是空城率军杀入
8. 忽然一声炮响城上鼓角齐鸣矢石如雨，夏侯霸同五百军皆死于城下，司马望杀出蜀兵大败
9. 姜维引接应兵到杀退司马望下寨，闻夏侯霸射死嗟伤不已，次日引兵挑战邓艾按兵不出
10. 邓艾寻思蜀人连日反来搦战必分兵去袭祁山寨，乃唤子邓忠分付守寨自引兵去祁山救应
11. 姜维知邓艾虚作夜战之势必然去救祁山寨，乃唤傅佥守寨自引三千兵助张翼
12. 张翼攻打祁山守寨将师纂兵少支持不住，忽然邓艾兵至冲杀一阵蜀兵大败把张翼隔在山后
13. 姜维引兵杀到两下夹攻邓艾折了一阵退上祁山寨不出，姜维令兵四面攻围
14. 后主听信宦官黄皓之言不理朝政，右将军阎宇因阿附黄皓得重爵，说皓奏后主召维班师
15. 姜维正在祁山攻打寨栅忽一日三道诏至宣维班师，维只得遵命先令洮阳兵退次后与张翼徐徐而退
16. 邓艾在寨中不知何意至平明人报蜀兵尽退止留空寨，疑有计不敢追袭
17. 姜维径到汉中歇住人马自与使命入成都见后主，后主一连十日不朝，维心中疑惑
18. 维至东华门遇秘书郎郤正，正笑曰黄皓欲使阎宇立功奏闻朝廷发诏取回将军
19. 姜维径入后园拜见后主泣奏曰臣困邓艾于祁山陛下连降三诏召臣回朝未审圣意为何
20. 姜维奏曰黄皓奸巧专权乃灵帝时十常侍也陛下近则鉴于张让远则鉴于赵高早杀此人朝廷自然清平

【简要事件列表】
1. 姜维再次出兵伐魏，先取洮阳被邓艾设计击败
2. 邓艾用计大败蜀军，夏侯霸战死，张翼被困祁山
3. 后主刘禅听信黄皓谗言，连发三道诏书召回姜维
4. 姜维面奏后主要杀黄皓，后主不听反袒护黄皓
5. 姜维听从郤正建议，请求到沓中屯田避祸

【极简事件列表】
1. 姜维伐魏被邓艾击败
2. 后主信谗召回姜维
3. 姜维屯田沓中避祸
