【标题】
哭祖庙一王死孝 入西川二士争功

【详细事件列表】
1. 后主在成都闻邓艾取了绵竹诸葛瞻父子已亡大惊急召文武商议，近臣奏曰城外百姓扶老携幼哭声大震各逃生命
2. 多官议曰兵微将寡难以迎敌不如早弃成都奔南中七郡，光禄大夫谯周曰不可南蛮久反之人平昔无惠今若投之必遭大祸
3. 谯周又谏曰自古以来无寄他国为天子者臣料魏能吞吴吴不能吞魏若称臣于吴是一辱也
4. 后主未决退入宫中次日众议纷然谯周见事急复上疏诤之后主从谯周之言正欲出降
5. 忽屏风后转出一人厉声而骂周曰偷生腐儒岂可妄议社稷大事自古安有降天子哉，乃第五子北地王刘谌也
6. 谌曰昔先帝在日谯周未尝于预国政今妄议大事辄起乱言甚非理也臣切料成都之兵尚有数万姜维全师皆在剑阁若知魏兵犯阙必来救应
7. 后主叱之曰汝小儿岂识天时，谌叩头哭曰若势穷力极祸败将及便当父子君臣背城一战同死社稷以见先帝可也奈何降乎
8. 谌放声大哭曰先帝非容易创立基业今一旦弃之吾宁死不辱也，后主令近臣推出宫门遂令谯周作降书
9. 遣私署侍中张绍驸马都尉邓良同谯周赍玉玺来雒城请降，时邓艾每日令数百铁骑来成都哨探见立了降旗大喜
10. 张绍等至艾令人迎入三人拜伏于阶下呈上降款玉玺，艾拆降书视之大喜受下玉玺重待张绍谯周邓良等
11. 艾作回书付三人赍回成都以安人心，三人拜辞邓艾径还成都入见后主呈上回书细言邓艾相待之善
12. 后主拆封视之大喜即遣太仆蒋显赍敕令姜维早降，遣尚书郎李虎送文簿与艾共户二十八万男女九十四万
13. 择十二月初一日君臣出降，北地王刘谌闻知怒气冲天乃带剑入宫其妻崔夫人问曰大王今日颜色异常何也
14. 谌曰魏兵将近父皇已纳降款明日君巨出降社稷从此殄灭吾欲先死以见先帝于地下不屈膝于他人也
15. 崔夫人曰贤哉贤哉得其死矣妾请先死王死未迟，谌曰汝何死耶崔夫人曰王死父妾死夫其义同也夫亡妻死何必问焉
16. 言讫触柱而死谌乃自杀其三子并割妻头提至昭烈庙中伏地哭曰臣羞见基业弃于他人故先杀妻子以绝挂念后将一命报祖
17. 谌大哭一场眼中流血自刎而死，蜀人闻知无不哀痛后人有诗赞曰君臣甘屈膝一子独悲伤
18. 后主听知北地王自刎乃令人葬之次日魏兵大至，后主率太子诸王及群臣六十余人面缚舆榇出北门十里而降
19. 邓艾扶起后主亲解其缚焚其舆榇并车入城，于是成都之人皆具香花迎接艾拜后主为骠骑将军其余文武各随高下拜官
20. 艾闻黄皓奸险欲斩之皓用金宝赂其左右因此得免，自是汉亡后人因汉之亡有追思武侯诗曰鱼鸟犹疑畏简书风云长为护储胥

【简要事件列表】
1. 蜀汉群臣商议投降，谯周力主降魏，北地王刘谌力谏不从
2. 刘谌妻崔氏触柱而死，刘谌杀子割妻头后自刎殉国
3. 后主刘禅率群臣出降，邓艾受降并安抚成都百姓
4. 姜维在剑阁假降钟会，与钟会结为兄弟
5. 邓艾上表司马昭欲专权行事，钟会与邓艾争功，司马昭起兵亲征

【极简事件列表】
1. 刘禅投降，刘谌殉国
2. 邓艾受降入成都
3. 姜维假降钟会
4. 钟会邓艾争功
