【标题】
出陇上诸葛妆神 奔剑阁张郃中计

【详细事件列表】
1. 孔明用减兵添灶之法退兵到汉中，司马懿恐有埋伏不敢追赶，亦收兵回长安去了，因此蜀兵不曾折了一人
2. 孔明大赏三军已毕回到成都入见后主，奏曰老臣出了祁山欲取长安忽承陛下降诏召回不知有何大事
3. 后主无言可对良久乃曰朕久不见丞相之面心甚思慕故特诏回一无他事，孔明曰此非陛下本心必有奸臣谗谮言臣有异志也
4. 孔明将妄奏的宦官诛戮余皆废出宫外，又深责蒋琬、费祎等不能觉察奸邪规谏天子
5. 孔明复到汉中一面发檄令李严应付粮草仍运赴军前一面再议出师，杨仪建议分兵两班以三个月为期循环相转
6. 孔明曰吾伐中原非一朝一夕之事正当为此长久之计，遂下令分兵两班限一百日为期循环相转违限者按军法处治
7. 建兴九年春二月孔明复出师伐魏，时魏太和五年也，魏主曹睿知孔明又伐中原急召司马懿商议
8. 司马懿曰今子丹已亡臣愿竭一人之力剿除寇贼以报陛下，睿大喜设宴待之
9. 司马懿径到长安大会诸路人马计议破蜀兵之策，张郃愿引一军去守雍、郿以拒蜀兵
10. 司马懿认为前军不能独当孔明之众而又分兵为前后非胜算也，不如留兵守上邽余众悉往祁山
11. 司马懿令张郃为先锋总督大军，又令郭淮守陇西诸郡其余众将各分道而进
12. 前军哨马报说孔明率大军望祁山进发前部先锋王平、张嶷径出陈仓过剑阁由散关望斜谷而来
13. 司马懿谓张郃曰今孔明长驱大进必将割陇西小麦以资军粮，汝可结营守祁山吾与郭淮巡略天水诸郡以防蜀兵割麦
14. 张郃领四万兵守祁山，司马懿引大军望陇西而去
15. 孔明兵至祁山安营已毕见渭滨有魏军提备乃谓诸将曰此必是司马懿也，即今营中乏粮屡遣人催并李严运米应付却只是不到
16. 孔明料陇上麦熟可密引兵割之，于是留王平、张嶷、吴班、吴懿四将守祁山营自引姜维、魏延等诸将前到卤城
17. 卤城太守素知孔明慌忙开城出降，孔明抚慰毕问曰此时何处麦熟太守告曰陇上麦已熟
18. 孔明乃留张翼、马忠守卤城自引诸将并三军望陇上而来，前军回报说司马懿引兵在此
19. 孔明惊曰此人预知吾来割麦也，即沐浴更衣推过一般三辆四轮车来车上皆要一样妆饰此车乃孔明在蜀中预先造下的
20. 孔明令姜维引一千军护车五百军擂鼓伏在上邽之后马岱在左魏延在右亦各引一千军护车五百军擂鼓
21. 孔明用妆神之计，三辆四轮车迷惑司马懿，使其惊惧退入上邽城中不敢出战
22. 孔明成功割尽陇上小麦，运回卤城打晒
23. 司马懿与郭淮合兵夜攻卤城，中孔明埋伏大败而归
24. 孔明以信为本，坚持让换班士兵回家，士兵感念恩德主动留下作战
25. 孔明得知东吴可能犯蜀，决定退兵回汉中
26. 孔明在木门道设伏，准备对付可能的追兵
27. 司马懿见蜀兵退去，起初不敢追击，但张郃坚持请战
28. 张郃不听司马懿劝阻，执意引兵追赶蜀军
29. 魏延、关兴轮流诱敌，张郃中计深入木门道
30. 蜀军发动伏击，万弩齐发射杀张郃及其百余部将
31. 张郃死于木门道中，魏军追兵急退
32. 孔明在山上宣告胜利，司马懿闻知张郃死讯悲伤不已，引军回洛阳
33. 孔明回汉中后欲归成都，发现李严谎报军情，大怒
34. 孔明处理李严事件，将其贬为庶人流放梓潼郡
35. 孔明回成都后休养生息三年，然后再次准备北伐

【简要事件列表】
1. 孔明用减兵添灶之法退兵到汉中，司马懿不敢追赶
2. 孔明分兵两班轮换出师，以三个月为期循环相转
3. 司马懿令张郃为先锋总督大军，郭淮守陇西诸郡
4. 孔明兵至祁山知司马懿在渭滨提备决定割陇上小麦
5. 孔明妆神吓退魏兵，张郃中计被射死于木门道

【极简事件列表】
1. 孔明退兵汉中用减兵添灶之法
2. 孔明分兵两班轮换出师
3. 孔明妆神割麦吓退魏兵
4. 张郃中计死于木门道
