【标题】
诸葛亮乘雪破羌兵 司马懿克日擒孟达

【详细事件列表】
1. 郭淮向曹真建议遣人从小路入羌中求救，许以和亲
2. 西羌国王彻里吉与雅丹丞相、越吉元帅起羌兵十五万救魏
3. 羌兵皆惯使弓弩枪刀飞锤等器，又有铁车兵装载军器粮食
4. 守关蜀将韩祯报知孔明，张苞、关兴愿往退羌兵
5. 孔明令马岱作向导，起精兵五万与兴、苞同往
6. 羌兵把铁车首尾相连结寨，车上遍排兵器如城池一般
7. 越吉元帅手挽铁锤腰悬宝雕弓跃马奋勇而出
8. 关兴被羌兵围入西北角，望山谷中寻路而走
9. 越吉赶到断涧，关兴急闪过铁锤正中马胯落水
10. 关兴水中挣起，见关公显圣惊退羌兵指引生路
11. 张苞引军寻到关兴，二人同归寨内
12. 孔明观看羌兵阵势，唤马岱、张冀分付计策
13. 孔明令姜维引兵出战，见铁车兵退后便走
14. 十二月终天降大雪，孔明计可施矣
15. 越吉引铁车兵追赶姜维，落入坑堑之中
16. 蜀兵万弩齐发，三路兵杀到，铁车兵大乱
17. 越吉被关兴砍死，雅丹被马岱活捉
18. 孔明赐酒压惊雅丹，将所获羌兵车马器械尽给还
19. 曹真见羌兵攻击蜀兵退去，分两路追赶
20. 魏延斩曹遵，赵云刺死朱赞，关兴张苞围了曹真郭淮

【简要事件列表】
1. 郭淮献计求救西羌
2. 西羌起兵十五万救魏
3. 关兴被困铁车阵中
4. 关公显圣救子关兴
5. 诸葛亮乘雪破羌兵
6. 越吉元帅被斩，雅丹被擒
7. 曹真折将败回求援
8. 司马懿复职平西都督

【极简事件列表】
1. 诸葛亮大破羌兵
2. 关兴得关公显圣相救
3. 司马懿复职擒孟达
