【标题】
诸葛亮大破魏兵 司马懿入寇西蜀

【详细事件列表】
1. 司马懿引兵到长安，令张郃、戴陵引十万兵到祁山下寨
2. 郭淮、孙礼引兵救武都、阴平，被孔明围困大败
3. 郭淮、孙礼弃马爬山而走，张苞追赶跌入涧内受伤
4. 司马懿令张郃、戴陵引兵抄蜀兵之后，前后夹攻
5. 张郃、戴陵中计被围，孔明劝降不从，张郃奋勇杀出重围
6. 司马懿坚守不出，孔明挑战半月不交兵
7. 后主遣费祎赍诏至，恢复孔明丞相之职
8. 孔明拔寨而起，司马懿疑有大谋不许追击
9. 张郃请战，司马懿分兵两路追击蜀兵
10. 孔明令王平、张翼各引一万精兵伏于山谷中
11. 姜维、廖化引兵伏于前山，吴班等四将接应
12. 关兴引五千精兵伏于山谷，只看红旗飐动杀出
13. 张郃、戴陵追击蜀兵，马忠等四将且战且走
14. 关兴引兵掠阵，吴班等四将回军赶杀
15. 王平、张翼截住张郃、戴陵死战不退
16. 司马懿引精兵杀到，围住王平、张翼
17. 姜维、廖化开锦囊袭司马懿营，懿急回兵
18. 张翼随后掩杀，魏兵大败，张郃、戴陵走小路
19. 司马懿责骂诸将，自班师回朝
20. 孔明闻张苞身死，放声大哭昏绝，自此病卧不起

【简要事件列表】
1. 郭淮孙礼中计大败
2. 张郃戴陵追击中伏
3. 孔明巧设多重埋伏
4. 司马懿兵败退军
5. 张苞病死孔明大哭
6. 曹真请兵伐蜀
7. 司马懿随军出征
8. 连阴大雨军士怨声

【极简事件列表】
1. 诸葛亮大破魏兵
2. 司马懿中计败退
3. 张苞病死孔明病重
4. 曹真请兵伐蜀
