【标题】
宴桃园豪杰三结义　斩黄巾英雄首立功

【详细事件列表】
1. 开篇阐述天下大势分久必合、合久必分的道理
2. 汉朝从桓帝到灵帝时期宦官专权，朝政日益腐败
3. 灵帝建宁二年出现大青蛇从梁上飞下蟠于椅上的异象
4. 接连发生雷雨冰雹、地震海啸、雌鸡化雄等不祥之兆
5. 议郎蔡邕上疏直言灾异原因是妇寺干政，被曹节陷害放归田里
6. 张让、赵忠等十常侍朋比为奸，灵帝尊称张让为"阿父"
7. 巨鹿郡张角三兄弟采药遇南华老仙，获赠《太平要术》天书
8. 张角晓夜攻习天书，能呼风唤雨，号称"太平道人"
9. 中平元年疫气流行，张角散施符水治病，自称"大贤良师"
10. 张角建立三十六方组织，约期举事，口号"苍天已死，黄天当立"
11. 弟子唐周告密，马元义被斩，张角被迫提前起兵
12. 张角自称"天公将军"，张宝称"地公将军"，张梁称"人公将军"
13. 四五十万百姓响应黄巾起义，朝廷派卢植、皇甫嵩、朱儁三路讨伐
14. 幽州太守刘焉招兵买马，榜文行到涿县
15. 涿县刘备见榜文慨然长叹，结识张飞
16. 刘备、张飞在村店遇到关羽，三人志同道合
17. 次日在桃园中备下乌牛白马祭礼，三人结为异姓兄弟
18. 三人立誓"不求同年同月同日生，只愿同年同月同日死"
19. 中山商人张世平、苏双赠送良马五十匹、金银五百两
20. 刘备打造双股剑，关羽造青龙偃月刀，张飞造丈八点钢矛
21. 刘备率五百乡勇迎战程远志五万大军，张飞刺邓茂，关羽斩程远志
22. 刘备救援青州，用分兵夹攻之计解青州之围
23. 刘备前往广宗投奔卢植，被派往颍川打探消息
24. 曹操在颍川截杀张梁、张宝败军，斩首万余级
25. 卢植因不贿赂太监左丰被诬告高垒不战，遭董卓取代押送回京
26. 刘备兄弟救了被张角打败的董卓，董卓因三人无官职而轻视他们

【简要事件列表】
1. 汉末桓灵二帝时期宦官专权，天灾人祸不断，朝政腐败
2. 张角得天书创立太平道，发动黄巾起义，天下响应
3. 涿县刘备见榜文长叹，结识关羽、张飞，三人桃园结义
4. 三兄弟打造兵器投军，首战斩程远志大胜，又解青州之围
5. 救董卓反被轻视，张飞愤怒要杀董卓

【极简事件列表】
1. 汉末天下大乱，十常侍专权，黄巾起义爆发
2. 刘备、关羽、张飞桃园结义，投军报国
3. 三兄弟初战立功救董卓，反遭轻视受辱
