# 《河渠书第七》事件列表

## 详细版（15条）
1. 禹治水十三年，过家门不入，陆路乘车，水路乘船，泥路踏橇，山路坐轿，分别九州，疏通河道，依据土地肥瘠定贡赋。
2. 禹将治理黄河作为首要任务，疏导黄河从积石经龙门、华阴、砥柱、孟津、雒汭至大邳，因地势高水势猛，分黄河为两支疏导，北引至高地，经降水至大陆，分九河后汇为逆河入渤海。
3. 九州河流疏通，水泽划分，中原平安，功绩延续至三代。
4. 后人在荥阳以下引黄河水向东南流，修成鸿沟，沟通宋、郑、陈、蔡、曹、卫等国，与济水、汝水、淮水、泗水汇合。
5. 楚地西面有渠连接汉水和云梦泽，东面江淮之间有沟相通；吴地三江五湖有渠相通；齐地菑济之间有渠相通。
6. 蜀郡守李冰凿通离碓，避免沫水危害，在成都开通两条江，既可通航又可灌溉。
7. 西门豹引漳水灌溉邺地，使魏国河内地区富裕起来。
8. 韩国派水工郑国为间谍游说秦国修渠，欲使秦疲累不能东进，秦王察觉后欲杀郑国，郑国辩解称渠成后对秦有利，秦最终让其修成，命名为郑国渠，灌溉咸卤地四万余顷，使关中成为沃野，秦因此富强并吞诸侯。
9. 汉朝建国三十九年（文帝时），黄河在酸枣决口，冲毁金堤，东郡征发士卒堵塞。
10. 武帝元光年间，黄河在瓠子决口，东南灌入钜野，与淮水、泗水相通，汲黯、郑当时征发民夫堵塞但反复冲坏。
11. 丞相田蚡因食邑鄗在黄河北面未受灾，称江河决口是天意不可强堵，望云气数术者附合，天子长时间未再下令堵塞。
12. 大农郑当时建议开渠引渭河沿南山而下至黄河，可缩短漕运距离，灌溉民田，天子命徐伯测量，征发民夫数万人开凿漕渠，三年完成，使漕运便利，百姓受益。
13. 河东太守番系建议引汾水和黄河水灌溉汾阴、蒲坂等地，得五千顷水浇地，可收粮二百万石以上，后因黄河改道，水渠废弃。
14. 有人建议开通褒斜道漕运，御史大夫张汤认为可行，任命其子张卬为汉中太守，征发数万人开通褒斜道五百多里，虽道路方便但水急多石，不能漕运。
15. 庄熊罴建议从征引洛水灌溉重泉以东万余顷盐卤地，征发民夫万余人挖渠，因渠岸易崩塌，改为挖井法，井下相通使水流过，穿过商颜山。

## 简化版（5条）
1. 大禹治水十三年，疏导黄河，划分九州水系，奠定中国古代水利基础。
2. 春秋战国时期，各国兴修水利工程，如楚国连接汉水与云梦泽，李冰在蜀地开通二江，西门豹引漳水灌邺。
3. 韩国水工郑国入秦修渠，虽为间谍却使关中成为沃野，秦因之富强。
4. 汉武帝时期，黄河多次决口，朝廷组织人力堵塞并开凿漕渠，改善漕运条件。
5. 汉代尝试多种水利工程，如引汾水灌溉、开通褒斜道、挖井穿过商颜山等，虽有成败但体现了古人的治水智慧。

## 极简版（3条）
1. 大禹治水奠定了中国古代水利工程的基础。
2. 战国至秦汉时期，各国兴修水利，促进农业发展和国力强盛。
3. 汉武帝时期大规模水利建设，改善漕运和灌溉条件。

## 中文绘图提示词
这幅宏大的水利工程画卷展现《河渠书》中古代水利建设的壮丽图景。画面中央是大禹手持治水工具，站在黄河岸边指挥民众治水，身后是奔腾的黄河水被疏导分流，民众们有的挖土，有的运石，有的修筑堤坝，场面热火朝天。左侧展示战国时期的水利工程：西门豹引漳水灌邺，农田得到灌溉，百姓丰收喜悦；李冰在蜀地开凿离碓，成都平原的两条江水流淌，岸边农田翠绿。右侧呈现秦汉时期的水利成就：郑国渠通水后，关中平原变成沃野，百姓耕作繁忙；漕渠开通，船只往来运输粮食；井下渠穿过商颜山，地下水在井间流淌。远处是黄河决口与堵塞的场景：官兵和百姓一起奋力堵口，场面紧张而壮观。整个画面色彩丰富：中央大禹治水场景以土黄和青绿为主，象征大地与流水；左侧战国场景以绿色为主，象征农业丰收；右侧秦汉场景以金黄和蓝色为主，象征富饶与水利。人物表情刻画细腻：大禹的坚毅，百姓的勤劳，官员的指挥若定，展现了古代劳动人民的智慧和力量。通过时空交错的构图，将数千年水利工程的关键节点融为一体，传达"治水安邦，利国利民"的主题思想。
