# 孔子世家第十七 - 事件列表

## 详细版（按时间顺序）
1. **孔子出生**：鲁襄公二十二年，孔子生于鲁国昌平乡陬邑，父亲叔梁纥，母亲颜氏
2. **幼年丧父**：孔子出生不久，父亲叔梁纥去世，母亲未告知父墓所在
3. **幼年好礼**：孔子幼年时就喜欢模仿祭祀礼仪，显示出对礼乐的兴趣
4. **孟厘子遗嘱**：孔子十七岁时，鲁国大夫孟厘子临终前命其子孟懿子拜孔子为师
5. **初仕季氏**：孔子成年后曾做过管理仓库和畜牧的小吏，后升任司空
6. **适周问礼**：孔子前往周王室，向老子请教礼仪，接受老子赠言
7. **景公问政**：鲁昭公二十年，齐景公问孔子秦穆公称霸之道，孔子以“志大、得人”对之
8. **闻《韶》忘味**：孔子在齐国听到《韶》乐，学习三月不知肉味
9. **齐景公问政**：孔子向景公提出“君君、臣臣、父父、子子”及“节用”的治国理念
10. **晏婴阻封**：晏婴向景公进谏，阻止景公封孔子尼溪之田
11. **返回鲁国**：齐国大夫欲加害孔子，景公表示不能任用，孔子返回鲁国
12. **阳虎作乱**：鲁国季氏家臣阳虎作乱，孔子不仕，退修《诗》《书》《礼》《乐》
13. **公山不狃召孔子**：公山不狃据费邑背叛季氏，召孔子，孔子欲往，被子路劝阻
14. **中都宰任**：孔子五十岁时被任命为中都宰，政绩显著，四方诸侯效仿
15. **升任司寇**：孔子由中都宰升为司空，再升为大司寇
16. **夹谷之会**：鲁定公十年，孔子陪同定公与齐景公会盟于夹谷，以礼挫败齐国阴谋
17. **堕三都**：孔子建议拆除季孙、孟孙、叔孙三家的封邑城墙，以强公室
18. **代理相事**：孔子五十六岁时由大司寇代理相国政务，诛杀少正卯
19. **齐国施美人计**：齐国送女乐骏马给鲁国，季桓子接受，三日不朝
20. **孔子去鲁**：鲁定公郊祭后未送祭肉给大夫，孔子离开鲁国，开始周游列国
21. **适卫击磬**：孔子在卫国居住期间，曾击磬自乐，被隐者听出其志向
22. **匡城被围**：孔子过匡城时，因长得像阳虎被匡人包围五天
23. **见南子**：孔子在卫国拜见卫灵公夫人南子，被子路质疑
24. **桓魋欲杀孔子**：孔子在宋国大树下习礼，宋国司马桓魋欲杀之
25. **郑人识孔子**：孔子在郑国与弟子走散，郑人形容其为“丧家之犬”
26. **陈蔡绝粮**：孔子在陈蔡之间被围困，断绝粮食，弟子们饥饿疲惫
27. **叶公问政**：孔子至叶地，叶公问政，孔子答以“近者悦，远者来”
28. **遇隐者**：孔子途中遇见长沮、桀溺、荷蓧丈人等隐者
29. **楚昭王欲封**：楚昭王欲封孔子七百里地，被子西劝阻
30. **接舆歌讽**：楚国狂人接舆唱着歌从孔子车前经过，讽劝孔子归隐
31. **返回鲁国**：在外十四年之后，孔子在鲁哀公十一年回到鲁国
32. **删定六经**：孔子晚年整理《诗》《书》《礼》《乐》《易》《春秋》
33. **韦编三绝**：孔子研读《易经》勤奋，多次翻断编竹简书的绳子
34. **颜渊早逝**：孔子最得意的弟子颜渊去世，孔子悲痛欲绝
35. **获麟绝笔**：鲁哀公十四年，西狩获麟，孔子认为象征王道衰落，停止修《春秋》
36. **子路遇害**：孔子晚年，子路在卫国政变中被杀
37. **孔子逝世**：鲁哀公十六年四月，孔子去世，享年七十三岁
38. **弟子服丧**：孔子弟子为其服丧三年，子贡守墓六年
39. **孔里形成**：弟子及鲁人移居孔子墓旁居住，形成孔里
40. **后世崇奉**：孔子死后，其学说被后世推崇，成为中国传统文化的核心

## 简化版（重要节点）
1. **圣人出世**：孔子生于鲁国，幼年丧父，好礼成习
2. **周游列国**：为推行自己的政治主张，孔子周游卫、宋、陈、蔡等国十四年
3. **陈蔡绝粮**：在陈蔡之间被困，面临绝境仍弦歌不辍，彰显君子本色
4. **删定六经**：晚年回到鲁国，整理古代典籍，为中华文化传承做出巨大贡献
5. **杏坛授业**：培养弟子三千，贤者七十二，开创私人讲学之风
6. **圣人归天**：孔子去世，但其思想影响深远，被后世尊为至圣先师

## 极简版（核心情节）
1. **生逢乱世**：孔子生于春秋末年礼崩乐坏的时代
2. **周游求仕**：为实现政治理想，周游列国却终不得重用
3. **传道授业**：开创私学，培养众多弟子，传播儒家思想
4. **著书立说**：整理古代典籍，为中华文化奠基
5. **千秋师表**：孔子去世后，其思想成为中国传统文化的主流

## 绘图提示词（场景类）
1. **孔子授业**：杏坛之下，孔子（身着儒服，手持竹简）席地而坐，周围围坐众多弟子，有的记录，有的提问，神情专注
2. **夹谷会盟**：齐鲁会盟台上，孔子（着司寇礼服）面对齐景公，义正辞严，旁边有持戟卫士和两国大臣，气氛紧张
3. **陈蔡绝粮**：荒野之中，孔子（面容憔悴但神情坚毅）抚琴而歌，弟子们（如颜回、子路、子贡等）围坐周围，虽饥饿却聆听入神
4. **删定六经**：孔子晚年在室内，案头堆满简牍，手持笔刀，专注地整理典籍，旁边有弟子协助
5. **西狩获麟**：郊外猎场，孔子（着便服）看着被捕获的麒麟，神情哀伤，旁边有猎人和弟子
6. **子贡守墓**：孔子墓前，子贡（身着丧服）在墓旁搭建的小屋中，日夜守孝，神情肃穆

## 人物形象描述
1. **孔子**：身材高大（九尺六寸），额顶凹陷，面容慈祥而威严，目光深邃，身着儒服，手持竹简或藜杖，气质儒雅而庄重，既有学者的智慧，又有仁者的宽厚
2. **颜回**：孔子最得意的弟子，面容清秀，身材瘦弱，身着粗布衣服，目光专注，神情温和，展现出安贫乐道的气质
3. **子路**：孔子的弟子，身材魁梧，面目刚毅，身着武士服饰，腰间佩剑，性格直率豪爽，具有勇力和忠诚的特质
