# 《基督山伯爵》第18章《宝藏》主要事件列表

## 详细版主要事件：
1. 法利亚神甫向唐太斯展示半张被火烧过的神秘纸条，声称这是基督山岛上宝藏的线索
2. 唐太斯担心神甫发疯，但最终被说服认真聆听宝藏的故事
3. 法利亚讲述了宝藏的历史：教皇亚历山大六世和其子凯撒·布琪亚为了夺取财产，设宴毒死了两位红衣主教罗斯辟格里奥赛和凯撒·斯帕达
4. 斯帕达红衣主教在遇害前将自己的巨额财富（金银条、宝石、钻石等）埋藏在基督山岛上的某个洞窟中
5. 法利亚解释自己作为斯帕达家族最后一位继承人的秘书，如何意外发现了这份宝藏遗嘱
6. 法利亚讲述他在整理文件时，意外用火烧出了隐写墨水写成的宝藏位置指示
7. 法利亚将两张残纸拼合，还原了完整的宝藏信息：位于基督山小岛的洞窟中，价值约二百万罗马艾居（相当于一千三百万埃居）
8. 法利亚原本计划前往寻宝，但在出发时被帝国警务部长逮捕
9. 法利亚承诺如果两人一起逃走，宝藏的一半将属于唐太斯；如果他死在狱中，则全部归唐太斯所有
10. 唐太斯表示宝藏只属于法利亚，但法利亚称唐太斯是他"囚禁生活中的儿子"，坚持要分享宝藏

## 简化版主要事件：
1. 法利亚向唐太斯展示半张神秘纸条，声称是基督山宝藏的线索
2. 法利亚讲述了教皇亚历山大六世毒死红衣主教斯帕达夺取财产的历史
3. 法利亚解释自己如何意外发现斯帕达红衣主教的宝藏遗嘱
4. 法利亚拼合残纸，还原宝藏位置：基督山小岛洞窟中，价值约二百万罗马艾居
5. 法利亚承诺与唐太斯分享宝藏，称他为"囚禁生活中的儿子"

## 极简版主要事件：
1. 法利亚揭示基督山岛上藏有巨额宝藏
2. 法利亚讲述宝藏来源与发现过程
3. 法利亚承诺与唐太斯分享宝藏
