《三国演义》第八十一回"急兄仇张飞遇害　雪弟恨先主兴兵"事件列表

【详细事件列表】（20条）

1. 赵云谏先主伐吴，应以讨魏为重，先主不听
2. 先主发使五溪借番兵，迁张飞为车骑将军
3. 张飞闻关公被害，旦夕号泣，鞭挞士卒
4. 张飞受诏后愿为前部先锋，挂孝伐吴
5. 孔明率百官谏先主勿亲征，先主稍有回意
6. 张飞赶到哭诉桃园之誓，先主决定同往伐吴
7. 先主嘱张飞戒酒后暴怒，宽容待下
8. 秦宓谏阻伐吴，先主大怒欲斩，众官求免暂囚
9. 孔明上表救秦宓，先主掷表于地意已决
10. 先主命孔明保太子守两川，安排各将守土
11. 张飞限三日内制办白旗白甲，范疆张达请求宽限
12. 张飞怒鞭范疆张达各五十，严令来日完备
13. 范疆张达商议，决定趁张飞醉酒时刺杀
14. 张飞心惊肉颤，与部将饮酒大醉卧帐
15. 范疆张达初更时分潜入帐中，以短刀刺死张飞
16. 二贼割张飞首级，连夜投东吴而去
17. 先主夜观天象见将星坠地，孔明预言损上将
18. 张苞报父死讯，先主昏绝于地，哀痛不食
19. 关兴赶来哭诉，先主见二侄断肠痛哭
20. 张苞关兴争先锋印，比试武艺，先主劝和

【简要事件列表】（6条）

1. 赵云孔明谏阻伐吴，先主为兄弟报仇意决
2. 张飞受命先锋，鞭打部将严令制办白甲
3. 范疆张达被刑，趁醉刺杀张飞投吴
4. 张苞关兴报丧，先主哀痛昏绝
5. 张苞关兴争先锋，比试武艺
6. 先主劝和，命二人同心报仇

【极简事件列表】（4条）

1. 先主伐吴报仇，不听劝谏
2. 张飞鞭将，被刺身亡
3. 张苞关兴报丧，争先锋印
4. 先主劝和，同心伐吴

【关键人物】

* 刘备：蜀汉皇帝，为兄弟报仇执意伐吴
* 张飞：车骑将军，性暴如雷，被部下刺杀
* 赵云：虎威将军，谏阻伐吴，以天下为重
* 诸葛亮：丞相，苦谏不听，保太子守两川
* 秦宓：学士，谏阻伐吴被囚
* 范疆、张达：张飞部将，刺杀张飞投吴
* 张苞：张飞长子，为父报仇争先锋
* 关兴：关羽次子，为父报仇与张苞争印
* 马良、陈震：掌理文书的参谋
* 黄忠：前部先锋
* 冯习、张南：副将
* 傅彤、张翼：中军护尉
* 李意：青城山隐者，三百岁神仙，预言凶兆
* 诸葛瑾：东吴使者，欲说和罢兵

【关键地点】

* 成都：蜀汉都城，先主决策伐吴处
* 阆中：张飞镇守之地，遇害处
* 五溪：借番兵之处
* 江州：先主与张飞会师处
* 青城山：李意隐居处
* 教场：先主操演军马处
* 东吴：张飞首级投献处

【关键物品】

* 白旗白甲：三军挂孝伐吴的标志
* 先锋印：张苞关兴争夺的兵权象征
* 丈八点钢矛：张飞兵器，张苞使用
* 大砍刀：关羽兵器，关兴使用
* 将星：天象预兆，张飞死兆
* 兵马器械图：李意所画，预示凶兆

【典故成语】

* 桃园之誓：刘关张结义的誓言
* 急兄仇：为兄长报仇的急切心情
* 雪弟恨：洗雪兄弟仇恨的决心
* 心惊肉颤：张飞死前的预兆
* 将星坠地：大将死亡的征兆
* 鹤发童颜：李意仙人的外貌特征
* 碧眼方瞳：神仙异人的眼目特征
* 折箭为誓：结拜兄弟的誓言仪式

【精彩对白】

1. 赵云："国贼乃曹操，非孙权也。汉贼之仇，公也；兄弟之仇，私也。愿以天下为重。"
2. 张飞："昔我三人桃园结义，誓同生死；今不幸二兄半途而逝，吾安得独享富贵耶！"
3. 先主："朕不为弟报仇，虽有万里江山，何足为贵？"
4. 张飞："若陛下不去，臣舍此躯与二兄报仇！若不能报时，臣宁死不见陛下也！"
5. 秦宓："臣死无恨，但可惜新创之业，又将颠覆耳！"
6. 先主："云长与朕，犹一体也。大义尚在，岂可忘耶？"
7. 张飞："吾急欲报仇，恨不明日便到逆贼之境，汝安敢违我将令！"
8. 范疆："比如他杀我，不如我杀他。"
9. 先主："朕想布衣时，与关、张结义，誓同生死；今朕为天子，正欲与两弟同享富贵，不幸俱死于非命！"
10. 先主："父丧未远而犹如此，况日后乎？"

【情节特点】

1. **兄弟情深**：刘备为关张报仇，不顾国家大义
2. **性格悲剧**：张飞暴怒鞭将，最终被部下所杀
3. **忠奸对立**：赵云诸葛亮劝谏，刘备执意不从
4. **预言凶兆**：将星坠地，李意画图预示失败
5. **子承父志**：张苞关兴为父报仇，争当先锋
6. **武艺比试**：张苞射箭，关兴射雁，展现将门虎子
7. **劝和失败**：诸葛瑾出使，两国交战在即
8. **情绪渲染**：多次哭诉昏绝，体现悲痛心情

【战略意义】

1. **蜀吴交恶**：刘备伐吴，孙刘联盟彻底破裂
2. **魏国得利**：蜀吴相争，曹丕坐收渔利
3. **人才损失**：张飞遇害，蜀汉失去大将
4. **战略错误**：刘备感情用事，违背正确战略
5. **夷陵之战**：为后续夷陵之战埋下伏笔
6. **三国格局**：蜀吴交战，三国鼎立格局将变
7. **内部不稳**：秦宓被囚，内部意见分歧
8. **东吴危机**：刘备大军压境，东吴面临威胁
