# 《三国演义》第七十回事件列表

## 回目：猛张飞智取瓦口隘　老黄忠计夺天荡山

## 详细事件列表（20条）

1. 张郃分兵三寨守险，各取巴西
2. 张飞与雷铜夹击张郃，大败之
3. 张郃退守宕渠三寨，坚守不出
4. 张飞每日饮酒辱骂，诱敌之计
5. 孔明识破张飞计谋，送酒助阵
6. 张飞醉卧诱敌，张郃中计劫寨
7. 魏延、雷铜夺二寨，张飞大胜
8. 张郃退守瓦口关，折兵二万
9. 张郃设伏杀雷铜，张飞将计就计
10. 张飞从小路攻关后，张郃大败逃走
11. 曹洪欲斩张郃，郭淮劝谏免死
12. 张郃领兵五千取葭萌关
13. 孟达迎战大败，霍峻坚守
14. 黄忠请战破张郃，孔明疑其年老
15. 黄忠折弓显威，严颜为副将
16. 黄忠、严颜夹击张郃，首战告捷
17. 夏侯尚、韩浩助战，黄忠连败骄敌
18. 黄忠夜袭夺三寨，大破魏军
19. 严颜伏兵斩夏侯德，黄忠夺天荡山
20. 法正建议取汉中，黄忠请战定军山

## 简要事件列表（6条）

1. 张飞智取瓦口隘，用计诱张郃劫寨
2. 张郃败退，转攻葭萌关
3. 黄忠请战，与严颜大破张郃
4. 黄忠用骄兵之计，连败后夜袭
5. 严颜伏兵斩将，黄忠夺天荡山
6. 法正建议取汉中，黄忠请战定军山

## 极简事件列表（4条）

1. 张飞智取瓦口隘，大败张郃
2. 黄忠严颜联手，再破张郃
3. 黄忠用骄兵计，夺取天荡山
4. 刘备决定取汉中，黄忠请战定军山

## 关键人物

- **张飞**：智取瓦口隘，用饮酒诱敌之计
- **黄忠**：老当益壮，计夺天荡山
- **张郃**：魏之名将，屡败于张飞、黄忠
- **严颜**：黄忠副将，斩夏侯德立功
- **诸葛亮**：识破张飞计谋，支持黄忠出战
- **刘备**：听取法正建议，决定取汉中

## 关键地点

- **瓦口隘**：张郃退守要隘
- **葭萌关**：孟达、霍峻守关
- **宕渠山**：张郃三寨所在地
- **天荡山**：曹操屯粮之地
- **定军山**：夏侯渊屯兵之所
- **汉中**：战略要地，刘备欲夺取

## 关键物品

- **美酒**：孔明送张飞诱敌之用
- **大刀**：黄忠轮动如飞显神威
- **硬弓**：黄忠连拽折两张
- **粮草**：天荡山屯积，蜀军夺取

## 典故成语

- **不入虎穴，焉得虎子**：黄忠激励士卒之言
- **骄兵之计**：黄忠连败诱敌之策
- **将计就计**：张飞识破张郃埋伏
- **老当益壮**：黄忠年近七十仍英勇
- **廉颇老矣**：黄忠自比廉颇显豪情

## 精彩对白

1. "某虽老，两臂尚开三石之弓，浑身还有千斤之力：岂不足敌张郃匹夫耶！" ——黄忠
2. "昔廉颇年八十，尚食斗米、肉十斤，诸侯畏其勇，不敢侵犯赵界，何况黄忠未及七十乎？" ——黄忠
3. "此非贪杯，乃败张郃之计耳。" ——诸葛亮
4. "不入虎穴，焉得虎子？" ——黄忠
5. "此天赐奇功，不取是逆天也。" ——黄忠

## 情节特点

1. **智勇结合**：张飞用智谋取胜，非单凭勇力
2. **老将风采**：黄忠、严颜老当益壮，建立奇功
3. **骄兵之计**：黄忠连败后夜袭，经典战术
4. **前后呼应**：张郃连续败于蜀将，显刘备军力强盛
5. **战略转折**：夺取天荡山为取汉中奠定基础

## 战略意义

1. **巩固益州**：夺取瓦口隘、天荡山，巩固刘备根据地
2. **削弱曹操**：张郃屡败，曹操在汉中势力受损
3. **进军汉中**：为夺取汉中创造有利条件
4. **鼓舞士气**：老将立功，激励全军士气
5. **彰显人才**：体现刘备手下人才济济，老将仍有用武之地

## 章回总结

本回通过张飞智取瓦口隘和黄忠计夺天荡山两个主要战役，展现了蜀汉将领的智勇双全。张飞一改往日鲁莽形象，用饮酒诱敌之计大败张郃；黄忠更是老当益壮，以骄兵之计夺取天荡山，为刘备夺取汉中奠定了重要基础。此回充分体现了"老骥伏枥，志在千里"的精神，也为后续定军山之战埋下伏笔。
