# 标题：《虎蛇拦路试韩湘 妖魔遁形避真火》

## 详细版
1. 湘子被那姑娘推出门后，外面黑得伸手不见五指，连路都看不清，只能先坐在一棵大树底下等天亮
2. 那姑娘在家越想越气，一会儿担心湘子被老虎咬了，一会儿又骂他不识抬举太傻，这些话被风一吹都传到湘子耳朵里了
3. 湘子在树底下听得心烦意乱，干脆摸黑上路，没走多远就看见两只像灯笼一样亮的眼睛——原来是只张着血盆大口的大老虎
4. 湘子一开始还以为是谁提着灯笼过来给他照亮，等看清是老虎时吓得一屁股坐在地上，动都不敢动
5. 老虎围着他转了两圈闻了闻，湘子突然鼓起勇气大声骂道："我连家都不要了来寻师修道，还怕你这大虫不成！你要吃就吃，我韩湘不怕！"没想到老虎听了扭头就跑开了
6. 湘子这才松了口气，继续往前走，没走多久又遇到一条跟柱子似的粗蟒蛇横在路中间挡住去路，身上的鳞片在月光下闪闪发光
7. 蟒蛇冲他喷了口黄绿色的毒气，湘子被熏得晕乎乎倒在地上，可蟒蛇看了看他也很快爬进草丛里不见了
8. 原来这些老虎、蟒蛇都是钟离权和吕洞宾故意派来考验湘子道心坚定不坚定的，想看看他会不会因为害怕就退缩
9. 接着湘子又遇到一群长得歪瓜裂枣、青面獠牙的鬼判拦路，一个个张牙舞爪的，样子可怕极了，可湘子一点都不害怕退缩
10. 湘子突然想起师父之前教过的秘诀，深吸一口气，一张嘴就喷出三尺三寸高的真火来，鬼判们吓得魂都没了，纷纷逃窜到不知哪里去了
11. 湘子继续赶路，远远看见前面有座高耸入云的高山，心里想着这应该就是终南山了吧，两位师父肯定住在那里
12. 他在山上转来转去半天也没找到师父的踪迹，心里一急差点想不开，这时候突然遇到一个骑青牛的小牧童吹着笛子走过来
13. 牧童笑着说："我知道钟离权和吕洞宾两位师父在哪里，跟我来吧！"说完就牵着牛带湘子往山上走去

## 简化版
1. 湘子大半夜摸黑赶路，先是碰到一只张着血盆大口的大老虎，他鼓起勇气骂了老虎一顿，老虎居然被吓跑了
2. 接着又遇到一条跟柱子一样粗的大蟒蛇挡路，蟒蛇喷了毒气熏得湘子直迷糊，但很快也爬走了
3. 后来又有一群青面獠牙的鬼判拦路，湘子想起秘诀张嘴喷出真火，把他们都吓跑了
4. 最后湘子在终南山上遇到个骑青牛的小牧童，牧童说知道师父在哪，带着他去找师父

## 极简版
1. 湘子在路上遇到老虎、蟒蛇和鬼判的各种考验
2. 凭借坚定道心和真火通过考验，遇到牧童带路
