## 第十九回 贬潮阳退之赴任 渡爱河湘子撑船

### 详细版（25项）：
1. 韩愈被免去死罪后，满朝文武如崔群、林圭等纷纷为其求情，恳请宪宗从轻发落。
2. 宪宗最终决定将韩愈贬谪到广东潮州担任刺史，且限定三个月内必须到任。
3. 韩愈得知贬谪消息后，掩面大哭，感慨自己因忠言获罪。
4. 韩愈回到家中，将贬谪之事告知妻子窦氏，窦氏闻言悲痛欲绝。
5. 韩愈匆忙收拾行李，吩咐家人好生看家，并叮嘱随从张千、李万准备出发。
6. 百官得知韩愈将被贬，纷纷前来送行，但因宪宗有旨不许官员出郭送别，只能到韩府作别。
7. 林学士单独将韩愈送到十里长亭，安慰他日后必能复职。
8. 韩愈一行三人启程前往潮州，一路上冷落凄凉，心情沉重。
9. 韩湘子与蓝采和看到韩愈被贬，决定在蓝关道上等候，设计点化他。
10. 湘子提议邀请钟离权、吕洞宾两位师父来安排机关，以便更好地度化韩愈。
11. 蓝采和前往洞府请师父，湘子则在蓝关道上等候。
12. 湘子与众仙商议，决定在路上降下风雪，让韩愈经历苦楚，从而坚定向道之心。
13. 湘子施展法术，画地成河，挡住韩愈的去路，自己变成艄公撑船等候。
14. 韩愈一行人赶路四十余日，天气逐渐变冷，心中更加愁苦。
15. 韩愈等人来到黄华驻馆，想要借宿，但驿丞因奉圣旨不敢收留。
16. 韩愈无奈，只能继续前行，却发现前面有一条大河挡住去路。
17. 张千、李万寻找渡船无果，正在焦急之际，看到湘子变成的艄公撑船而来。
18. 张千请求艄公渡他们过河，但艄公故意推三阻四，考验韩愈。
19. 韩愈亲自与艄公交谈，艄公借机讥讽韩愈不懂神仙之道，提到韩湘子。
20. 韩愈听艄公说话句句针对自己，心中疑惑，开始想念侄儿湘子。
21. 韩愈等人最终上了船，艄公一边撑船一边唱歌，歌词暗含深意。
22. 船到对岸后，张千准备付渡钱时，艄公和渡船突然消失，大河也不见了。
23. 韩愈见状大惊失色，意识到遇到了神仙，可能是湘子在点化自己。
24. 韩愈继续前行，天气突变，刮起大风，众人冻得瑟瑟发抖。
25. 韩愈在风雪中作《风赋》消愁，感慨自己的遭遇，随后又遇大雪，一行人艰难前行。

### 简化版（6项）：
1. 韩愈被贬潮州，限定三个月内到任，与家人悲痛告别。
2. 百官前来送行，林学士单独送到长亭安慰韩愈。
3. 韩湘子与蓝采和商议在蓝关道上点化韩愈。
4. 韩愈一行赶路四十余日，被驿丞拒绝借宿。
5. 湘子画地成河，变成艄公渡韩愈过河并借机点化。
6. 船到对岸后艄公消失，韩愈遇到大风雪，处境艰难。

### 极简版（3项）：
1. 韩愈被贬潮州，启程赴任。
2. 湘子设计在路途点化韩愈。
3. 韩愈遇风雪，处境艰难。
