## 第二十回 美女庄渔樵点化 雪山里牧子醒迷

### 详细版（26项）：
1. 韩愈一行人在风雪中艰难前行，来到一个名为三山庄（又称三山美女庄）的地方。
2. 实际上这是蓝采和特意变化出来的庄子，目的是考验韩愈的道心。
3. 韩愈担心暴露身份，让随从不要说自己是礼部尚书，只说是去潮州寻伙计的客人。
4. 韩愈等人走进一家酒店，想要饮酒取暖，店伙计故意说酒很醉人，暗示酒色迷人。
5. 店伙计告诉韩愈这里叫三山美女庄，有很多待嫁的女子，并提到店主的女儿明月仙和清风仙。
6. 楼上的明月仙（湘子变化的）唱曲吸引韩愈，韩愈听得神魂颠倒。
7. 韩愈请求在店内住宿，店伙计安排他住在明月仙楼下。
8. 店主贾似真（也是变化出来的）出来拜见韩愈，说女儿夜梦贵人，要将两个女儿嫁给韩愈。
9. 韩愈心动，想要娶她们为妾，希望能生个儿子延续香火。
10. 张千提醒韩愈这些人可能不是凡人，但韩愈不听，认为这是自己的运气。
11. 明月仙和清风仙出来与韩愈拜堂成亲，丫鬟们也来伺候。
12. 韩愈正要脱衣上床时，衣带突然被紧紧勒住，整个人被悬空吊了起来。
13. 韩愈惊恐呼救，等张千、李万赶来时，发现周围根本没有房屋和美女，韩愈被吊在松树上。
14. 树上挂着一张白纸，上面写诗讥讽韩愈贪恋美色和官位。
15. 韩愈羞愧难当，这时传来歌声，原来是湘子变化的樵夫挑柴而来。
16. 樵夫唱山歌劝人避险，韩愈听后流泪，感叹自己不如愚夫愚妇懂得避险。
17. 张千向樵夫问路，樵夫故意说些含沙射影的话，提到韩愈的表字“退之”。
18. 樵夫吓唬韩愈说前方道路危险，有各种妖精鬼怪，还提到“秦岭主仆分，马死蓝关渡”的预言。
19. 樵夫让韩愈去问东涧的渔父，然后突然消失不见。
20. 韩愈来到东涧，果然看到蓝采和变化的渔父在钓鱼。
21. 渔父也故意用言语讥讽韩愈，提到他的表字，暗示他执迷不悟。
22. 张千想要打渔父，渔父大笑后也消失了。
23. 李万猜测这些都是韩湘子变化来点化韩愈的。
24. 韩愈在风雪中作《雪赋》抒怀，感慨自己的困境。
25. 韩愈一行人继续前行，遇到湘子变化的牧童在寻牛。
26. 牧童提到自己的牛是青牛，并直接劝韩愈弃官修行，还说认识韩湘子。
27. 韩愈请求牧童帮忙寻找湘子，但牧童说神仙不会记挂凡尘之事。
28. 韩愈来到蓝关秦岭，看到碑上的字，想起湘子之前的预言，心中后悔不已。
29. 韩愈等人在风雪中继续前行，希望能找到安歇之处。

### 简化版（6项）：
1. 韩愈一行人来到三山美女庄，被变化出来的美女吸引，想要娶她们为妾。
2. 韩愈正要上床时被吊在松树上，才发现是一场考验。
3. 韩愈遇到湘子变化的樵夫，樵夫借机点化他，预言前方危险。
4. 韩愈又遇到蓝采和变化的渔父，渔父继续用言语讥讽他。
5. 韩愈在风雪中作《雪赋》抒怀，感慨自己的困境。
6. 韩愈遇到牧童，牧童提到湘子并劝他修行，韩愈来到蓝关秦岭，想起湘子的预言。

### 极简版（3项）：
1. 韩愈在美女庄受考验，被吊在松树上。
2. 樵夫、渔父、牧童先后点化韩愈。
3. 韩愈来到蓝关，想起湘子的预言。
