##标题：
卷一百二 张释之冯唐列传第四十二

##详细版：
1. 张释之初入仕途：张释之以家财殷实入选骑郎，事奉孝文帝十年未得升迁，欲辞职回家。
2. 袁盎举荐谒者：中郎将袁盎知张释之贤能，奏请迁调补谒者缺职，张释之趁机陈述便国宜民之事。
3. 论秦汉兴亡：张释之谈论秦朝灭亡和汉朝兴起的原因，文帝称好，任命为谒者仆射。
4. 虎圈问对：文帝登览虎圈问禽兽簿册，上林尉答不上来，虎圈啬夫代答详细，文帝欲升啬夫为上林令。
5. 张释之谏止升迁：张释之以秦朝任用刀笔吏导致天下土崩瓦解为鉴，劝谏文帝不要因能言善辩越级提升啬夫。
6. 司马门执法：太子和梁王入朝经司马门不下车，张释之追止弹劾，薄太后赦免后文帝认为其有奇特之处。
7. 霸陵论俭：文帝在霸陵指路慎夫人，欲用北山石头做外椁，张释之进言关键在于有无引起贪欲之物。
8. 升任廷尉：因霸陵论俭之言，文帝提升张释之为廷尉。
9. 中渭桥惊驾：有人从桥下跑出惊吓文帝车马，张释之依法判处罚金，文帝大怒欲加重处罚。
10. 据法力争：张释之强调法律是天子天下人共同遵守，廷尉是公平象征，最终说服文帝认可判罚。
11. 宗庙盗环案：有人偷盗高祖庙神座前玉环，张释之依法判处斩首示众，文帝欲灭族。
12. 法理辩驳：张释之以罪责逆顺轻重为由辩驳，认为若盗宗庙器物就灭族，万一有人盗掘长陵将无法加重处罚。
13. 文帝认可：经与太后商议，文帝准许廷尉判罚，张释之执法公正得到天下称颂。
14. 景帝时期恐惧：文帝去世景帝即位，张释之恐惧称病，采用王生计策得以当面谢罪。
15. 王生系袜：处士王生在朝廷上让张释之跪下系袜子，故意侮辱以加重张释之名望。
16. 改任淮南相：张释之奉事景帝一年多后改任淮南王相，因从前得罪过景帝的缘故。
17. 张挚免职：张释之去世后其子张挚做到大夫被免职，因不善于取悦权贵终身未再仕。
18. 冯唐孝行著称：冯唐以孝行著称做中郎署长，文帝乘车经过郎署询问其家世。
19. 论廉颇李牧：冯唐谈论李齐不如廉颇、李牧，文帝感叹不能得此良将，冯唐直言即使得到也不会起用。
20. 冯唐论将：冯唐以上古君王派遣将官跪下推车为例，说明军功赏赐应由将军决定，君王不干扰。
21. 为魏尚辩解：冯唐为云中太守魏尚辩解，说明其因上报斩杀敌人差六个首级而被治罪的不公。
22. 文帝悔悟：文帝听了很高兴，当日赦免魏尚重新任云中太守，拜冯唐为车骑都尉。
23. 景帝免职：景帝即位任命冯唐为楚国丞相，后来免职。
24. 武帝举荐：武帝即位访求贤良举荐冯唐，时年九十多岁不能任职，让其子冯遂为郎官。

##简化版：
1. 张释之仕途起步：张释之家殷入选骑郎十年未升迁，袁盎举荐为谒者，论秦汉兴亡得文帝赏识。
2. 执法公正显名：张释之谏止文帝越级提升啬夫，司马门执法弹劾太子，中渭桥惊驾案据法力争，宗庙盗环案法理辩驳，执法公正得天下称颂。
3. 景帝时期转任：文帝去世后张释之恐惧称病，王生系袜加重其名望，后改任淮南王相直至去世。
4. 冯唐论将之道：冯唐以孝行著称，与文帝论廉颇李牧，直言即使得到良将也不会起用，以上古将道为例说明军功赏赐应由将军决定。
5. 为魏尚平反：冯唐为云中太守魏尚辩解，说明赏罚不明之弊，文帝悔悟赦免魏尚并拜冯唐为车骑都尉。
6. 晚年及子孙：景帝时冯唐任楚相后免职，武帝时九十多岁被举荐不能任职，其子冯遂为郎官。
7. 张氏后代：张释之子张挚做到大夫被免职，因不善于取悦权贵终身未再仕。
8. 太史公评论：张释之遵守法度不迎合上意，冯唐论将帅之道有味道，二位先生接近不偏私不结党标准。

##极简版：
1. 张释之执法：张释之从骑郎起家，因袁盎举荐得文帝赏识，历任谒者仆射、廷尉，以执法公正著称，谏止越级升迁、弹劾太子、据法判案，景帝时改任淮南相。
2. 冯唐论将：冯唐以孝行著称，与文帝论将帅之道，为魏尚辩解得文帝认可赦免，历任车骑都尉、楚相，晚年九十多岁被武帝举荐。
3. 执法精神：张释之强调法律天子与天下人共同遵守，廷尉是公平象征，其执法公正得到天下称颂。
4. 将帅之道：冯唐论上古君王派遣将官不干扰军功赏赐，说明魏尚案赏罚不明之弊，体现将帅率军作战的道理。
5. 二人结局：张释之任淮南相去世，其子不善于取悦权贵终身未仕；冯唐晚年不能任职，其子为郎官。

##绘图提示词：
汉初双贤执法论道图：画面中央分为左右两部分，左侧张释之身着廷尉官服，手持法典，面前跪着惊驾案乡民和盗环案
