卷九十五 樊郦滕灌列传第三十五

详细版事件：
1. 樊哙出身沛县，以杀狗卖肉为业，与高祖一起隐居
2. 樊哙跟随高祖在丰邑起兵，攻下沛县，被任命为舍人
3. 樊哙在胡陵、方与、丰邑、薛县西等地作战，因军功被赐国大夫爵位
4. 樊哙在濮阳之战中率先登城，斩敌首二十三级，被赐列大夫爵位
5. 樊哙在城阳、户牖之战中立功，被赐上闻爵位
6. 樊哙在成武击败秦东郡郡守郡尉，被赐五大夫爵位
7. 樊哙在杠里击败秦河间郡守，在开封北击败赵贲，因功被赐卿爵位
8. 樊哙在曲遇击败杨熊，在宛陵率先登城，被赐贤成君封号
9. 樊哙跟随高祖进攻长社、轘辕，封锁黄河渡口，攻克武关，进军霸上
10. 鸿门宴上，樊哙持盾闯入营帐，谴责项羽，保护沛公脱险
11. 项羽封沛公为汉王，樊哙被封为临武侯，升任郎中
12. 樊哙随汉王进入汉中，后回师平定三秦，攻打西县县丞和雍王骑兵
13. 樊哙在雍、斄二县率先登城，在好畤击败章平，升任郎中骑将
14. 樊哙在壤乡东打退敌军，升为将军，参与攻打赵贲，引水淹没废丘
15. 樊哙随汉王进攻项羽，屠灭煮枣，在外黄击败王武、程处，攻打邹、鲁等地
16. 樊哙在荥阳被增封平阴二千户，守卫广武与楚军相持一年
17. 樊哙随高祖攻占阳夏，包围项羽于陈县，大败楚军，屠灭胡陵
18. 刘邦称帝后，樊哙因坚守作战有功，增加食邑八百户
19. 樊哙随高帝征讨燕王臧荼，活捉臧荼，平定燕地
20. 樊哙随高帝到陈县逮捕谋反的楚王韩信，被改封为舞阳侯
21. 樊哙随高帝到代地讨伐韩王信，平定霍人以西至云中地区
22. 樊哙进攻陈豨和曼丘臣，率先登城攻破柏人，升为左丞相
23. 樊哙在无终活捉綦毋卬、尹潘，在代南击败王黄，在参合攻击韩信军队
24. 樊哙在横谷击败陈豨率领的匈奴骑兵，杀死赵既，俘虏多名将领
25. 樊哙以相国身份征讨反叛的卢绾，平定燕地十八县，增加食邑
26. 樊哙娶吕后妹妹吕须为妻，与皇室关系最亲密
27. 高祖病重时，樊哙闯入宫中劝谏高祖不要只与宦官独处，批评其重用宦官可能导致秦二世灭亡的后果，高祖笑着起身
28. 有人诬陷樊哙与吕氏勾结，声称刘邦死后樊哙会尽诛戚夫人和赵王如意等人，高祖大怒，派陈平与周勃去军中诛杀樊哙，陈平考虑到吕后关系，将其押送长安而未杀
29. 高祖去世后，吕后释放樊哙，恢复其爵位封地
30. 惠帝六年，樊哙去世，谥号武侯，其子樊伉继嗣
31. 吕后逝世后，大臣诛灭吕氏，樊伉也被杀，舞阳侯爵位中断
32. 孝文帝即位后，封樊哙庶子樊市人为舞阳侯，恢复爵位封地
33. 郦商是高阳人，陈胜起义时纠集数千人，后率四千人在岐地投奔沛公
34. 郦商在长社率先登城，被赐信成君爵位，参与攻打缑氏、封锁黄河渡口
35. 郦商随沛公攻占宛、穰二城，平定十七县，单独率军攻下旬关，平定汉中
36. 刘邦封郦商为信成君，任陇西都尉，单独平定北地、上郡
37. 郦商在焉氏击败章邯军队，在枸邑打败周类，在泥阳打败苏驵
38. 郦商以梁相国身份随从汉王攻击项羽，攻克胡陵
39. 郦商随高帝征讨燕王臧荼，率先登城，被提升为右丞相，封涿侯
40. 郦商单独平定上谷，攻占代，俘获代国丞相程纵等十九人
41. 郦商以右丞相身份攻打陈豨，踏平东垣，击败黥布前锋方阵
42. 郦商改封曲周五千一百户，单独击败三支敌军，平定六郡七十三县
43. 郦商之子郦寄与吕禄交情深厚，大臣劫持郦商，让郦寄骗吕禄出游
44. 太尉周勃得以进入北军，诛杀吕氏，同年郦商逝世，谥号景侯
45. 景帝时郦寄参与平定吴楚七国之乱，后因罪被剥夺侯爵
46. 夏侯婴是沛县人，起初在沛县驿站赶车，与高祖交好
47. 高祖误伤夏侯婴，夏侯婴为其作证，自己被关押一年多，挨了几百板子
48. 高祖攻打沛县时，夏侯婴以县令史身份追随，后被任命为太仆
49. 夏侯婴招降秦泗水郡监平，被赐五大夫爵位，参与多场战役
50. 夏侯婴因战功被赐执帛、执珪爵位，获滕公封号
51. 彭城之战失败后，夏侯婴保护孝惠帝和鲁元公主脱险，多次将被踢下车的孩子收起
52. 汉王封夏侯婴为昭平侯，任太仆，随汉王进入蜀、汉，回师平定三秦
53. 夏侯婴随高帝征讨臧荼、捕获韩信，食邑改为汝阴
54. 夏侯婴随高帝在平城被匈奴冒顿单于四十万骑兵包围七日，刘邦采用陈平之计，通过阏氏解围，夏侯婴坚持慢慢退出，令士兵拉满弩弓对外防范
55. 平城之围后，夏侯婴三次攻陷匈奴敌阵，功劳最大，高帝将细阳千户加封给夏侯婴
56. 孝惠帝和吕后感谢夏侯婴搭救之恩，赐给他宫殿北面第一等宅第
57. 夏侯婴历仕高祖、惠帝、高后、文帝四朝，始终担任太仆
58. 夏侯婴于文帝八年去世，谥号文侯，其子夏侯灶继嗣
59. 灌婴是睢阳贩卖丝绸的小贩，后追随沛公，在成武、扛里等地作战勇猛
60. 灌婴因战功被赐七大夫、执帛爵位，号宣陵君，后升执圭，号昌文君
61. 灌婴随汉王进入汉中，回师平定三秦，击败殷王，在定陶南打败龙且
62. 灌婴被封为列侯，号昌文侯，食邑杜县平乡
63. 彭城之战后，灌婴任中大夫，率骑兵在荥阳东大败楚军骑兵
64. 灌婴切断楚军粮道，在鲁城下击败项冠，在燕西击败王武
65. 灌婴被提升为御史大夫，随韩信在历下击败齐军，收降临淄
66. 灌婴追击田横至嬴、博，在千乘杀死田吸，在高密参与击败龙且
67. 灌婴独领一军在鲁北打败楚将公杲，降服淮南，攻下彭城
68. 灌婴参与垓下之战，其部下五人共同斩杀项羽，都被封为列侯
69. 灌婴渡长江平定吴、豫章、会稽三郡，回师平定淮北五十二县
70. 刘邦称帝后，灌婴被封为颍阴侯，参与平定臧荼、捕获韩信
71. 灌婴随高帝攻打韩王信，降服楼烦以北六县，击败匈奴骑兵
72. 灌婴参与平定陈豨、黥布叛乱，功劳显著，增加食邑
73. 吕后逝世后，灌婴率军至荥阳，与绛侯等人商议铲除吕氏
74. 灌婴与绛侯、陈平等人立代王为孝文皇帝，被任命为太尉
75. 周勃卸任丞相后，灌婴继任为丞相，后率军抗击匈奴，因济北王造反撤兵
76. 灌婴在丞相任上去世，谥号懿侯，其子灌阿继嗣

太史公评价：太史公认为樊哙、郦商、夏侯婴、灌婴四人虽然出身卑微，但都跟随高祖从沛县起事，南征北战，功劳显著。樊哙曾冒死救主于鸿门宴；郦商之子郦寄虽有背信弃义之嫌，但客观上助诛吕氏；夏侯婴四次保护孝惠帝和鲁元公主，忠诚可鉴；灌婴征战一生，最后位至丞相。四人皆为汉室江山的建立和稳固做出了重要贡献。

简化版事件：
1. 樊哙随高祖起兵，鸿门宴上闯帐救主，多次征战立功，封舞阳侯，后被诬谋反险些被杀
2. 郦商聚众投沛公，征战各地立功封曲周侯，其子郦寄骗吕禄出游助诛吕氏
3. 夏侯婴与高祖交好，彭城之战保护惠帝和鲁元公主，历仕四朝始终任太仆
4. 灌婴从丝绸小贩成长为名将，参与垓下之战，封颍阴侯，后任丞相
5. 四人皆为高祖亲信，从卑微出身到位列侯相，辅助汉朝建立和稳定

极简版事件：
1. 樊哙：鸿门宴救主，封舞阳侯
2. 郦商：征战立功，子助诛吕
3. 夏侯婴：保护惠帝，四朝太仆
4. 灌婴：参与垓下之战，任丞相

绘图提示词：
鸿门宴救主：描绘鸿门宴上樊哙持盾闯入营帐的场景。樊哙身材魁梧，表情刚毅，手持铁盾，剑已出鞘，站在营帐中央。项羽坐在主位上，表情惊讶。刘邦和张良坐在一侧，表情紧张但安心。周围武士手持兵器，气氛剑拔弩张。画面应体现樊哙的勇猛无畏和忠诚护主的英雄气概。
