# 山西雁大闹侯爷府 小诸葛设立招夫擂

## 详细版事件列表
1. 徐良化装成吊死鬼返回长安侯府，听到贺兆雄因朱似玉被救而大怒
2. 徐良装鬼大闹侯府，吓得贺兆雄及其手下胆战心惊
3. 贺兆雄的教师识破是人为装鬼，贺兆雄持刀攻击徐良
4. 徐良轻松躲过攻击，并踢伤贺兆雄盆骨脆骨
5. 徐良用手指弹打围攻的众人头部，教训恶奴
6. 徐良扔出警告纸条后飞身上房离开侯府
7. 徐良返回店房休息，次日离开长安府准备回太原府
8. 徐良路过华阴县，发现街上异常冷清，心中疑惑
9. 徐良在小饭馆打听到当地正在举办"招夫擂"
10. 徐良得知招夫擂是师叔小诸葛沈仲元为女儿沈春莲所设
11. 徐良前往碧云寺观看招夫擂，因被人嘲笑长相而使用气功挤到前面
12. 沈仲元上台说明招夫擂规则，要求人品端正且武功高强
13. 沈春莲上台展示武艺，获得台下热烈掌声
14. 潼关的勇金刚于大鹏第一个上台，急着要认亲

## 简化版事件列表
1. 徐良化装成吊死鬼大闹长安侯府，教训贺兆雄及其手下
2. 徐良留下警告纸条后离开侯府，准备返回太原府
3. 徐良路过华阴县，发现当地异常冷清
4. 徐良得知师叔沈仲元正在为女儿沈春莲设立招夫擂
5. 徐良前往碧云寺观看招夫擂，沈春莲展示武艺后，勇金刚于大鹏第一个上台

## 极简版事件列表
1. 徐良化装大闹长安侯府，教训恶人
2. 徐良路过华阴县，发现师叔沈仲元设立招夫擂
3. 徐良前往观看招夫擂，沈春莲展示武艺后有人上台应擂
