# 第100回 事件列表

## 详细版事件列表
1. 少林高僧欧阳普中和凌空长老接到三堂主陈仓的信，得知三教堂欲设英雄会对付上三门，决定前往调解
2. 两位高僧路过东山嘴，遇见正在混战的众人，欧阳普中喝停战斗
3. 房书安向高僧们讲述事情经过，说明白云剑客夏侯仁被五阴掌所伤
4. 欧阳普中试图劝说金灯剑客夏遂良和解，遭夏遂良拒绝并侮辱
5. 凌空长老忍不住出手大战夏遂良，但二十几个回合后便支撑不住
6. 欧阳普中加入战斗，兄弟二人联手对战夏遂良，五十多回合不分胜负
7. 大堂主方天化提议收兵，改在九月初九英雄会上解决争端
8. 夏遂良同意暂时收兵，但被突然赶到的白衣神童小剑摩白一子拦住
9. 小剑摩亮出佛光剑，代表八十一门总门长清理门户，质问谁打伤了师兄夏侯仁
10. 房书安指认五阴剑客庄子勤，小剑摩大怒，开杀戒斩杀庄子勤
11. 小剑摩与夏遂良大战一百五十回合，夏遂良渐感不支欲逃跑
12. 神秘老人无名氏（陶福安）出现拦住夏遂良，一掌劈断其武器锁链
13. 小剑摩追上夏遂良，砍落其帽子并将其扫倒在地，欲下杀手
14. 陶福安制止小剑摩，表明身份为百步神拳无影掌陶禄陶福安
15. 陶福安劝说夏遂良认错悔改，夏遂良被迫当众道歉
16. 在陶福安调解下，众人放走夏遂良，其他反派如方天化、詹明奇、江洪烈等也四散逃跑
17. 众人回到王家老店设宴庆贺，房书安在席上耍宝逗乐
18. 众人商议决定：由陈仓接管三教堂，小剑魔护送夏侯仁回山养伤，其他人各归各处
19. 蒋平赶到传达皇上旨意，要求除恶务尽，众人推测夏遂良等人可能逃往南海三仙岛
20. 徐良和白芸瑞决定前往三仙岛探查，房书安被安排先回开封
21. 徐良和白芸瑞因性格和习惯差异分道而行，白芸瑞先到达望海镇，准备上三仙岛

## 简化版事件列表
1. 少林高僧欧阳普中和凌空长老赶到战场，试图调解欧阳普中与夏遂良的争端，未果后双方动手
2. 白衣神童小剑摩持佛光剑赶到，为师兄夏侯仁报仇，斩杀五阴剑客庄子勤，大战金灯剑客
3. 百步神拳无影掌陶福安出现，制服夏遂良并调解，众人最终放走夏遂良
4. 众人商议决定由陈仓接管三教堂，其他众人各归各处
5. 蒋平传达皇命，徐良和白芸瑞分道前往南海三仙岛追查夏遂良等人下落

## 极简版事件列表
1. 少林高僧调解未果，小剑摩斩杀庄子勤大战夏遂良
2. 陶福安出现制服夏遂良，众人在其调解下放走夏遂良
3. 徐良和白芸瑞分道前往南海三仙岛追查敌人

## 绘图提示词
1. 【少林高僧劝架】战场中央，两位穿着红色僧袍的高僧（欧阳普中和凌空）站在中间，周围是手持各种兵器的武林人士，高僧双手合十，表情严肃，正在喝停战斗。身后是一辆马车，车上躺着昏迷的白云剑客夏侯仁。

2. 【小剑摩斩庄子勤】身穿白色道袍的小剑摩（白一子）手持发光的佛光剑，正一剑劈向五阴剑客庄子勤。小剑摩表情愤怒，庄子勤惊恐万分，周围是观战的众人。佛光剑上有七彩光芒，画面充满紧张的战斗气氛。

3. 【陶福安训夏遂良】白发白须的陶福安站在中间，一手叉腰一手指点跪在地上的夏遂良。夏遂良低头认错，周围站着徐良、白芸瑞、欧阳普中等人。背景是山林，地面上有夏遂良的断了锁链的三尖匕首钺。
