# 白眉大侠第125回事件列表

## 详细版事件列表（15条）
1. 房书安在岸边小树林遇到陆小英寻仇，他假装告知白芸瑞已死，后解释白芸瑞被困七星楼
2. 陆小英和尚怀山透露他们已找到金冠道人孔仙芝来帮忙破七星楼
3. 金冠道人说明七星楼是他所建，愿戴罪立功帮助破楼
4. 有人来报海面上来了大批船只，原来是朝廷派来的1300名厢军援兵
5. 曹景超都指挥带来援兵，徐良为众人安排酒宴，准备夜间行动
6. 徐良分兵派将，将众人分为八路，第一路由他亲自率领陪孔道爷破七星楼
7. 徐良、金冠道人等来到七星楼前，遇到南海十魔中的前四位阻拦
8. 徐良出手先后斩杀水中魔巴林、开路魔巴广、人中魔武六和云中魔高申
9. 尚怀山、陆小英解决其余喽啰，众人正要上楼时，宫世良带人出现
10. 宫世良跪在师父金冠道人面前，谎称被三仙观威胁才助纣为虐，请求将功补过
11. 众人相信宫世良，他带头打开西北乾门并关闭一楼总机关
12. 众人跟随宫世良进入七星楼，宫世良突然偷袭金冠道人
13. 金冠道人及时躲过偷袭，宫世良趁机逃走
14. 金冠道人带领众人破除二楼机关（老寿星、仙鹤、铜鹿）
15. 众人成功破除一二楼机关，准备上三楼救被困的十二位高人

## 简化版事件列表（5条）
1. 陆小英寻仇房书安，得知白芸瑞被困七星楼，她与尚怀山请来金冠道人帮忙破楼
2. 朝廷派来1300名厢军支援，徐良分兵派将，准备夜间行动
3. 徐良等人来到七星楼前，除掉南海十魔中的四位阻拦者
4. 宫世良假意向师父认错，却趁机偷袭金冠道人后逃走
5. 金冠道人带领众人成功破除一二楼机关，准备上三楼救人

## 极简版事件列表（3条）
1. 陆小英和尚怀山请来金冠道人帮忙破七星楼
2. 徐良分兵派将，朝廷援兵到达
3. 众人破除七星楼一二楼机关，准备上三楼救人

## 绘图提示词（4个场景）
1. 岸边对峙：房书安跪在陆小英面前解释，尚怀山站在一旁，背景是茂密的小树林和远处的水域，陆小英表情又气又急
2. 招商店群英会：众人围坐在一起，金冠道人孔仙芝坐在中间，徐良正在介绍情况，屋里坐满了武林高手
3. 七星楼前激战：徐良挥舞金丝大环刀对战南海十魔，周围是厮杀的人群，七星楼在背景中灯火通明
4. 楼内机关破解：金冠道人正在破解二楼老寿星机关，徐良、陆小英等人紧张地在旁观看，周围是复杂的机关装置
