# 白眉大侠第134回事件列表

## 详细版（15条）
1. 蒋平、徐良、房书安等率领开封府校尉和军兵来到晋王府，要求搜查贼寇。
2. 晋王府长史赵喜以需要禀报王爷为由拖延，拒绝立即开门。
3. 房书安不满赵喜拖延，命令军兵敲门并威胁撞门，赵喜仍然不从。
4. 蒋平制止房书安的急躁行为，要求按规矩办事，等待晋王回应。
5. 晋王府中仪门打开，晋王赵吉在侍卫、王官和宫女陪同下现身。
6. 蒋平向晋王解释奉旨拿贼、京城戒严搜捕的情况。
7. 晋王表面同意搜查，却只让王府长史赵喜代替他们进去搜查。
8. 赵喜搜查后回报称未发现外人，晋王要求蒋平等人离开。
9. 房书安不满，要求亲自搜查晋王府，遭晋王拒绝并被打耳光，滚下台阶受伤。
10. 晋王破口大骂蒋平等人仗势欺人，自恃皇家身份贬低众人。
11. 徐良反驳晋王，指出大家都是皇帝臣子，奉命行事，晋王无权阻挠。
12. 晋王提出除非有专门搜查晋王府的圣旨，否则绝不让众人入内，随后甩袖回府。
13. 蒋平和徐良商议后，决定由徐良继续封锁王府，蒋平、房书安前往南清宫求助八王爷。
14. 房书安提议让八王爷传假旨，八王爷起初拒绝，后在蒋平劝说下同意。
15. 八王爷写下一道类似圣旨的八王令旨，蒋平、房书安拿着返回晋王府。

## 简化版（5条）
1. 蒋平、徐良等奉旨在京城戒严抓贼，带军兵到晋王府要求搜查。
2. 晋王表面允许搜查，却只让王府长史赵喜代替检查，回报无外人。
3. 房书安要求亲自搜查遭拒并被晋王打耳光，引发冲突。
4. 晋王坚持要有专门搜查晋王府的圣旨才允许入内，否则拒不开门。
5. 蒋平、房书安求助八王爷，获取八王令旨冒充圣旨返回晋王府。

## 极简版（3条）
1. 蒋平、徐良等带兵到晋王府搜查贼寇，遭晋王赵吉阻挠。
2. 晋王要求必须有专门搜查晋王府的圣旨才允许入内。
3. 蒋平、房书安从八王爷处获取令旨冒充圣旨返回。

## 绘图提示词
1. 晋王府门前场景：蒋平、徐良、房书安带领众多军兵站在晋王府大门外，王府大门紧闭，长史赵喜站在门内台阶上与众人对话，气氛紧张。
2. 晋王现身场景：晋王府中仪门打开，晋王赵吉在侍卫、王官和宫女簇拥下走出，身穿龙袍，头戴王冠，显得气派威严，蒋平等人下跪参拜。
3. 冲突场景：房书安被晋王打耳光后滚下台阶，手捂脸颊，表情痛苦，徐良上前搀扶，众人愤怒地看着晋王，晋王则露出蛮横表情。
4. 南清宫求助场景：蒋平、房书安在南清宫向八王爷赵德芳诉说情况，八王爷手持八王令旨陷入沉思，表情犹豫不决。
