《三国演义》第四十九回事件列表

回目：七星坛诸葛祭风　三江口周瑜纵火

---

## 详细事件列表（120条）

1. 周瑜立于山顶观望良久，忽然望后而倒
2. 周瑜口吐鲜血，不省人事，左右救回帐中
3. 诸将皆来动问，尽皆愕然相顾
4. 诸将说江北百万之众，倘曹兵一至如之奈何
5. 慌忙差人申报吴侯，一面求医调治
6. 鲁肃见周瑜卧病，心中忧闷，来见孔明
7. 鲁肃言周瑜卒病之事，孔明说公瑾之病亮亦能医
8. 鲁肃说诚如此则国家万幸，即请孔明同去看病
9. 鲁肃先入见周瑜，瑜以被蒙头而卧
10. 鲁肃问都督病势若何，周瑜说心腹搅痛，时复昏迷
11. 鲁肃问曾服何药饵，周瑜说心中呕逆，药不能下
12. 鲁肃说适来去望孔明，言能医都督之病
13. 周瑜命请入，教左右扶起，坐于床上
14. 孔明说连日不晤君颜，何期贵体不安
15. 周瑜说人有旦夕祸福，岂能自保
16. 孔明笑说天有不测风云，人又岂能料乎
17. 周瑜闻失色，乃作呻吟之声
18. 孔明问都督心中似觉烦积否，周瑜说然
19. 孔明说必须用凉药以解之，周瑜说已服凉药全然无效
20. 孔明说须先理其气，气若顺则自然痊可
21. 周瑜料孔明必知其意，以言挑之问欲得顺气当服何药
22. 孔明笑说亮有一方，便教都督气顺
23. 周瑜说愿先生赐教，孔明索纸笔屏退左右
24. 孔明密书十六字：欲破曹公，宜用火攻；万事俱备，只欠东风
25. 孔明递与周瑜说此都督病源也
26. 周瑜见了大惊，暗思孔明真神人，早已知我心事
27. 周瑜笑说先生已知我病源，将用何药治之
28. 孔明说曾遇异人，传授奇门遁甲天书，可以呼风唤雨
29. 孔明说都督若要东南风时，可于南屏山建七星坛
30. 孔明说坛高九尺作三层，用一百二十人手执旗幡围绕
31. 孔明说于台上作法，借三日三夜东南大风
32. 周瑜说休道三日三夜，只一夜大风，大事可成矣
33. 周瑜传令差五百精壮军士往南屏山筑坛
34. 周瑜拨一百二十人执旗守坛，听候使令
35. 孔明辞别出帐，与鲁肃上马来南屏山相度地势
36. 孔明令军士取东南方赤土筑坛
37. 坛方圆二十四丈，每一层高三尺，共是九尺
38. 下一层插二十八宿旗：东方七面青旗，按角、亢、氏、房、心、尾、箕
39. 北方七面皂旗，按斗、牛、女、虚、危、室、壁
40. 西方七面白旗，按奎、娄、胃、昴、毕、觜、参
41. 南方七面红旗，按井、鬼、柳、星、张、翼、轸
42. 第二层周围黄旗六十四面，按六十四卦，分八位而立
43. 上一层用四人，各人戴束发冠，穿皂罗袍，凤衣博带，朱履方裾
44. 前左立一人手执长竿，竿尖上用鸡羽为葆以招风信
45. 前右立一人手执长竿，竿上系七星号带，以表风色
46. 后左立一人捧宝剑，后右立一人捧香炉
47. 坛下二十四人，各持旌旗、宝盖、大戟、长戈等环绕四面
48. 孔明于十一月二十日甲子吉辰，沐浴斋戒，身披道衣
49. 孔明跣足散发，来到坛前
50. 孔明分付鲁肃说子敬自往军中相助公瑾调兵
51. 孔明说倘亮所祈无应，不可有怪，鲁肃别去
52. 孔明嘱付守坛将士不许擅离方位，不许交头接耳
53. 孔明说不许失口乱言，不许失惊打怪，如违令者斩
