《三国演义》第五十回事件列表

回目：诸葛亮智算华容　关云长义释曹操

---

## 详细事件列表（120条）

1. 当夜张辽一箭射黄盖下水，救得曹操登岸
2. 曹操寻着马匹走时，军已大乱
3. 韩当冒烟突火来攻水寨，忽听得士卒报道后梢舵上一人高叫将军表字
4. 韩当细听，但闻高叫"义公救我"
5. 韩当说此黄公覆也，急教救起
6. 见黄盖负箭着伤，咬出箭杆，箭头陷在肉内
7. 韩当急为脱去湿衣，用刀剜出箭头，扯旗束之
8. 韩当脱自己战袍与黄盖穿了，先令别船送回大寨医治
9. 原来黄盖深知水性，故大寒之时，和甲堕江，也逃得性命
10. 当日满江火滚，喊声震地
11. 左边是韩当、蒋钦两军从赤壁西边杀来
12. 右边是周泰、陈武两军从赤壁东边杀来
13. 正中是周瑜、程普、徐盛、丁奉大队船只都到
14. 火须兵应，兵仗火威，此正是三江水战，赤壁鏖兵
15. 曹军着枪中箭、火焚水溺者，不计其数
16. 后人有诗赞赤壁之战
17. 又有一绝云赞南士无心迎魏武，东风有意便周郎
18. 甘宁令蔡中引入曹寨深处，宁将蔡中一刀砍于马下
19. 甘宁就草上放起火来
20. 吕蒙遥望中军火起，也放十数处火，接应甘宁
21. 潘璋、董袭分头放火呐喊，四下里鼓声大震
22. 曹操与张辽引百余骑，在火林内走，看前面无一处不着
23. 正走之间，毛玠救得文聘，引十数骑到
24. 操令军寻路，张辽指道只有乌林地面空阔可走
25. 操径奔乌林，正走间背后一军赶到，大叫曹贼休走
26. 火光中现出吕蒙旗号，操催军马向前
27. 留张辽断后，抵敌吕蒙，却见前面火把又起
28. 从山谷中拥出一军，大叫凌统在此
29. 曹操肝胆皆裂，忽刺斜里一彪军到，大叫丞相休慌
30. 徐晃在此，彼此混战一场，夺路望北而走
31. 忽见一队军马，屯在山坡前，徐晃出问
32. 乃是袁绍手下降将马延、张顗，有三千北地军马列寨在彼
33. 当夜见满天火起，未敢转动，恰好接着曹操
34. 操教二将引一千军马开路，其余留着护身
35. 操得这枝生力军马，心中稍安
36. 马延、张顗二将飞骑前行，不到十里，喊声起处
37. 一彪军出，为首一将大呼吾乃东吴甘兴霸也
38. 马延正欲交锋，早被甘宁一刀斩于马下
39. 张顗挺枪来迎，宁大喝一声，顗措手不及
40. 被宁手起一刀，翻身落马，后军飞报曹操
41. 操此时指望合淝有兵救应
42. 不想孙权在合淝路口，望见江中火光，知是我军得胜
43. 孙权便教陆逊举火为号，太史慈见了与陆逊合兵一处
44. 太史慈冲杀将来，操只得望彝陵而走
45. 路上撞见张郃，操令断后，纵马加鞭
46. 走至五更，回望火光渐远，操心方定
47. 操问此是何处，左右说此是乌林之西，宜都之北
48. 操见树木丛杂，山川险峻，乃于马上仰面大笑不止
49. 诸将问丞相何故大笑，操说吾不笑别人，单笑周瑜无谋
50. 操说诸葛亮少智，若是吾用兵之时，预先在这里伏下一军
51. 说犹未了，两边鼓声震响，火光竟天而起
52. 惊得曹操几乎坠马，刺斜里一彪军杀出
53. 大叫我赵子龙奉军师将令，在此等候多时了
54. 操教徐晃、张郃双敌赵云，自己冒烟突火而去
55. 子龙不来追赶，只顾抢夺旗帜，曹操得脱
