《三国演义》第五十二回事件列表

回目：诸葛亮智辞鲁肃　赵子龙计取桂阳

---

## 详细事件列表（120条）

1. 周瑜见孔明袭了南郡又闻他袭了荆襄如何不气，气伤箭疮半晌方苏
2. 众将再三劝解，瑜说若不杀诸葛村夫怎息我心中怨气
3. 瑜说程德谋可助我攻打南郡定要夺还东吴，正议间鲁肃至
4. 瑜说吾欲起兵与刘备、诸葛亮共决雌雄复夺城池，子敬幸助我
5. 鲁肃说不可，方今与曹操相持尚未分成败，主公现攻合淝不下
6. 肃说不争自家互相吞并，倘曹兵乘虚而来其势危矣
7. 肃说况刘玄德旧曾与曹操相厚，若逼得紧急献了城池一同攻打东吴
8. 瑜说吾等用计策损兵马费钱粮，他去图现成岂不可恨
9. 肃说公瑾且耐，容某亲见玄德将理来说他，若说不通那时动兵未迟
10. 诸将说子敬之言甚善，于是鲁肃引从者径投南郡来
11. 肃到城下叫门，赵云出问，肃说我要见刘玄德有话说
12. 云答吾主与军师在荆州城中，肃遂不入南郡径奔荆州
13. 肃见旌旗整列军容甚盛，暗羡孔明真非常人也
14. 军士报入城中说鲁子敬要见，孔明令大开城门接肃入衙
15. 讲礼毕分宾主而坐，茶罢肃说吾主吴侯与都督公瑾教某再三申意皇叔
16. 肃说前者操引百万之众名下江南实欲来图皇叔
17. 肃说幸得东吴杀退曹兵救了皇叔，所有荆州九郡合当归于东吴
18. 肃说今皇叔用诡计夺占荆襄，使江东空费钱粮军马而皇叔安受其利
19. 肃说恐于理未顺，孔明说子敬乃高明之士何故亦出此言
20. 孔明说常言道物必归主，荆襄九郡非东吴之地乃刘景升之基业
21. 孔明说吾主固景升之弟也，景升虽亡其子尚在
22. 孔明说以叔辅侄而取荆州有何不可，肃说若果系公子刘琦占据尚有可解
23. 肃说今公子在江夏须不在这里，孔明说子敬欲见公子乎
24. 孔明便命左右请公子出来，只见两从者从屏风后扶出刘琦
25. 琦谓肃说病躯不能施礼子敬勿罪，鲁肃吃了一惊默然无语
26. 良久肃言说公子若不在便如何，孔明说公子在一日守一日
27. 孔明说若不在别有商议，肃说若公子不在须将城池还我东吴
28. 孔明说子敬之言是也，遂设宴相待
29. 宴罢肃辞出城连夜归寨具言前事
30. 瑜说刘琦正青春年少如何便得他死，这荆州何日得还
31. 肃说都督放心只在鲁肃身上务要讨荆襄还东吴
32. 瑜问子敬有何高见，肃说吾观刘琦过于酒色病入膏肓
33. 肃说现今面色羸瘦气喘呕血不过半年其人必死
34. 肃说那时往取荆州刘备须无得推故，周瑜犹自忿气未消
35. 忽孙权遣使至，瑜令请入，使说主公围合淝累战不捷
36. 使说特令都督收回大军且拨兵赴合淝相助
37. 周瑜只得班师回柴桑养病，令程普部领战船士卒来合淝听孙权调用
38. 刘玄德自得荆州、南郡、襄阳心中大喜商议久远之计
39. 忽见一人上厅献策，视之乃伊籍也，玄德感其旧日之恩十分相敬
40. 玄德坐而问之，籍说要知荆州久远之计何不求贤士以问之
41. 玄德问贤士安在，籍说荆襄马氏兄弟五人并有才名
42. 籍说幼者名谡字幼常，其最贤者眉间有白毛名良字季常
43. 籍说乡里为之谚曰马氏五常白眉最良，公何不求此人而与之谋
