《三国演义》第三十六回"玄德用计袭樊城　元直走马荐诸葛"事件列表

【详细事件列表】
1. 曹仁因二将被杀，忿怒起兵渡河欲踏平新野
2. 单福（徐庶）预料曹仁必来，献计夺取樊城
3. 曹仁大军到来，两军对阵
4. 赵云出战李典，十余合李典不敌回阵
5. 李典建议回樊城，曹仁大怒欲斩李典
6. 众将求情，曹仁免李典死罪，调为后军
7. 次日曹仁布下八门金锁阵挑战
8. 单福识破阵法，指点破阵之法
9. 赵云从东南生门杀入，从西景门杀出
10. 曹仁军大乱，刘备军大胜
11. 曹仁信李典之言，决定夜劫刘备寨
12. 李典劝阻，曹仁不听
13. 单福预料曹仁劫寨，预先设下埋伏
14. 二更时分，曹仁劫寨，寨中火起
15. 赵云掩杀，曹仁败退
16. 张飞在河边截杀曹仁
17. 李典保护曹仁渡河，曹军大半淹死
18. 曹仁奔至樊城，关羽已夺取樊城
19. 关羽追杀，曹仁再败，星夜投许昌
20. 刘备入樊城，县令刘泌出迎
21. 刘备见刘泌甥寇封，收为义子，改名刘封
22. 关羽反对收螟蛉子，刘备不听
23. 刘备令赵云守樊城，自回新野
24. 曹仁李典回许都请罪
25. 曹操问刘备军师是谁，曹仁答是单福
26. 程昱认出单福实为徐庶
27. 程昱介绍徐庶身世：幼好击剑，曾为人报仇杀人
28. 徐庶更名逃难，折节向学，与司马徽谈论
29. 曹操问徐庶之才，程昱说十倍于己
30. 曹操惜贤士归刘备，程昱献计赚徐庶
31. 程昱说徐庶至孝，可利用其母
32. 曹操派人取徐庶母至许昌
33. 曹操厚待徐母，命其写信召子
34. 徐母问刘备为人，曹操诋毁刘备
35. 徐母怒斥曹操，称刘备为真英雄
36. 徐母骂曹操为汉贼，以石砚打曹操
37. 曹操大怒欲斩徐母，程昱劝阻
38. 程昱建议留徐母以赚徐庶
39. 曹操不杀徐母，送别室供养
40. 程昱日往问候，待徐母如亲母
41. 程昱骗取徐母笔迹，仿写家书
42. 差心腹人持书奔新野找徐庶
43. 徐庶见母信，泪如泉涌
44. 徐庶向刘备坦白真实身份
45. 徐庶讲述投刘备经过
46. 徐庶告知老母被囚，必须离去
47. 刘备大哭，不忍强留
48. 孙乾密谏刘备苦留徐庶
49. 刘备以仁义为重，拒绝强留
50. 众将感叹刘备仁义
51. 刘备请徐庶饮酒，二人相对而泣
52. 次日郭外设筵饯行
53. 刘备与徐庶并马出城至长亭
54. 刘备举杯饯行，望徐庶善事新主
55. 徐庶泣别，誓终身不设一谋
56. 刘备说徐庶去后自己将远遁山林
57. 徐庶劝刘备别求高贤
58. 刘备说天下高贤无出徐庶右者
59. 徐庶临别嘱诸将善事刘备
60. 刘备送了一程又一程，不忍相离
61. 刘备立马林畔，望徐庶远去
62. 刘备哭欲伐林，因阻望徐庶之目
63. 徐庶拍马而回，刘备欣然相迎
64. 徐庶推荐诸葛亮，说在襄阳城外二十里隆中
65. 徐庶说诸葛亮不可屈致，需亲往求之
66. 徐庶比诸葛亮于吕望、张良
67. 刘备问诸葛亮才德比徐庶如何
68. 徐庶自比驽马并麒麟、寒鸦配鸾凤
69. 徐庶说诸葛亮自比管仲、乐毅，实则不及
70. 徐庶称诸葛亮有经天纬地之才，天下一人
71. 刘备问诸葛亮姓名
72. 徐庶介绍诸葛亮身世：琅琊阳都人，汉司隶校尉诸葛丰之后
73. 诸葛亮父名珪，字子贡，为泰山郡丞，早卒
74. 诸葛亮从叔玄，与刘表有旧，家于襄阳
75. 玄卒，亮与弟诸葛均躬耕南阳
76. 诸葛亮好为《梁父吟》，居卧龙冈，自号卧龙先生
77. 徐庶称诸葛亮为绝代奇才
78. 刘备悟伏龙、凤雏之说
79. 徐庶确认伏龙即诸葛亮，凤雏乃庞统
80. 刘备踊跃，恨有眼如盲
81. 后人赞徐庶走马荐诸葛诗
82. 徐庶再别刘备，策马而去
83. 刘备回新野，备厚币欲请诸葛亮
84. 徐庶至卧龙冈见诸葛亮
85. 徐庶说明来意，劝诸葛亮辅佐刘备
86. 诸葛亮作色，以为徐庶以己为享祭之牺牲
87. 诸葛亮拂袖而入
88. 徐庶羞惭而退，赴许昌见母

【简要事件列表】
1. 曹仁攻新野，单福献计破敌，夺取樊城
2. 曹操得知单福即徐庶，程昱献计赚其母
3. 徐母骂曹操，程昱仿笔迹写信骗徐庶
4. 徐庶辞刘备，临别推荐诸葛亮
5. 徐庶见诸葛亮，诸葛亮不悦，徐庶赴许昌

【极简事件列表】
1. 徐庶助刘备破曹仁，夺取樊城
2. 曹操用徐母赚徐庶，徐母骂曹
3. 徐庶辞刘备推荐诸葛亮
4. 诸葛亮初不愿出山，徐庶赴许昌
