《三国演义》第六十六回事件列表
回目：关云长单刀赴会　伏皇后为国捐生

【详细事件列表（120条）】
1. 孙权要索荆州，张昭献计执诸葛瑾老小
2. 张昭说使瑾入川告其弟，令劝刘备交割荆州
3. 张昭说如不还荆州，必累及瑾老小
4. 张昭说亮念同胞之情，必然应允
5. 孙权说诸葛瑾乃诚实君子，安忍拘其老小
6. 张昭说明教知是计策，自然放心
7. 孙权从之，召诸葛瑾老小虚监在府
8. 孙权一面修书，打发诸葛瑾往西川去
9. 诸葛瑾早到成都，先使人报知玄德
10. 玄德问孔明令兄此来为何，孔明说来索荆州
11. 玄德问何以答之，孔明说只须如此如此
12. 计会已定，孔明出郭接瑾
13. 孔明不到私宅，径入宾馆参拜
14. 诸葛瑾放声大哭，孔明问兄长有事但说
15. 瑾说吾一家老小休矣，孔明说莫非为不还荆州
16. 孔明说因弟之故执下兄长老小，弟心何安
17. 孔明说兄休忧虑，弟自有计还荆州便了
18. 瑾大喜，同孔明入见玄德，呈上孙权书
19. 玄德看书大怒，说孙权既以妹嫁我
20. 玄德说孙权乘我不在荆州，竟将妹子潜地取去
21. 玄德说情理难容，正要大起川兵杀下江南
22. 玄德说却还想来索荆州乎
23. 孔明哭拜于地，说吴侯执下亮兄长老小
24. 孔明说倘若不还，吾兄将全家被戮
25. 孔明说兄死，亮岂能独生，望主公看亮面
26. 孔明说将荆州还了东吴，全亮兄弟之情
27. 玄德再三不肯，孔明只是哭求
28. 玄德徐徐说既如此，看军师面分荆州一半还之
29. 玄德说将长沙、零陵、桂阳三郡与他
30. 亮说既蒙见允，便可写书与云长令交割三郡
31. 玄德说子瑜到彼须用善言求吾弟
32. 玄德说吾弟性如烈火，吾尚惧之，切宜仔细
33. 瑾求了书，辞了玄德，别了孔明，登程到荆州
34. 云长请入中堂，宾主相叙
35. 瑾出玄德书说皇叔许先以三郡还东吴
36. 瑾说望将军即日交割，令瑾好回见吾主
37. 云长变色说吾与吾兄桃园结义，誓共匡扶汉室
38. 云长说荆州本大汉疆土，岂得妄以尺寸与人
39. 云长说将在外，君命有所不受
40. 云长说虽吾兄有书来，我却只不还
41. 瑾说今吴侯执下瑾老小，若不得荆州必将被诛
42. 瑾说望将军怜之，云长说此是吴侯谲计
43. 云长说如何瞒得我过，瑾说将军何太无面目
44. 云长执剑在手说休再言，此剑上并无面目
45. 关平告说军师面上不好看，望父亲息怒
46. 云长说不看军师面上，教你回不得东吴
47. 瑾满面羞惭，急辞下船，再往西川见孔明
48. 孔明已自出巡去了，瑾只得再见玄德
49. 瑾哭告云长欲杀之事，玄德说吾弟性急
50. 玄德说极难与言，子瑜可暂回
