《三国演义》第四十八回事件列表

回目：宴长江曹操赋诗　锁战船北军用武

---

## 详细事件列表（120条）

1. 庞统闻言吃了一惊，急回视其人
2. 原来是徐庶，庞统心下方定
3. 庞统回顾左右无人，说徐庶若说破计策，江南八十一州百姓皆送了
4. 徐庶笑说此间八十三万人马性命如何
5. 庞统问元直真欲破计耶
6. 徐庶说感刘皇叔厚恩未尝忘报
7. 徐庶说曹操送死其母，已说过终身不设一谋
8. 徐庶说今安肯破兄良策，但兵败后玉石不分
9. 徐庶请庞统教脱身之术，即缄口远避
10. 庞统笑说元直高见远识，此有何难
11. 徐庶愿先生赐教
12. 庞统去徐庶耳边略说数句
13. 徐庶大喜拜谢
14. 庞统别却徐庶，下船自回江东
15. 徐庶当晚密使近人去各寨中暗布谣言
16. 次日寨中三三五五交头接耳而说
17. 探事人报知曹操，军中传言西凉州韩遂、马腾谋反
18. 曹操大惊，急聚众谋士商议
19. 曹操说引兵南征，所忧者韩遂、马腾耳
20. 曹操说谣言虽未辨虚实，然不可不防
21. 徐庶进言请得三千人马星夜往散关把住隘口
22. 曹操喜说若得元直去，无忧矣
23. 曹操说散关上亦有军兵，公统领之
24. 曹操拨三千马步军，命臧霸为先锋星夜前去
25. 徐庶辞了曹操，与臧霸便行
26. 此便是庞统救徐庶之计
27. 后人有诗赞庞统救徐庶
28. 曹操自遣徐庶去后，心中稍安
29. 曹操上马先看沿江旱寨，次看水寨
30. 曹操乘大船一只于中央，上建帅字旗号
31. 两傍皆列水寨，船上埋伏弓弩千张
32. 时建安十三年冬十一月十五日，天气晴明，平风静浪
33. 曹操令置酒设乐于大船之上，今夕欲会诸将
34. 天色向晚，东山月上，皎皎如同白日
35. 长江一带，如横素练
36. 曹操坐大船之上，左右侍御者数百人，皆锦衣绣袄
37. 文武众官，各依次而坐
38. 曹操见南屏山色如画，四顾空阔，心中欢喜
39. 曹操说自起义兵以来，与国家除凶去害
40. 曹操说誓愿扫清四海，削平天下，所未得者江南也
41. 曹操说今有百万雄师，更赖诸公用命，何患不成功
42. 曹操说收服江南之后，天下无事，与诸公共享富贵
43. 文武皆起谢，愿得早奏凯歌
44. 曹操大喜，命左右行酒
45. 饮至半夜，操酒酣，遥指南岸
46. 曹操说周瑜、鲁肃不识天时
47. 曹操说今幸有投降之人，为彼心腹之患，此天助吾也
48. 荀攸说丞相勿言，恐有泄漏
49. 曹操大笑说座上诸公皆吾心腹之人，言之何碍
50. 曹操指夏口说刘备、诸葛亮不料蝼蚁之力欲撼泰山
51. 曹操说吾今年五十四岁矣，如得江南，窃有所喜
52. 曹操说昔日乔公与吾至契，知其二女皆有国色
53. 曹操说后不料为孙策、周瑜所娶
54. 曹操说今新构铜雀台于漳水之上
55. 曹操说如得江南，当娶二乔，置之台上，以娱暮年
56. 曹操言罢大笑
57. 唐人杜牧之有诗曰
58. 曹操正笑谈间，忽闻鸦声望南飞鸣而去
59. 曹操问此鸦缘何夜鸣
60. 左右答说鸦见月明，疑是天晓，故离树而鸣
61. 曹操又大笑
62. 时操已醉，乃取槊立于船头上
63. 曹操以酒奠于江中，满饮三爵
