《三国演义》第八回事件列表

王司徒巧使连环计　董太师大闹凤仪亭

【详细事件列表】20条：
1. 蒯良建议刘表乘孙坚死进军江东，刘表不忍弃黄祖
2. 孙策换回黄祖，接父灵柩回江东，葬父于曲阿
3. 董卓在长安闻孙坚死，更加骄横，自号"尚父"
4. 董卓出入僭天子仪仗，封董氏宗族为列侯
5. 董卓筑郿坞，积二十年粮，选八百美女充实其中
6. 董卓宴席上残杀降卒，百官战慄，董卓谈笑自若
7. 董卓斩杀司空张温，诬其结连袁术图谋不轨
8. 王允夜入后园，见貂蝉长叹，得知其忧国之心
9. 王允向貂蝉说明连环计，欲离间董卓吕布父子
10. 貂蝉答应万死不辞，愿为汉室效力
11. 王允先送金冠给吕布，邀其赴宴
12. 王允宴请吕布，让貂蝉陪酒，许配给吕布
13. 王允又宴请董卓，让貂蝉歌舞，献给董卓
14. 吕布撞见王允送貂蝉入相府，王允巧言解释
15. 吕布潜入董卓卧房窥探，见貂蝉梳头，二人眉目传情
16. 董卓发现吕布窥视，怒斥吕布不许入堂
17. 李儒劝董卓安抚吕布，董卓赐金帛给吕布
18. 吕布趁董卓上朝，私会貂蝉于凤仪亭
19. 貂蝉向吕布哭诉，欲跳池自尽被吕布抱住
20. 董卓回府不见吕布，赶至凤仪亭，掷戟刺吕布

【简要事件列表】5条：
1. 董卓在长安更加骄横，残杀降卒和张温，百官恐惧
2. 王允夜见貂蝉，实施连环计离间董卓吕布父子
3. 王允先将貂蝉许配吕布，后又献给董卓，巧言安抚
4. 吕布与貂蝉眉目传情被发现，董卓怒斥吕布
5. 吕布私会貂蝉于凤仪亭，董卓发现后掷戟追杀

【极简事件列表】3条：
1. 董卓在长安骄横残暴，王允设计连环计离间董卓吕布
2. 王允先将貂蝉许配吕布，后又献给董卓，引发矛盾
3. 吕布私会貂蝉被董卓发现，凤仪亭掷戟追杀吕布
