# 红楼梦第91回事件列表

## 详细版（15条）
1. 宝蟾深夜骚扰薛蝌，薛蝌装睡不理，宝蟾失望而归
2. 宝蟾设计穿着诱人服饰早起取食具，欲试探薛蝌，薛蝌仍不为所动
3. 金桂与宝蟾商议如何笼络薛蝌，宝蟾提议先讨好再灌醉胁迫
4. 金桂采纳宝蟾建议，转变态度开始笼络薛蝌
5. 夏金桂过继兄弟夏三登场，与金桂在房中密谈被薛姨妈撞见
6. 夏三以舅爷身份频繁往来薛府，为后续风波埋下伏笔
7. 薛蟠来信称案件道里驳回需重审，催促薛姨妈托人打点
8. 薛姨妈急派薛蝌赴县打点，宝钗因劳累忧虑突发高烧
9. 宝钗病情危急，连服冷香丸后方才好转
10. 王夫人向贾政提及宝钗婚事，贾政同意先放定，明春过礼
11. 王夫人将贾政意见告知薛姨妈，薛姨妈表示赞同
12. 宝玉察觉薛姨妈态度冷淡，心中疑惑不安
13. 宝玉到潇湘馆找黛玉倾诉，黛玉分析是因薛家事务繁忙所致
14. 黛玉借禅语试探宝玉心意，宝玉以"弱水三千，只取一瓢饮"表明心志
15. 秋纹来传贾政召唤，宝玉慌忙离开（下回分解）

## 简化版（5条）
1. 宝蟾与金桂设计挑逗薛蝌，薛蝌不为所动
2. 夏三以舅爷身份频繁往来薛府
3. 薛蟠案件生变，宝钗因忧虑劳累生病
4. 贾政同意宝玉与宝钗婚事，先放定后明春过礼
5. 宝玉黛玉禅语对话，宝玉表明只钟情黛玉

## 极简版（3条）
1. 宝蟾工设计挑逗薛蝌
2. 宝钗病愈定亲期
3. 宝玉黛玉妄谈禅
