# 红楼梦第058回事件列表

## 详细版（12条）
1. 老太妃薨逝，诰命等入朝守制，天下一年内不得筵宴音乐，庶民三月不得婚嫁
2. 贾母、邢王夫人等每日入朝随祭，需一月后方回，尤氏协理荣宁两处事体
3. 薛姨妈被托照管黛玉等姊妹，搬入潇湘馆与黛玉同房，黛玉如亲姊般相待
4. 荣宁两府下人因主子不在，偷安结党，尤氏等商议遣散梨香院十二女伶
5. 王夫人决定给愿回家的女伶盘费，不愿去者分散在园中使唤，文官、芳官等各得其所
6. 清明日宝玉因未大愈未去祭祀，在大观园散步见柳绿杏熟，感叹时光流逝
7. 宝玉发现藕官在杏子树下烧纸钱，为其解围并询问缘由
8. 藕官告知宝玉详情需问芳官，宝玉回房后借机询问芳官
9. 芳官与干娘争吵，因干娘先让亲女儿洗头再让芳官用剩水，袭人等调解
10. 芳官向宝玉讲述藕官与菂官在戏中扮演夫妻产生真情，菂官死后藕官每节烧纸祭祀
11. 芳官转述藕官关于"续弦不抛旧"的道理，宝玉深表认同
12. 宝玉教导芳官祭祀应重诚心而非形式，不必执着于烧纸钱等虚礼

## 简化版（5条）
1. 老太妃薨，贾母等入朝守制，薛姨妈搬入潇湘馆照管黛玉
2. 王夫人遣散梨香院戏班，将不愿回家的女伶分配到各房当差
3. 清明日宝玉见藕官在杏子树下烧纸祭菂官，为其解围
4. 芳官与干娘因洗头之事争吵，袭人、晴雯等劝解
5. 芳官向宝玉讲述藕官与菂官的戏中情缘，宝玉认同其痴情

## 极简版（3条）
1. 薛姨妈搬入潇湘馆照管黛玉
2. 宝玉在杏子阴撞见藕官烧纸祭菂官（假凤泣虚凰）
3. 芳官与干娘争执，袭人等调解
