# 红楼梦第97回事件列表

## 详细版（15条）
1. 黛玉得知宝玉将娶宝钗，精神受创吐血，病情加重
2. 贾母、王夫人、凤姐商议宝玉婚事，决定采用掉包计
3. 薛姨妈将婚事告知宝钗，宝钗虽伤心但接受安排
4. 薛蝌传来薛蟠案件已准误杀的消息，薛姨妈松了一口气
5. 宝玉得知要娶黛玉，精神好转但仍有些疯傻
6. 黛玉自料万无生理，请求紫鹃扶她起来
7. 黛玉焚稿断情，烧掉与宝玉的题帕和诗稿
8. 黛玉病情危急，紫鹃欲通知贾母，却发现贾家上下都在忙宝玉婚礼
9. 黛玉临终前李纨赶来，紫鹃悲痛欲绝
10. 雪雁被派去伺候新人，代替紫鹃
11. 宝玉婚礼举行，宝玉误以为新娘是黛玉，十分欢喜
12. 宝玉揭开盖头发现是宝钗，顿时如晴天霹雳，旧病复发
13. 众人安抚宝玉，贾母等坐以待旦
14. 次日贾政赴任江西粮道，宝玉勉强送行
15. 贾政离开后，宝玉旧病陡发，更加昏愦，连饮食也不能进了

## 简化版（5条）
1. 黛玉得知宝玉娶宝钗，病情加重
2. 黛玉焚稿断情，烧掉与宝玉的题帕和诗稿
3. 宝玉与宝钗举行婚礼，宝玉误以为新娘是黛玉
4. 宝玉发现新娘是宝钗，旧病复发
5. 贾政赴任江西，宝玉勉强送行后病情恶化

## 极简版（3条）
1. 林黛玉焚稿断痴情
2. 薛宝钗出闺成大礼
3. 宝玉发现真相旧病复发
