《红楼梦》第016回 事件列表

===== 详细版 =====
1. 秦钟因在郊外受风霜并与智能儿偷期绻缱，回家后咳嗽伤风，不敢出门
2. 凤姐得云光回信，张金哥退婚成功，但金哥与守备之子双双殉情而死，凤姐坐享三千两
3. 贾政生日当天，六宫都太监夏守忠传旨宣贾政入朝陛见
4. 赖大等报喜：贾元春晋封为凤藻宫尚书，加封贤德妃
5. 贾母等按品大妆入朝谢恩，宁荣两处上下热闹非常
6. 智能儿私逃进城找秦钟，被秦业发现并逐出，秦业气死，秦钟病情加重
7. 宝玉虽闻元春晋封，却因秦钟病重而怅然若失
8. 贾琏与黛玉从扬州返回，黛玉带来书籍并分送纸笔等物
9. 宝玉转赠北静王所赠鹡鸰香串给黛玉，黛玉嫌弃拒绝
10. 贾琏回房与凤姐叙话，提及香菱已成为薛蟠的妾
11. 平儿向凤姐汇报旺儿送利钱银子，为避贾琏耳目而撒谎
12. 赵嬷嬷求凤姐照看其两个儿子，并引出省亲之事
13. 贾琏详述省亲缘由：当今因至孝特恩准嫔妃回家省亲
14. 贾府决定从东府花园起至北边三里半大的地方建造省亲别院
15. 贾蔷被派往姑苏聘请教习、采买女孩子、置办乐器行头等物
16. 凤姐推荐赵嬷嬷的两个儿子（赵天梁、赵天栋）随贾蔷前往江南
17. 各行匠役齐集，开始拆宁府会芳园墙垣楼阁，连接荣府东大院
18. 山子野负责省亲别院的筹画起造
19. 秦钟病情恶化，最终夭逝

===== 简化版 =====
1. 凤姐弄权导致张金哥与守备之子双双殉情
2. 贾元春晋封为贤德妃，贾府准备建造省亲别院
3. 智能儿私逃找秦钟，导致秦业气死，秦钟病情加重
4. 贾琏与黛玉从扬州返回，黛玉拒绝宝玉转赠的香串
5. 贾蔷被派往姑苏采买唱戏的女孩子等物

===== 极简版 =====
1. 贾元春才选凤藻宫
2. 贾府准备建造省亲别院
3. 秦鲸卿夭逝黄泉路
