# 红楼梦第92回事件列表

## 详细版（15条）
1. 宝玉从潇湘馆回怡红院，与袭人、麝月讨论上学与消寒会事宜
2. 贾母派人传话免宝玉上学，要办消寒会并请薛姨妈等前来
3. 巧姐向贾母展示所学文字，提及《女孝经》，表现出慕贤良的态度
4. 宝玉得知柳五儿将补入怡红院，心中暗自欢喜
5. 李纨、探春、湘云、黛玉等前来赴消寒会，宝钗称病未到
6. 司棋因与表弟潘又安爱情受阻，撞墙自尽，潘又安亦随之殉情
7. 司棋母亲央人求凤姐说人情免报官，凤姐答应帮忙料理
8. 贾政与詹光下棋，冯紫英来访并展示四种洋货：母珠、鲛绡帐、《汉宫春晓》围屏和自鸣钟
9. 冯紫英演示母珠吸附小珠的奇观，众人称奇
10. 冯紫英展示鲛绡帐，折叠时小巧，展开后宽敞且能防蚊虫
11. 贾政命贾琏将洋货拿给贾母等人观看，开价两万两银子
12. 凤姐建议置祭地、义庄等不动摇根基，而非购买奢侈品
13. 贾赦前来，与贾政、冯紫英共饮，谈论洋货价值
14. 众人议论贾雨村即将升官，贾政感叹其钻营本事
15. 贾政提及甄家抄家之事，感叹人世荣枯无常，冯紫英告辞（下回分解）

## 简化版（5条）
1. 巧姐展示所学文字，表现出慕贤良态度
2. 司棋与潘又安因爱情受阻双双殉情
3. 冯紫英向贾政展示母珠等洋货，开价两万两
4. 凤姐建议置祭地义庄等恒产而非奢侈品
5. 贾政感叹贾雨村钻营及甄家盛衰无常

## 极简版（3条）
1. 巧姐慕贤良
2. 司棋殉情
3. 贾政参聚散
