# 红楼梦第82回事件列表

## 详细版（15条）
1. 宝玉下学回来向贾政汇报功课，贾政叮嘱其努力学习
2. 宝玉急切前往潇湘馆与黛玉见面，表达对读书和八股文的厌恶
3. 黛玉劝宝玉读书考取功名，认为其中也有可取之处
4. 宝玉觉得黛玉反常，对此观点不认同但未反驳
5. 秋纹前来告知宝玉，袭人让其回怡红院
6. 袭人告诉宝玉，老爷发狠让他念书，丫鬟们不敢再和他顽笑
7. 宝玉晚上看书看得头疼发烧，担心被误解为装病逃学
8. 第二天宝玉上学迟到，向代儒解释发烧的事
9. 代儒让宝玉讲解"后生可畏"章，纠正其理解中的错误
10. 代儒又让宝玉讲解"吾未见好德如好色者也"章，批评其知行不一
11. 代儒教导宝玉要努力上进，限定其一个月内理清旧书
12. 袭人因宝玉上学后怡红院清净，想起晴雯的遭遇
13. 袭人担忧自己作为偏房的未来，害怕成为尤二姐香菱的后身
14. 袭人到黛玉处探口气，二人讨论家庭中妻妾关系如"东风压西风"
15. 黛玉做噩梦，梦见父亲续弦要接她回家，宝玉态度冷淡，惊醒后病情加重

## 简化版（5条）
1. 宝玉开始上学读书，向黛玉表达对读书和八股文的厌恶
2. 黛玉劝宝玉考取功名，宝玉对此观点不认同
3. 代儒教导宝玉讲解经书，批评其知行不一，要求其努力上进
4. 袭人担忧自己作为偏房的未来，到黛玉处探口气
5. 黛玉做噩梦梦见被接回家，宝玉态度冷淡，病情加重

## 极简版（3条）
1. 宝玉上学读书，厌恶八股文，代儒教导其努力上进
2. 袭人担忧自己未来，与黛玉讨论妻妾关系
3. 黛玉做噩梦病情加重
