# 红楼梦第96回事件列表

## 详细版（15条）
1. 贾琏忿忿处理送假玉的人，赖大劝解后将其打发走，街上闹起"贾宝玉弄出假宝玉"的说法
2. 王夫人得知兄弟王子腾在进京路上暴病身亡，悲痛欲绝
3. 贾政被保列一等，放了江西粮道，即将赴任
4. 贾母提出要给宝玉冲喜，决定娶宝钗，并和贾政商量如何办理
5. 袭人向王夫人禀报宝玉真心在黛玉身上，担心冲喜不成反催命
6. 凤姐向贾母和王夫人提议"掉包计"，对外说娶黛玉，实际娶宝钗
7. 贾琏回来报告王子腾丧事处理情况，凤姐安排收拾新房
8. 黛玉带着紫鹃到贾母处请安，途中遇到傻大姐在哭泣
9. 傻大姐告诉黛玉宝玉要娶宝钗冲喜，还要给黛玉说婆家
10. 黛玉如遭雷击，精神恍惚，决定去见宝玉
11. 紫鹃发现黛玉状态异常，担心她见宝玉会说出不体统的话
12. 黛玉走进宝玉房间，两人相对傻笑，黛玉问宝玉为何生病
13. 宝玉回答"我为林姑娘病了"，袭人紫鹃吓得连忙用言语岔开
14. 袭人叫秋纹和紫鹃送黛玉回去，黛玉走得比往常还快
15. 黛玉回到潇湘馆门口，突然身子往前一栽，哇的一声，一口血直吐出来（下回分解）

## 简化版（5条）
1. 王子腾暴病身亡，贾政外放江西粮道
2. 贾母决定娶宝钗为宝玉冲喜
3. 凤姐提出掉包计，对外说娶黛玉实际娶宝钗
4. 黛玉从傻大姐口中得知宝玉要娶宝钗
5. 黛玉精神恍惚去见宝玉，回来后吐血昏迷

## 极简版（3条）
1. 瞒消息凤姐设奇谋
2. 泄机关颦儿迷本性
3. 黛玉惊闻噩耗吐血
