# 红楼梦第98回事件列表

## 详细版（15条）
1. 宝玉婚后病情加重，连饭也吃不下，众人遍请名医
2. 城外破寺中毕知庵大夫诊断宝玉为悲喜激射、忧忿滞中等内伤外感之症
3. 宝玉清醒后询问黛玉下落，宝钗告诉他黛玉已死
4. 宝玉大哭后昏迷，梦到阴司寻黛玉，被告知黛玉已归太虚幻境
5. 宝玉醒来后病情好转，宝钗、袭人为其劝解
6. 黛玉在宝玉成亲之夜回光返照，请求紫鹃送她回南方
7. 黛玉临终前直声叫道："宝玉，宝玉，你好……"，香魂消散
8. 李纨、探春料理黛玉后事，凤姐得知后先回宝玉处
9. 凤姐趁宝玉病情好转，向贾母、王夫人禀报黛玉去世消息
10. 贾母自责害死黛玉，又惦记宝玉两头难顾
11. 宝玉说梦到黛玉要回南方，贾母安慰他
12. 贾母告诉宝钗黛玉去世真相，宝钗落泪
13. 宝玉坚持要到潇湘馆哭祭黛玉，众人抬他前往
14. 宝玉在黛玉灵前嚎啕大哭，询问紫鹃黛玉临终情形
15. 贾母提议宝玉调养百日、过了宝钗功服后圆房，薛姨妈同意

## 简化版（5条）
1. 宝玉病情加重，幸得毕知庵大夫诊治好转
2. 黛玉在宝玉成亲之夜去世，临终呼喊宝玉
3. 凤姐向贾母、王夫人禀报黛玉去世消息
4. 宝玉坚持到潇湘馆哭祭黛玉
5. 贾母提议宝玉调养百日、过了功服后圆房

## 极简版（3条）
1. 苦绛珠魂归离恨天
2. 病神瑛泪洒相思地
3. 贾母商议宝玉宝钗圆房
