# 红楼梦第93回事件列表

## 详细版（15条）
1. 临安伯请贾政吃酒听戏，因衙门有事，贾赦带宝玉前往
2. 宝玉在临安伯府重见蒋玉菡，蒋玉菡已升为戏班掌班
3. 蒋玉菡表演《占花魁》，宝玉看得入神，暗赞其为情种
4. 贾府租子车被差役无理扣留，贾琏派人去衙门索要
5. 甄家被抄后，家仆包勇奉主命投靠贾府，贾政看其忠厚留下任用
6. 包勇向贾政讲述甄宝玉大病后改了脾气，专心读书
7. 贾府门上出现匿名揭帖，揭发水月庵贾芹等人的丑事
8. 贾政气得要上衙门，命赖大将水月庵女尼女道士全部带回
9. 赖大赶到水月庵，正撞见贾芹与女尼女道士喝酒作乐
10. 贾芹等人被带回贾府，贾政因要上衙门帮班，暂由贾琏处理
11. 凤姐听到水月庵出事，误以为是馒头庵旧案被发，急火攻心吐血
12. 平儿解释是水月庵而非馒头庵，凤姐才稍安心
13. 贾芹被贾琏叫到书房，看到揭帖后吓得面如土色
14. 贾芹跪求贾琏救命，贾琏与赖大商量如何隐瞒此事
15. 贾琏让贾芹一口咬定没有此事，打算将女尼女道士变卖了事（下回分解）

## 简化版（5条）
1. 宝玉在临安伯府重见蒋玉菡，欣赏其《占花魁》表演
2. 甄家仆包勇投靠贾府，讲述甄宝玉改邪归正
3. 贾府门上出现匿名揭帖，揭发水月庵风月丑事
4. 贾政命赖大将水月庵众人带回，贾芹被当场抓获
5. 贾琏与赖大商量隐瞒此事，贾芹吓得魂不附体

## 极简版（3条）
1. 甄家仆投靠贾家门
2. 蒋玉菡重见宝玉
3. 水月庵掀翻风月案
