# 《红楼梦》第019回 事件列表

## 详细版（15条）
1. 元妃回宫后，贾府上下人人力倦神疲，收拾园中一应陈设动用之物
2. 袭人回娘家吃年茶，宝玉独自在房中与丫头们玩耍
3. 宝玉被请去宁府看戏，贾珍安排的戏文热闹但过于嘈杂，宝玉看不下去
4. 宝玉在宁府书房撞见茗烟与丫头卍儿的私情，宝玉惊吓后饶恕二人
5. 宝玉在茗烟引导下私访袭人，袭人家人热情款待，袭人担心宝玉安全
6. 袭人向宝玉展示通灵宝玉给姊妹们传看，后命哥哥雇轿送宝玉回去
7. 李嬷嬷到宝玉房中，不满丫头们只顾玩闹，生气吃了留给袭人的酥酪
8. 宝玉回来后得知酥酪被吃，袭人巧妙化解矛盾，转移话题要宝玉剥栗子
9. 袭人以赎身试探宝玉，宝玉急得要留下她
10. 袭人提出"约法三章"，要求宝玉改毛病：不说寻死的话、在人前装喜欢读书、不毁僧谤道调脂弄粉
11. 宝玉一一答应，袭人表示只要宝玉听话就不走
12. 次日袭人偶感风寒生病，宝玉命人传医诊治
13. 宝玉到黛玉房中看望，黛玉正在歇午，宝玉怕她睡出病来要陪她说话
14. 宝玉与黛玉同枕说话，发现黛玉袖中有奇香，二人亲密玩笑
15. 宝玉讲"香玉"耗子精故事逗黛玉，被黛玉识破并拧笑

## 简化版（5条）
1. 宝玉在宁府看戏无聊，撞见茗烟与丫头卍儿的私情
2. 宝玉私访袭人，袭人家人热情款待，后安全送宝玉回去
3. 李嬷嬷生气吃了留给袭人的酥酪，袭人巧妙化解矛盾
4. 袭人以赎身试探宝玉，提出"约法三章"要宝玉改毛病，宝玉一一答应
5. 宝玉到黛玉房中，二人同枕亲密玩笑，宝玉讲"香玉"耗子精故事逗黛玉

## 极简版（3条）
1. 宝玉私访袭人，袭人家人热情款待
2. 袭人以赎身试探宝玉，提出要宝玉改毛病的条件
3. 宝玉与黛玉亲密玩笑，讲"香玉"耗子精故事
