## 第063回 寿怡红群芳开夜宴 死金丹独艳理亲丧

### 详细版事件列表：
1. 宝玉与袭人等丫鬟筹备生日夜宴，丫鬟们凑钱备办酒果
2. 林之孝家的查夜训诫宝玉，众人卸妆宽衣后继续宴饮
3. 众人行占花名儿酒令，宝钗掣得牡丹签"任是无情也动人"
4. 探春掣得杏花签"日边红杏倚云栽"，李纨掣得梅花签"竹篱茅舍自甘心"
5. 湘云掣得海棠签"只恐夜深花睡去"，麝月掣得荼蘼花签"开到荼蘼花事了"
6. 香菱掣得并蒂花签"连理枝头花正开"，黛玉掣得芙蓉签"莫怨东风当自嗟"
7. 袭人掣得桃花签"桃红又是一年春"，二更后薛姨妈派人接黛玉回去
8. 夜宴众人散后，宝玉房中丫鬟们继续饮酒猜拳，直至四更
9. 次日平儿来请众人还席，宝玉发现妙玉送来的拜帖
10. 宝玉请教邢岫烟如何回帖，得知妙玉自称"槛外人"的由来
11. 宝玉按岫烟建议以"槛内人"回帖，随后给芳官改妆并取名"耶律雄奴"
12. 湘云将葵官扮成小子取名"韦大英"，宝琴将豆官改名为"豆童"
13. 众人在榆荫堂中饮宴玩耍时，东府来人报贾敬宾天
14. 尤氏命锁拿玄真观道士，将贾敬尸体移至铁槛寺停放
15. 贾珍父子接旨后星夜赶回，贾蓉与尤二姐、尤三姐调笑

### 简化版事件列表：
1. 宝玉生日夜宴，众姐妹在怡红院掣花名签、行酒令
2. 妙玉派人送拜帖，宝玉在邢岫烟指导下以"槛内人"回帖
3. 宝玉给芳官改妆并取别名"耶律雄奴"，湘云、宝琴也给丫鬟改妆
4. 贾敬在玄真观去世，尤氏料理后事并移尸铁槛寺
5. 贾珍父子接旨后星夜赶回，贾蓉与尤氏姐妹调笑

### 极简版事件列表：
1. 寿怡红群芳开夜宴，众人掣花名签行酒令
2. 妙玉送帖，宝玉在邢岫烟指导下回帖
3. 贾敬去世，贾珍父子星夜赶回料理后事
