# 红楼梦第059回事件列表

## 详细版（13条）
1. 贾母等从朝中回来后又继续入朝守制，鸳鸯和玉钏儿留家看屋，赖大添派人丁上夜
2. 宝钗春困醒来，见园中土润苔青，湘云因两腮作痒要蔷薇硝，宝钗命莺儿去黛玉处取
3. 莺儿与蕊官同去潇湘馆，途中在柳叶渚采嫩柳编花篮，欲送给黛玉
4. 黛玉晨妆时收到莺儿的花篮，命紫鹃挂起，又命紫鹃包了一包蔷薇硝给莺儿
5. 黛玉表示今日要去蘅芜苑与薛姨妈、宝钗一同用饭，大家热闹些
6. 春燕提醒莺儿不要折柳摘花，因为这是她姑妈看管的地方，婆子们将这里视为永久基业
7. 春燕的姑妈赶来，见莺儿等采了嫩柳鲜花，心疼不已，用柱杖打春燕
8. 春燕的母亲也赶来，因芳官之事未平，又恨春燕不遂心，打春燕耳刮子
9. 春燕啼哭着跑向怡红院求助，遇到袭人，袭人责备婆子不该随意打骂
10. 春燕向宝玉哭诉，宝玉安慰她别怕，有自己护着
11. 麝月使人去叫平儿来处置，小丫头回说平儿要撵婆子出去并打四十板子
12. 婆子听后害怕，泪流满面央告袭人等，说自己是寡妇，家里无人
13. 袭人心软，宝玉见其可怜，最终留下婆子，但吩咐她不可再闹

## 简化版（5条）
1. 湘云因两腮作痒要蔷薇硝，宝钗命莺儿去黛玉处取
2. 莺儿与蕊官在柳叶渚采嫩柳编花篮，春燕提醒不可折柳摘花
3. 春燕的姑妈和母亲因莺儿折柳而打骂春燕
4. 春燕跑向怡红院求助宝玉，袭人、麝月等调解
5. 平儿传话要撵婆子出去并打板子，婆子求饶后被留下

## 极简版（3条）
1. 莺儿与蕊官在柳叶渚编花篮
2. 春燕因折柳之事被姑妈和母亲打骂（嗔莺咤燕）
3. 宝玉命平儿处置，最终留下婆子
