## 《红楼梦》第073回 痴丫头误拾绣春囊 懦小姐不问累金凤

### 详细版事件列表（15条）
1. 赵姨娘与贾政说话时，窗外窗棂塌了屈戍掉下来，赵姨娘骂丫头后亲自带领丫鬟上好
2. 赵姨娘房内丫鬟小鹊来怡红院向宝玉通风报信，称赵姨娘在贾政面前说了话，明日可能要盘考宝玉
3. 宝玉听后如同被念紧箍咒，忙披衣起来读书准备，却发现很多内容已忘，心中焦躁
4. 晴雯等丫鬟在旁伺候，有小丫头困得撞墙，晴雯大骂，宝玉劝众人替换休息
5. 金星玻璃（丫鬟）慌张跑来报告有人从墙上跳下来，晴雯趁机让宝玉装病躲盘考
6. 众人打着灯笼各处搜寻，晴雯故意闹得众人皆知宝玉被吓病了，王夫人命人来看视给药
7. 贾母闻知宝玉被吓，认为园内上夜人不小心，可能招贼，探春趁机道出园内有人聚赌
8. 探春说明园内赌局已从最初的小玩闹发展到开赌局，甚至有争斗相打之事
9. 贾母大怒，命凤姐传林之孝家的等总理家事四个媳妇来，当面申饬一顿
10. 贾母下令查赌，有人出首者赏，隐情不告者罚，最终查出三个大头家和八小头家
11. 三个大头家分别是林之孝家的两姨亲家、园内厨房柳家媳妇之妹及迎春的乳母
12. 贾母命烧毁赌具，罚没赌资，为首者各打四十大板并撵出，从者打二十大板并革去三月月钱
13. 黛玉、宝钗、探春等为迎春乳母说情，贾母不肯，称要拿奶子们作法立威
14. 傻大姐在园内拾到一个绣春囊，上面绣着男女私会的不堪图像
15. 迎春的累金凤被乳母偷去典银赌博，丫鬟绣桔要迎春向乳母要回，迎春懦弱不肯追问

### 简化版事件列表（5条）
1. 小鹊向宝玉通风报信，宝玉连夜读书准备应对贾政盘考
2. 晴雯趁有人跳墙事件，让宝玉装病躲过盘考
3. 探春向贾母报告园内有人聚赌，贾母大怒命彻查
4. 查出自家乳母等为首聚赌，贾母严惩不贷，连迎春说情也不允
5. 傻大姐在园内误拾绣春囊，预示祸事将至

### 极简版事件列表（3条）
1. 宝玉被传将受盘考，装病躲过
2. 园内聚赌被查，迎春乳母受罚
3. 傻大姐误拾绣春囊
