## 《红楼梦》第071回 嫌隙人有心生嫌隙 鸳鸯女无意遇鸳鸯

### 详细版事件列表（15条）
1. 贾政回京后赐假一月，八月初三日贾母八旬大庆，自七月二十八日起至八月初五日止荣宁两处开宴
2. 礼部奉旨钦赐金玉如意等寿礼，元春亦送金寿星等厚礼，亲友络绎送礼
3. 南安太妃、北静王妃等贵客来贺寿，贾母命凤姐去把史、薛、林、探春带来相见
4. 南安太妃拉着探春、宝钗、黛玉、宝琴细细夸赞，赠金玉戒指等礼物
5. 尤氏晚间在园中寻找管事人，两个婆子因吃酒无礼，小丫头回明后尤氏不快
6. 周瑞家的将此事回禀凤姐，凤姐命人捆起两个婆子交到马圈看守
7. 两个婆子的女儿求林之孝家的说情，林之孝家的指点她们找邢夫人的陪房费婆子
8. 费婆子因邢夫人不得志早有不满，借此事挑唆邢夫人
9. 邢夫人在众人面前向凤姐求情放婆子，明为说情实则羞辱凤姐
10. 凤姐又羞又气，回房哭泣，被琥珀发现，强作镇定去见贾母
11. 鸳鸯察觉凤姐眼肿，贾母询问，凤姐推说揉痒所致
12. 贾母命鸳鸯到园中嘱咐众人照看喜鸾和四姐儿
13. 鸳鸯与探春等谈论大家族难处，宝玉发表"过一日是一日"的感慨
14. 鸳鸯回房时在园角撞见司棋与姑舅兄弟幽会，司棋跪求保密
15. 角门要上锁，鸳鸯答应保密后离开

### 简化版事件列表（5条）
1. 贾母八旬大庆，南安太妃等贵客来贺，接见黛玉、宝钗等姑娘
2. 尤氏在园中遇两个婆子无礼，凤姐命人捆起她们
3. 邢夫人在众人面前为婆子求情，实则羞辱凤姐
4. 凤姐委屈哭泣，被鸳鸯察觉，贾母询问时凤姐掩饰
5. 鸳鸯夜间在园角无意撞见司棋与姑舅兄弟幽会

### 极简版事件列表（3条）
1. 贾母八旬大庆
2. 凤姐受邢夫人羞辱
3. 鸳鸯遇司棋幽会
