# 红楼梦第060回事件列表

## 详细版（16条）
1. 宝玉让春燕带话给莺儿赔罪，春燕告知母亲宝玉将来要放所有丫鬟出去与父母自便
2. 蕊官托春燕带蔷薇硝给芳官，贾环看到后想要一半，芳官因是蕊官所赠不舍得给
3. 芳官发现自己的蔷薇硝用完了，便用茉莉粉冒充给贾环，贾环不知被蒙骗
4. 贾环将茉莉粉送给彩云，彩云识破是茉莉粉而非蔷薇硝，赵姨娘得知后大怒
5. 赵姨娘在夏婆子挑拨下，怒气冲冲前往怡红院找芳官算账
6. 赵姨娘将茉莉粉撒在芳官脸上并辱骂她是娼妇粉头，芳官哭着反驳
7. 赵姨娘打了芳官两个耳刮子，芳官撒泼哭闹，撞在赵姨娘怀里要她打
8. 藕官、蕊官、葵官、豆官四人赶来帮芳官，将赵姨娘围住撕打
9. 晴雯差人请探春，探春、尤氏、李纨带着平儿赶来制止
10. 探春责备赵姨娘不顾身份与小丫鬟计较，赵姨娘无言以对，只得回房
11. 艾官向探春告发夏婆子挑唆赵姨娘，探春命人查访
12. 翠墨让蝉姐儿提醒夏婆子小心，蝉姐儿将此事告知夏婆子
13. 芳官到厨房传达宝玉晚饭要凉凉酸酸的素菜，与蝉儿发生口角
14. 芳官提到柳五儿生病，柳家的想让五儿到宝玉房里当差
15. 芳官将玫瑰露连瓶送给柳五儿，柳五儿感激不尽
16. 柳家的将一半玫瑰露送给生病的侄子，又从哥哥那里得到粤东官儿送的茯苓霜

## 简化版（5条）
1. 芳官用茉莉粉冒充蔷薇硝给贾环，赵姨娘得知后大怒
2. 赵姨娘在夏婆子挑拨下到怡红院打骂芳官，芳官撒泼哭闹
3. 藕官等四人帮芳官与赵姨娘厮打，探春赶来制止并责备赵姨娘
4. 芳官将玫瑰露送给柳五儿，柳家的想让五儿到宝玉房里当差
5. 柳家的将玫瑰露送侄子，又从哥哥那里得到茯苓霜

## 极简版（3条）
1. 芳官用茉莉粉冒充蔷薇硝给贾环（茉莉粉替去蔷薇硝）
2. 赵姨娘与芳官等厮打，探春制止
3. 芳官赠玫瑰露，柳家获茯苓霜（玫瑰露引来茯苓霜）
