# 红楼梦第023回事件列表

## 详细版事件列表（15条）
1. 贾元春命探春抄录大观园题咏并勒石，贾政命人选拔精工名匠在大观园磨石镌字，贾珍监工
2. 贾芹之母周氏求凤姐让贾芹管理小沙弥和小道士，凤姐向王夫人提议将他们送到铁槛寺，由贾芹管理
3. 凤姐答应贾琏将园子东北角种松柏树和花草的工程交给贾芸管理
4. 贾元春下谕让宝钗等姊妹只管在园中居住，命宝玉仍随进去读书
5. 宝玉因贾政召唤而紧张，后得知是让其进园读书，贾政训诫其好生用心习学
6. 王夫人关心宝玉丸药服用情况，提到袭人，贾政询问袭人名字由来，宝玉以诗句解释
7. 宝玉询问黛玉想住哪一处，黛玉选择潇湘馆，宝玉选择怡红院
8. 贾政择定二月二十二日为众人搬入大观园的日子，宝钗住蘅芜苑，黛玉住潇湘馆，迎春住缀锦楼，探春住秋爽斋，惜春住蓼风轩，李纨住稻香村，宝玉住怡红院
9. 宝玉在园内生活快乐，作了春夏秋冬四季即事诗，受到众人称颂
10. 宝玉因静中生烦恼，茗烟为其购买古今小说和传奇角本，宝玉偷偷带进园阅读
11. 宝玉在沁芳闸桥边桃花树下看《会真记》（《西厢记》），黛玉担着花锄来葬花
12. 黛玉建议将落花埋入花冢而非丢入水中，宝玉帮其收拾落花
13. 黛玉看到宝玉读的《会真记》，越看越爱看，称赞其词藻警人
14. 宝玉以《西厢记》中"多愁多病身"和"倾国倾城貌"调笑黛玉，黛玉假装恼怒，后两人和解
15. 黛玉在梨香院外听到《牡丹亭》曲子，被"如花美眷，似水流年"等句触动心事，心痛神痴，眼中落泪

## 简化版事件列表（5条）
1. 贾元春下谕让众姊妹和宝玉搬进大观园居住，众人选定各自住处
2. 宝玉在园内生活快乐，作春夏秋冬四季即事诗
3. 茗烟为宝玉购买古今小说和传奇角本，宝玉偷偷阅读《会真记》
4. 宝玉与黛玉在沁芳闸桥边共读《会真记》，两人借书中词句调笑，黛玉葬花
5. 黛玉在梨香院外听到《牡丹亭》曲子，被曲词触动心事，心痛神痴

## 极简版事件列表（3条）
1. 众人搬入大观园，宝玉住怡红院，黛玉住潇湘馆
2. 宝玉与黛玉共读《西厢记》，借书中词句调笑
3. 黛玉听《牡丹亭》曲子，触动心事
