# 红楼梦第061回事件列表

## 详细版（15条）
1. 柳家的与小厮对话，抱怨厨房工作艰辛，众奶奶严格看管园内果子
2. 迎春房里小丫头莲花儿来要炖鸡蛋，柳家的以鸡蛋短缺为由拒绝
3. 莲花儿在厨房翻出鸡蛋，与柳家的发生争执
4. 司棋得知后带小丫头们到厨房大闹，乱翻乱摔东西
5. 柳家的被迫蒸蛋送去，司棋全泼在地下
6. 柳家的将茯苓霜交给女儿五儿，五儿想分赠芳官
7. 五儿趁黄昏送茯苓霜给芳官，托小燕转交
8. 五儿返回时被林之孝家的撞见盘问
9. 小蝉、莲花儿指证厨房有玫瑰露，林之孝家的搜出露瓶和茯苓霜
10. 林之孝家的带五儿去见探春，探春让找平儿回凤姐
11. 凤姐下令严惩柳家的母女，五儿向平儿哭诉真情
12. 平儿来访袭人，确认芳官确实给过五儿玫瑰露
13. 宝玉为保全探春体面，主动承担责任，承认是自己偷了玫瑰露
14. 彩云受触动，承认是赵姨娘央求自己偷玫瑰露给贾环
15. 平儿巧妙处理，既保全各方体面，又释放了五儿和柳家的

## 简化版（5条）
1. 司棋因要鸡蛋不得，带人大闹厨房
2. 五儿送茯苓霜给芳官，被林之孝家的撞见
3. 林之孝家的搜出玫瑰露和茯苓霜，五儿被软禁
4. 宝玉为保全探春体面，主动承担偷玫瑰露的责任
5. 平儿巧妙行权，既查明真相又维护了各方体面

## 极简版（3条）
1. 司棋大闹厨房
2. 宝玉瞒赃护探春
3. 平儿行权息风波
