# 红楼梦第022回事件列表

## 详细版事件列表（15条）
1. 凤姐与贾琏商量为薛宝钗过15岁生日事宜，贾母出资二十两命凤姐置酒唱戏
2. 史湘云原本要回家，贾母挽留其看过宝钗生日戏再走，湘云取来自己做的针线活计作为宝钗生日礼物
3. 宝钗深知贾母喜好，故意点了贾母喜欢的热闹戏文，如《西游记》和《鲁智深醉闹五台山》
4. 宝玉听宝钗念《寄生草》曲文后深受触动，称赏不已
5. 凤姐说小旦像一个人，史湘云直接说出"倒象林妹妹的模样儿"，宝玉忙使眼色阻止
6. 湘云因宝玉使眼色不满，认为宝玉偏袒林黛玉，两人发生争执
7. 黛玉因湘云将自己比作戏子而恼怒宝玉，宝玉在窗外赔罪却被黛玉关在门外
8. 宝玉因与黛玉、湘云关系不协，联想到《南华经》中的禅理，感到人生无趣
9. 宝玉回房作禅偈和《寄生草》曲词，表达自己的悟禅心境
10. 黛玉以寻袭人为由前来探视，发现宝玉所作禅偈，与湘云、宝钗一同前往开导宝玉
11. 黛玉以禅语难宝玉，宝钗讲述惠能与神秀的偈语故事，宝玉悔悟不再谈禅
12. 元春差人送灯谜来，命众人猜谜并各自制作灯谜回复
13. 贾环所作灯谜不通，未被元春猜中，心中不快
14. 贾母命人作围屏灯，众人将灯谜粘于屏上，贾政前来猜谜取乐
15. 贾政猜出众人灯谜后，发现多为不祥之物，联想到众人命运，心中悲戚感慨

## 简化版事件列表（5条）
1. 贾母为薛宝钗过15岁生日，宝钗点贾母喜欢的热闹戏文，宝玉对《寄生草》曲文产生兴趣
2. 史湘云说小旦像林黛玉，引发宝黛矛盾，宝玉与湘云也发生争执
3. 宝玉因与黛玉、湘云关系不协，作禅偈表达悟禅心境
4. 黛玉、宝钗、湘云前往开导宝玉，宝玉悔悟不再谈禅
5. 元春送灯谜，众人猜谜制谜，贾政猜出灯谜后见多为不祥之物，心中悲戚

## 极简版事件列表（3条）
1. 贾母为宝钗过生日，宝钗点戏，宝玉听《寄生草》曲文受触动
2. 宝玉因与黛玉、湘云不和，作禅偈悟禅，后被众人开导
3. 众人猜制灯谜，贾政见灯谜多含不祥之意，心中悲戚
