# 《红楼梦》第020回 事件列表

## 详细版（15条）
1. 宝玉在黛玉房中讲"耗子精"故事，宝钗撞来讽刺宝玉元宵不知"绿蜡"之典
2. 李嬷嬷拄拐到宝玉房中辱骂袭人，指责她哄骗宝玉、忘了本，袭人委屈哭泣
3. 宝玉替袭人分辨她是生病才躺着，李嬷嬷更加生气，哭着要去贾母太后面前告状
4. 凤姐赶来巧妙化解矛盾，以老太太会生气为由，拉李嬷嬷去吃酒
5. 宝玉见袭人病势加重，又添烦恼，忙安慰她休息，亲自端药给她喝
6. 宝玉见晴雯等丫头都去玩了，只有麝月留下看家，便替她篦头
7. 晴雯回来撞见宝玉替麝月篦头，冷言调侃，麝月忙向宝玉使眼色
8. 贾环与宝钗、香菱、莺儿下棋输钱耍赖，被莺儿讽刺不如宝玉大方
9. 贾环委屈哭泣，抱怨大家都怕宝玉、欺负他是庶出
10. 宝玉劝贾环不要为小事烦恼，赵姨娘得知后教训贾环不该去高攀
11. 凤姐听见赵姨娘的话，隔窗斥责她不应如此教训主子，叫贾环跟她去玩
12. 凤姐教导贾环不要学坏，给了他钱去和姊妹们玩
13. 史湘云来访，宝玉立即赶去相见，黛玉因此吃醋生气
14. 宝玉回来安慰黛玉，解释亲戚远近和先来后到的道理，黛玉气消
15. 湘云加入，黛玉调侃她咬舌称呼"爱哥哥"，湘云反击要黛玉得个咬舌姐夫

## 简化版（5条）
1. 李嬷嬷辱骂袭人，凤姐赶来巧妙化解矛盾
2. 宝玉替袭人端药，后与麝月篦头被晴雯调侃
3. 贾环下棋输钱耍赖，抱怨大家欺负他是庶出
4. 凤姐斥责赵姨娘，教导并安抚贾环
5. 史湘云来访，黛玉因宝玉反应吃醋，后经宝玉解释气消，三人玩笑

## 极简版（3条）
1. 李嬷嬷辱骂袭人，凤姐巧妙化解
2. 贾环下棋输钱耍赖，被凤姐教导安抚
3. 史湘云来访，黛玉吃醋后与宝玉和解
