# 红楼梦第81回事件列表

## 详细版（15条）
1. 宝玉见王夫人因迎春出嫁而伤感，提出接回迎春的想法被王夫人拒绝
2. 宝玉因无法帮助迎春，满怀闷气前往潇湘馆向黛玉倾诉
3. 宝玉与黛玉共同感叹大观园中人散的凄凉景象
4. 袭人前来告知宝玉贾母召唤，打断二人谈话
5. 宝玉在怡红院看书时触景生情，想起大观园的变故
6. 宝玉来到沁芳亭，见萧疏景象，人去房空
7. 宝玉发现探春、李纹、李绮、邢岫烟在蓼溆一带钓鱼
8. 众人提议以钓鱼占卜今年运气好坏
9. 探春首先钓得一条杨叶窜儿，李纹钓得一条鲫瓜儿
10. 李绮和邢岫烟也各自钓得一条鱼
11. 宝玉钓鱼时过于急躁，将钓竿折断
12. 麝月前来告知贾母召唤宝玉，众人猜测可能有事发生
13. 宝玉到贾母房中，发现只是询问往事，才放下心来
14. 贾母询问宝玉前年生病时的情形和感受
15. 宝玉详细描述了当时的幻觉和病愈过程

## 简化版（5条）
1. 宝玉因迎春在孙家受委屈而伤心，欲接其回来被王夫人拒绝
2. 宝玉与黛玉共同感叹大观园的凄凉变化
3. 宝玉与探春、李纹、李绮、邢岫烟在沁芳亭钓鱼占运气
4. 宝玉钓鱼时因急躁折断钓竿，众人发笑
5. 贾母询问宝玉前年生病时的情形，宝玉详细描述了当时的幻觉

## 极简版（3条）
1. 宝玉欲接迎春回家被拒，与黛玉感叹大观园变故
2. 四美钓鱼占旺相，宝玉急躁折竿
3. 贾母询问宝玉当年生病情形
