# 红楼梦第062回事件列表

## 详细版（15条）
1. 平儿吩咐林之孝家的释放柳家的母女，恢复其职务，秦显家的灰溜溜离开
2. 贾环因宝玉替彩云担责而起疑，将彩云私赠之物摔还，彩云气极将东西丢入河中
3. 宝玉与宝琴同一天生日，众人前来贺寿
4. 众人发现平儿也是今日生日，决定凑分子为其庆祝
5. 探春安排柳家的在内厨房准备酒席
6. 宝钗提醒宝玉近日园中有多起失窃事件，需小心谨慎
7. 众人在芍药栏红香圃设席，行酒令射覆取乐
8. 湘云因多罚酒离席，众人遍寻不见
9. 小丫头发现湘云醉眠于山子后石凳上，满头满身芍药花瓣
10. 湘云被唤醒，众人用醒酒石和酸汤帮其醒酒
11. 林之孝家的带彩儿娘来见探春，探春命撵其出去
12. 黛玉与宝玉谈论探春理家有方，宝玉承诺不会短了黛玉的用度
13. 芳官独自在房中吃饭，宝玉前来邀请其晚上一同饮酒
14. 香菱与小螺等人在园中斗草，香菱的石榴裙被弄脏
15. 宝玉让袭人将自己的新裙子拿来给香菱换上

## 简化版（5条）
1. 平儿释放柳家的母女，恢复其职务
2. 众人发现宝玉、宝琴、平儿同一天生日，设宴庆祝
3. 湘云醉眠芍药裀，成为经典场景
4. 探春严惩多嘴的彩儿娘
5. 香菱斗草时弄脏裙子，宝玉帮其换上新裙

## 极简版（3条）
1. 湘云醉眠芍药裀
2. 香菱情解石榴裙
3. 平儿生日众人贺
