# 红楼梦第95回事件列表

## 详细版（15条）
1. 焙茗在当铺发现类似宝玉的小玉，但袭人认为是普通小玉而非通灵宝玉
2. 邢岫烟请妙玉扶乩问玉下落，妙玉书写乩语"噫！来无迹，去无踪，青埂峰下倚古松..."
3. 黛玉听闻宝玉失玉，对金玉之说产生怀疑，暗自高兴
4. 宝玉因失玉终日痴呆，不言不语，袭人等急得日夜难眠
5. 王夫人听说兄弟王子腾升内阁大学士即将回京，暂时放宽心
6. 贾政急报元妃得暴病，贾母王夫人匆忙进宫探视
7. 元妃痰厥暴薨，存年四十三岁，谥曰"贤淑贵妃"
8. 贾府按贵妃丧礼办理后事，男女天天进宫哭临
9. 宝玉失玉后病情加重，变得痴傻，凤姐请医调治无效
10. 贾母得知宝玉失玉和病情，着急得流泪，悬赏一万两寻玉
11. 贾政埋怨家道衰落，命人暗中揭下寻玉榜文
12. 有人拿着假玉前来领赏，贾琏等初以为真
13. 众人辨认玉时发现颜色不对，宝玉接过一看就知是假，扔在地上
14. 贾母主张不要为难送假玉的人，赏些银子打发走
15. 贾琏出去处理假玉之事，送假玉的人正心虚等候（下回分解）

## 简化版（5条）
1. 邢岫烟请妙玉扶乩，乩语暗示玉在青埂峰
2. 元妃暴病薨逝，贾府按贵妃礼治丧
3. 宝玉失玉后精神失常，形同痴傻
4. 贾母悬赏一万两银寻玉，贾政暗地反对
5. 有人拿假玉来冒领，宝玉一眼识破

## 极简版（3条）
1. 因讹成实元妃薨逝
2. 以假混真宝玉疯颠
3. 悬赏寻玉出假玉
