# 《史记·齐悼惠王世家第二十二》事件列表

## 详细版（35项）
1. 高祖六年：刘邦立长庶子刘肥为齐王，食邑七十座城，所有能说齐语的百姓都归属齐王
2. 惠帝二年：齐王刘肥入京朝见，因与惠帝平等礼节而触怒吕后，险遭杀害
3. 惠帝二年：刘肥采用内史勋计策，献出城阳郡作为鲁元公主封地，才得以安全返回齐国
4. 惠帝六年：齐悼惠王刘肥去世，在位十三年，其子刘襄即位为齐哀王
5. 哀王元年：惠帝去世，吕后执掌朝政
6. 哀王二年：吕后割齐国济南郡，封其侄吕台为吕王
7. 哀王三年：刘襄之弟刘章入宫宿卫，被吕后封为朱虚侯，娶吕禄之女为妻
8. 哀王七年：刘襄之弟刘兴居被封为东牟侯，在长安担任宿卫
9. 哀王八年：吕后分割齐琅邪郡，封营陵侯刘泽为琅邪王
10. 哀王九年：赵王刘友入朝被幽禁而死，三个赵王先后被废黜
11. 吕后时期：朱虚侯刘章二十岁时，在吕后宴会上请以军法行酒令
12. 吕后时期：刘章借耕田歌讽刺吕后（"深耕密种，留苗要疏；非其种者，锄而去之"）
13. 吕后时期：刘章斩杀逃席的吕氏族人，诸吕从此畏惧刘章
14. 吕后八年：吕后去世，吕禄为上将军，吕产为相国，聚集军队准备作乱
15. 吕后八年：朱虚侯刘章知晓吕氏阴谋，派人通知齐王刘襄准备起兵
16. 吕后八年：齐王刘襄与舅父驷钩、郎中令祝午、中尉魏勃谋划起兵
17. 吕后八年：齐相召平发兵包围王宫，魏勃设计骗取兵权后反包围相府，召平自杀
18. 吕后八年：祝午欺骗琅邪王刘泽前来会面，刘襄乘机扣留刘泽并接管其军队
19. 吕后八年：刘泽说服刘襄派自己入关商议迎立大事，借机脱身
20. 吕后八年：齐王刘襄西攻吕国济南，向诸侯发书讨伐诸吕
21. 吕后八年：相国吕产派灌婴东击齐兵，灌婴屯兵荥阳与齐联盟等待吕氏反叛
22. 吕后八年：周勃、陈平等人诛灭诸吕，朱虚侯刘章斩杀吕产
23. 吕后八年：大臣们因齐王母家驷钧暴戾，最终选择迎立代王为帝
24. 文帝元年：文帝将济南、琅邪、城阳郡归还齐国，改封刘泽为燕王
25. 文帝元年：齐哀王刘襄去世，其子刘则即位为齐文王
26. 文帝二年：封朱虚侯刘章为城阳王，东牟侯刘兴居为济北王
