# 《史记·曹相国世家第二十四》事件列表

## 详细版（30项）
1. 秦朝时期：曹参为沛县狱掾，与萧何同为县里有权威的官吏
2. 刘邦起事初期：曹参以侍从官身份跟随刘邦，进击胡陵、方与，大破秦御史监郡军队
3. 刘邦起事初期：曹参攻下薛县，进击泗水守军，重夺胡陵
4. 刘邦起事初期：曹参攻打反叛的方与、丰邑，刘邦赐其七大夫爵位
5. 秦末战争：曹参在砀县东进击秦司马欣军队，夺取多个城邑
6. 秦末战争：曹参攻取下邑以西至虞县地区，进击章邯战车骑兵
7. 秦末战争：曹参在攻打爰戚及亢父时最先登城，晋升五大夫
8. 秦末战争：曹参北救东阿，进击章邯军，攻陷陈县，追击至濮阳
9. 秦末战争：曹参攻打定陶、临济，南救雍丘，进击李由军队，杀死李由
10. 秦末战争：曹参跟随刘邦向西发展，攻下阳武、轘辕、缑氏等县
11. 秦末战争：曹参封绝黄河渡口，进击赵贲军，攻破南阳，俘虏南阳郡守齮
12. 秦末战争：曹参跟随刘邦西攻武关、峣关，进击蓝田南北秦军，直至咸阳
13. 楚汉时期：曹参被汉王封为建成侯，跟随入汉中，迁为将军
14. 楚汉时期：曹参跟随平定三秦，攻下多县，在好畤南大败章平军
15. 楚汉时期：曹参以中尉身份跟随刘邦出临晋关，渡围津，东击龙且、项他军
16. 楚汉时期：曹参围攻并夺取雍丘，击破王武、程处、柱天侯等反叛势力
17. 高祖二年：曹参任代理左丞相，与韩信东攻魏将孙遬军，活捉魏王豹
18. 高祖时期：曹参跟随韩信进击赵相国夏说，大破敌军，斩杀夏说
19. 高祖时期：曹参围困并斩杀赵国别将戚将军，抵达敖仓汉王住所
20. 高祖时期：曹参以右丞相身份隶属韩信，攻破齐历下军，夺取临淄
21. 高祖时期：曹参平定济北郡，参与击败龙且军，斩杀龙且，俘虏周兰
22. 高祖六年：曹参封列侯，食邑平阳一万零六百三十户，号平阳侯
23. 高祖时期：曹参任齐国相国，进击陈豨部将张春，跟随高祖击破黥布叛军
24. 惠帝元年：曹参改任齐国丞相，召集长老儒生询问安抚百姓之法
25. 惠帝时期：曹参请胶西盖公为师，采用黄老学说治理齐国九年，百姓安居乐业
26. 惠帝二年：萧何去世，曹参预知自己将入朝为相，不久果然被召
27. 惠帝二年：曹参接替萧何为汉相国，一切遵循萧何制定的法令不变
28. 惠帝时期：曹参选择厚重忠厚者为丞相史，斥退苛刻求名者，日夜饮酒
29. 惠帝时期：曹参之子曹窋受惠帝之命劝谏，被曹参鞭打，后曹参向惠帝解释无为而治的道理
30. 惠帝五年：曹参去世，谥号懿侯，百姓歌颂其"萧规曹随"的功绩

## 简化版（6项）
1. 从吏到将：曹参从沛县狱掾跟随刘邦起事，在秦末战争中立下赫赫战功
2. 战功卓著：跟随韩信平定魏、赵、齐等国，共攻下两个诸侯国，一百二十二个县
3. 齐相治绩：任齐国丞相九年，采用黄老学说，使齐国百姓安居乐业
4. 萧规曹随：萧何去世后，曹参接任汉相国，完全遵循萧何制定的法令不变
5. 无为而治：曹参选择忠厚者为吏，日夜饮酒，对细小过失视而不见，保持政治稳定
6. 为相三年：曹参任相国三年去世，百姓歌颂其清静无为的治国方略

## 极简版（4项）
1. 战功赫赫：跟随刘邦和韩信征战，平定多国，俘虏众多敌军将领
2. 齐相治齐：采用黄老学说治理齐国九年，成效显著
3. 萧规曹随：接任汉相国后，完全遵循萧何之法不变
4. 无为而治：推行清静无为政策，使百姓在秦末战乱后得以休养生息

## 场景绘图提示词
1. 曹参攻城：秦末战争场景，曹参身穿铠甲，手持长剑，率先登上城墙，士兵们紧随其后，城墙上旗帜飘扬，喊杀声震天。

