# 陈涉世家第十八 - 事件列表

## 详细版（按时间顺序）
1. 鸿鹄之志：陈胜年轻时与他人佣耕，感叹"燕雀安知鸿鹄之志"，显示出非凡抱负
2. 大泽乡起义：秦二世元年七月，陈胜、吴广被征发戍边渔阳，遇雨失期，按律当斩，于是商议举事
3. 鱼腹丹书：陈胜吴广用朱砂在帛书上写"陈胜王"，放入鱼腹中，戍卒买鱼得书，感到奇怪
4. 篝火狐鸣：吴广在古庙中点燃篝火，学狐狸叫"大楚兴，陈胜王"，制造舆论
5. 杀尉起义：吴广故意激怒将尉，趁其鞭打自己时夺剑杀死将尉，陈胜协助杀死两个将尉
6. 揭竿而起：陈胜号召戍卒"王侯将相宁有种乎"，众戍卒响应，袒露右臂，号称大楚
7. 攻克蕲县：陈胜自立为将军，吴广为都尉，首先攻占大泽乡，进而攻克蕲县
8. 扩充军队：陈胜派葛婴攻取蕲东各地，连克铚、酂、苦、柘、谯等县，队伍迅速扩大
9. 占据陈县：起义军到达陈县时，已拥有战车六七百乘，战骑千余，士卒数万，攻占陈县
10. 称王建国：陈胜在陈县召集三老、豪杰，被推举为王，国号张楚，建立了中国历史上第一个农民政权
11. 多路出击：陈胜派吴广围荥阳，武臣、张耳、陈余攻占赵地，邓宗攻占九江郡，周市北上攻魏
12. 葛婴被杀：葛婴在东城立襄彊为楚王，后听说陈胜已称王，杀襄彊回报，却被陈胜诛杀
13. 周文西征：陈胜任周文为将军西击秦军，周文军至函谷关时已达数十万，进驻戏亭
14. 章邯反击：秦二世派章邯率骊山刑徒及奴产子组成军队反击，周文军败退出函谷关
15. 武臣自立：武臣至邯郸自立为赵王，陈余为大将军，张耳为右丞相，召骚为左丞相
16. 韩广称燕王：武臣派韩广攻占燕地，韩广被燕人推举为燕王
17. 田臧杀吴广：田臧等人假托陈胜命令杀死吴广，陈胜非但不罚，反而赐田臧楚令尹印，任上将军
18. 田臧战死：田臧率军与章邯战于敖仓，兵败被杀，章邯进而破荥阳，李归等战死
19. 邓说被杀：邓说军驻郯地被秦军击破，败走陈县，陈胜诛杀邓说
20. 秦嘉抗命：秦嘉等人在郯县抗命，不接受陈胜派来的武平君畔为将军，反而将其杀死
21. 陈县失守：章邯进击陈县，上柱国蔡赐战死，张贺军亦被击破，张贺战死
22. 陈胜被杀：腊月，陈胜退至下城父，被其车夫庄贾杀害，庄贾投降秦军
23. 吕臣复楚：陈胜故臣吕臣组织苍头军，攻下陈县，杀死庄贾，重建楚国
24. 宋留被杀：宋留军在南阳投降秦军，被押至咸阳车裂示众
25. 秦嘉立王：秦嘉听说陈王已死，立景驹为楚王，后被项梁所杀
26. 项梁立楚怀王：项梁立楚怀王孙子心为楚王，继续反秦斗争
27. 高祖置守墓：汉高祖时，在砀县安置三十户人家为陈涉守墓，按时祭祀

## 简化版（重要节点）
1. 大泽乡起义：陈胜、吴广因误期当斩，在大泽乡发动中国历史上第一次大规模农民起义
2. 张楚政权建立：起义军迅速壮大，攻占陈县，陈胜称王，建立张楚政权
3. 多路北伐：派吴广、周文等多路出击，周文军一度逼近咸阳
4. 内部分裂：武臣、韩广等将领自立为王，田臧杀死吴广，起义军内部出现分裂
5. 秦军反击：章邯率秦军反击，周文、田臧等相继战败被杀
6. 起义失败：陈胜在下城父被车夫庄贾杀害，轰轰烈烈的农民起义最终失败

## 极简版（核心情节）
1. 遇雨失期：陈胜、吴广等戍卒遇雨失期，面临死刑威胁
2. 揭竿而起：发动大泽乡起义，提出"王侯将相宁有种乎"的口号
