# 第一○八章《法官》主要事件

## 详细版
1. 布沙尼长老（基督山）曾与诺瓦蒂埃一起为瓦朗蒂娜守灵，诺瓦蒂埃在长老劝诫后变得平静，从绝望转为听天由命
2. 瓦朗蒂娜去世后，维尔福与父亲关系恶化，全家更换了新仆人，彼此关系更加疏远
3. 维尔福准备在法庭上起诉谋害卡德罗斯的凶手贝尼代托（安德烈），案件已轰动巴黎
4. 维尔福在花园中看到父亲诺瓦蒂埃用充满仇恨的眼神盯着维尔福夫人，诺瓦蒂埃用目光提醒儿子兑现承诺
5. 维尔福完成了生平最雄辩有力的起诉书，准备在开庭日伸张正义
6. 维尔福夫人想陪丈夫去法庭旁听，维尔福却将儿子爱德华支开，锁上门质问妻子
7. 维尔福直接揭露妻子毒死了圣·梅朗先生、圣·梅朗夫人、巴罗斯和瓦朗蒂娜的罪行
8. 维尔福夫人惊恐万分，但在丈夫的逼问下无法否认罪行
9. 维尔福要求妻子自行了断，以免在断头台上受辱并牵连家族名誉
10. 维尔福夫人苦苦哀求，但维尔福不为所动，威胁若她不死就将其逮捕
11. 维尔福锁住房门离开，维尔福夫人在极度恐惧中昏了过去

## 简化版
1. 维尔福准备起诉贝尼代托谋杀卡德罗斯案，同时发现父亲诺瓦蒂埃用仇恨的目光盯着维尔福夫人
2. 维尔福在开庭前质问妻子，揭露她毒死了圣·梅朗夫妇、巴罗斯和瓦朗蒂娜的罪行
3. 维尔福要求妻子自行了断，否则将其送上法庭审判
4. 尽管维尔福夫人苦苦哀求，维尔福仍锁门离开，威胁若她不死就将其逮捕

## 极简版
维尔福揭露妻子毒死多人的罪行，要求她自行了断，否则将其逮捕。
