# 第二十七回　尸魔三戏唐三藏　圣僧恨逐美猴王

## 详细版事件列表（20条）
1. 师徒四人离开五庄观，继续西行，来到一座险峻的高山前
2. 唐僧肚饿，让悟空去化斋，悟空无奈前往南山摘桃
3. 白虎岭上的白骨精发现唐僧，欲吃其肉以求长生不老
4. 白骨精变作美貌村姑，手提食盒前来斋僧，接近唐僧
5. 八戒见色心动，欲接受斋饭，唐僧询问女子来历
6. 白骨精编造谎言，称是给丈夫送午饭，顺便斋僧
7. 悟空摘桃归来，识破妖怪，举棒就打，白骨精使解尸法逃脱，留下假尸首
8. 唐僧责备悟空滥杀无辜，八戒在旁挑唆，唐僧念紧箍咒惩罚悟空
9. 悟空展示妖怪食物变成的蛆虫和青蛙，唐僧勉强相信，饶悟空一次
10. 白骨精不死心，再次变作年满八旬的老妇人，哭着前来寻女
11. 八戒见状大惊，悟空再次识破妖怪身份，举棒将假尸首打死
12. 唐僧见悟空再次杀人，大怒，念紧箍咒二十遍，痛斥悟空
13. 悟空请求唐僧念松箍咒，唐僧表示不会，只得再次饶过悟空
14. 白骨精第三次变作老公公，声称前来寻找妻子和女儿
15. 悟空再次识破妖怪，叫来土地山神作证，一棒将白骨精打死，现出骷髅原形
16. 唐僧见悟空连打三人，又听八戒挑唆，决定赶走悟空
17. 悟空哀求唐僧留下，回忆取经路上的艰辛，唐僧不为所动
18. 唐僧写下贬书，发誓再不见悟空，悟空无奈接受
19. 悟空向唐僧拜别，又叮嘱沙僧保护师父，提防八戒，然后离去
20. 悟空飞回花果山，途中想起唐僧，伤心落泪，最终回到水帘洞

## 简化版事件列表（5条）
1. 师徒四人西行至白虎岭，悟空去摘桃化斋
2. 白骨精三次变化（村姑、老妇、老公公）欲害唐僧，均被悟空识破打死
3. 唐僧不明真相，在八戒挑唆下，三次责怪悟空滥杀无辜
4. 悟空打死白骨精后，唐僧执意赶走悟空，写下贬书
5. 悟空无奈离开取经队伍，返回花果山水帘洞

## 极简版事件列表（2条）
1. 白骨精三次变化戏耍唐僧，被悟空识破打死
2. 唐僧受八戒挑唆，赶走悟空回花果山

## 绘图提示词
取经路上，唐僧骑在马上，一脸怒容地递出贬书；悟空跪在地上，双手接过贬书，眼中含泪；八戒站在旁边幸灾乐祸地偷笑；沙僧则在一旁面露难色。远处的白虎岭上，隐约可见一堆白骨，脊梁上刻着"白骨夫人"四个字。天空中阴云密布，似乎在为悟空的离去而悲伤。
