# 第012章 玄奘秉诚建大会 观音显象化金蝉

## 详细版事件列表
1. 贞观十三年九月初三，玄奘法师在长安城化生寺聚集一千二百名高僧开演妙经
2. 唐太宗率文武百官前来拈香，观看济孤榜文后大喜
3. 南海观音菩萨领如来佛旨，在长安访察取经人，变化疥癞僧人卖袈裟锡杖
4. 愚僧嫌袈裟锡杖价格昂贵，观音与木叉继续前行
5. 宰相萧瑀散朝回府，遇到观音，得知袈裟锡杖的好处
6. 萧瑀引观音入朝见驾，唐太宗询问宝物价格
7. 观音详述袈裟和锡杖的神奇功效，愿无偿赠予有德行者
8. 唐太宗召见玄奘，赐予袈裟锡杖，玄奘穿上后众人赞叹
9. 七日正会，唐太宗率众人再次前来拈香
10. 观音混入人群，指出玄奘所讲小乘教法度不得亡者超升
11. 观音展示大乘佛法三藏的好处，称其在西天如来处
12. 观音显化真身，唐太宗命人描绘菩萨形象
13. 空中落下简帖，告知西方有大乘经，可超鬼出群
14. 唐太宗询问谁愿前往西天取经，玄奘主动请缨
15. 唐太宗与玄奘在佛前结拜为兄弟，称其为"御弟圣僧"
16. 玄奘发誓若取不到真经，永堕沉沦地狱
17. 次日，唐太宗为玄奘准备通关文牒、紫金钵盂、随从和马匹
18. 唐太宗赐予玄奘"三藏"法号，为其饯行
19. 唐太宗将尘土弹入酒中，告诫玄奘"宁恋本乡一捻土，莫爱他乡万两金"
20. 玄奘谢恩饮尽，辞别出关西行

## 简化版事件列表
1. 玄奘主持水陆大会，唐太宗率众前来拈香
2. 观音化身疥癞僧人，向唐太宗展示袈裟锡杖
3. 唐太宗将宝物赐予玄奘法师
4. 观音显化指出小乘教法不足，告知西方有大乘经
5. 玄奘主动请缨西行取经，唐太宗为其饯行

## 极简版事件列表
1. 观音点化，展示大乘佛法
2. 玄奘发愿西行取经

## 绘图提示词
观音显化：画面中央是一位端庄慈悲的观音菩萨，脚踏祥云，左手持净瓶，右手执杨柳枝。她头戴金叶纽翠花铺的垂珠缨络，身穿淡蓝色盘金龙飞彩凤的结素蓝袍，胸前挂着月明环珮，腰间系着冰蚕丝锦绣绒裙。左边是木叉惠岸，手持铁棍，精神抖擞。背景是金碧辉煌的皇宫宝殿，唐太宗和文武百官跪在地上虔诚礼拜，满朝僧尼道俗也都在叩拜。天空中祥云缭绕，金光四射，有朵朵莲花从空中飘落。整个画面庄严肃穆，充满神圣祥和的氛围。
